id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ecard2-1,1,Ampharos,100,Lightning,Flaaffy,Stage2,Rare,Shin-ichi Yoshida,"normal, reverse",Aquapolis,E-Card,186
ecard2-2,2,Arcanine,90,Fire,Growlithe,Stage1,Rare,Kyoko Umemoto,"normal, reverse",Aquapolis,E-Card,186
ecard2-3,3,Ariados,70,Grass,Spinarak,Stage1,Rare,Shin-ichi Yoshida,"normal, reverse",Aquapolis,E-Card,186
ecard2-4,4,Azumarill,70,Water,Marill,Stage1,Rare,Kagemaru Himeno,"normal, reverse",Aquapolis,E-Card,186
ecard2-5,5,Bellossom,90,Grass,Gloom,Stage2,Rare,Sumiyoshi Kizuki,"normal, reverse",Aquapolis,E-Card,186
ecard2-6,6,Blissey,120,Colorless,Chansey,Stage1,Rare,Naoyo Kimura,"normal, reverse",Aquapolis,E-Card,186
ecard2-7,7,Donphan,80,Fighting,Phanpy,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Aquapolis,E-Card,186
ecard2-8,8,Electrode,70,Lightning,Voltorb,Stage1,Rare,Shin-ichi Yoshida,"normal, reverse",Aquapolis,E-Card,186
ecard2-9,9,Elekid,30,Lightning,,Basic,Rare,Hikaru Koike,"normal, reverse",Aquapolis,E-Card,186
ecard2-10,10,Entei,70,Fire,,Basic,Rare,Atsuko Nishida,"normal, reverse",Aquapolis,E-Card,186
ecard2-11,11,Espeon,80,Psychic,Eevee,Stage1,Rare,Kyoko Umemoto,"normal, reverse",Aquapolis,E-Card,186
ecard2-12,12,Exeggutor,80,Grass,Exeggcute,Stage1,Rare,Yukiko Baba,"normal, reverse",Aquapolis,E-Card,186
ecard2-13,13,Exeggutor,80,Psychic,Exeggcute,Stage1,Rare,Sumiyoshi Kizuki,"normal, reverse",Aquapolis,E-Card,186
ecard2-14,14,Houndoom,80,Fire,Houndour,Stage1,Rare,Naoyo Kimura,"normal, reverse",Aquapolis,E-Card,186
ecard2-15,15,Houndoom,70,Darkness,Houndour,Stage1,Rare,Hajime Kusajima,"normal, reverse",Aquapolis,E-Card,186
ecard2-16,16,Hypno,80,Psychic,Drowzee,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Aquapolis,E-Card,186
ecard2-17,17,Jumpluff,70,Grass,Skiploom,Stage2,Rare,Yuka Morii,"normal, reverse",Aquapolis,E-Card,186
ecard2-18,18,Jynx,60,Psychic,,Basic,Rare,Hisao Nakamura,"normal, reverse",Aquapolis,E-Card,186
ecard2-19,19,Kingdra,120,Water,Seadra,Stage2,Rare,Atsuko Nishida,"normal, reverse",Aquapolis,E-Card,186
ecard2-20,20,Lanturn,80,Water,Chinchou,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Aquapolis,E-Card,186
ecard2-21,21,Lanturn,80,Lightning,Chinchou,Stage1,Rare,Yuka Morii,"normal, reverse",Aquapolis,E-Card,186
ecard2-22,22,Magneton,70,Metal,Magnemite,Stage1,Rare,Hikaru Koike,"normal, reverse",Aquapolis,E-Card,186
ecard2-23,23,Muk,70,Grass,Grimer,Stage1,Rare,Hajime Kusajima,"normal, reverse",Aquapolis,E-Card,186
ecard2-24,24,Nidoking,110,Fighting,Nidorino,Stage2,Rare,Naoyo Kimura,"normal, reverse",Aquapolis,E-Card,186
ecard2-25,25,Ninetales,80,Fire,Vulpix,Stage1,Rare,Kagemaru Himeno,"normal, reverse",Aquapolis,E-Card,186
ecard2-26,26,Octillery,80,Water,Remoraid,Stage1,Rare,Kouki Saitou,"normal, reverse",Aquapolis,E-Card,186
ecard2-27,27,Parasect,70,Grass,Paras,Stage1,Rare,Masako Yamashita,"normal, reverse",Aquapolis,E-Card,186
ecard2-28,28,Porygon2,70,Colorless,Porygon,Stage1,Rare,Hikaru Koike,"normal, reverse",Aquapolis,E-Card,186
ecard2-29,29,Primeape,80,Fighting,Mankey,Stage1,Rare,Tomokazu Komiya,"normal, reverse",Aquapolis,E-Card,186
ecard2-30,30,Quagsire,80,Water,Wooper,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Aquapolis,E-Card,186
ecard2-31,31,Rapidash,70,Fire,Ponyta,Stage1,Rare,Kouki Saitou,"normal, reverse",Aquapolis,E-Card,186
ecard2-32,32,Scizor,80,Metal,Scyther,Stage1,Rare,Hisao Nakamura,"normal, reverse",Aquapolis,E-Card,186
