id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy8-1,1,Paras,60,Pflanze,,Basis,Häufig,Hajime Kusajima,"normal, reverse, holo",TURBOstart,XY,165
xy8-2,2,Parasek,100,Pflanze,Paras,Rang 1,Selten,Sumiyoshi Kizuki,"normal, reverse, holo",TURBOstart,XY,165
xy8-3,3,Pinsir,100,Pflanze,,Basis,Ungewöhnlich,Satoshi Shirai,"normal, reverse, holo",TURBOstart,XY,165
xy8-4,4,Tuska,60,Pflanze,,Basis,Häufig,Yuka Morii,"normal, reverse, holo",TURBOstart,XY,165
xy8-5,5,Vegimak,60,Pflanze,,Basis,Häufig,Hajime Kusajima,"normal, reverse, holo",TURBOstart,XY,165
xy8-6,6,Vegichita,90,Pflanze,Vegimak,Rang 1,Selten,Kagemaru Himeno,"normal, reverse, holo",TURBOstart,XY,165
xy8-7,7,Igamaro,60,Pflanze,,Basis,Häufig,Megumi Mizutani,"normal, reverse, holo",TURBOstart,XY,165
xy8-8,8,Igamaro,60,Pflanze,,Basis,Häufig,Megumi Mizutani,"normal, reverse, holo",TURBOstart,XY,165
xy8-9,9,Igamaro,60,Pflanze,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",TURBOstart,XY,165
xy8-10,10,Igastarnish,90,Pflanze,Igamaro,Rang 1,Ungewöhnlich,Miki Tanaka,"normal, reverse, holo",TURBOstart,XY,165
xy8-11,11,Brigaron,160,Pflanze,Igastarnish,Rang 2,Selten,Mitsuhiro Arita,"normal, reverse, holo",TURBOstart,XY,165
xy8-12,12,Brigaron-TURBO,190,Pflanze,Brigaron,TURBO,Ultra Selten,5ban Graphics,"normal, reverse, holo",TURBOstart,XY,165
xy8-13,13,Purmel,30,Pflanze,,Basis,Häufig,Sumiyoshi Kizuki,"normal, reverse, holo",TURBOstart,XY,165
xy8-14,14,Puponcho,70,Pflanze,Purmel,Rang 1,Ungewöhnlich,Saya Tsuruta,"normal, reverse, holo",TURBOstart,XY,165
