id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bwp-BW01,BW01,Snivy,60,Grass,,Basic,Common,Ken Sugimori,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW02,BW02,Tepig,70,Fire,,Basic,Common,Ken Sugimori,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW03,BW03,Oshawott,60,Water,,Basic,Common,Ken Sugimori,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW04,BW04,Reshiram,130,Fire,,Basic,Rare,5ban Graphics,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW05,BW05,Zekrom,130,Lightning,,Basic,Rare,5ban Graphics,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW06,BW06,Snivy,60,Grass,,Basic,Common,Shizurow,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW07,BW07,Tepig,60,Fire,,Basic,Common,Shin Nagasawa,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW08,BW08,Oshawott,60,Water,,Basic,Common,Mitsuhiro Arita,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW09,BW09,Zoroark,100,Darkness,Zorua,Stage1,Rare,Naoki Saito,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW10,BW10,Axew,50,Colorless,,Basic,Common,Masakazu Fukuda,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW100,BW100,N,,,,,Uncommon,Yusuke Ohmura,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW101,BW101,Genesect,110,Grass,,Basic,Common,5ban Graphics,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW11,BW11,Pansage,60,Grass,,Basic,Common,Akira Komayama,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW12,BW12,Zorua,60,Darkness,,Basic,Common,Tomokazu Komiya,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW13,BW13,Minccino,50,Colorless,,Basic,Common,Atsuko Nishida,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW14,BW14,Pansage,60,Grass,,Basic,Common,Akira Komayama,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW15,BW15,Pidove,50,Colorless,,Basic,Common,Naoki Saito,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW16,BW16,Axew,50,Colorless,,Basic,Common,Masakazu Fukuda,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW17,BW17,Ducklett,60,Water,,Basic,Common,Kagemaru Himeno,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW18,BW18,Darumaka,60,Fire,,Basic,Common,Akira Komayama,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW19,BW19,Zoroark,100,Darkness,Zorua,Stage1,Common,5ban Graphics,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW20,BW20,Serperior,130,Grass,Servine,Stage2,Rare,5ban Graphics,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW21,BW21,Emboar,150,Fire,Pignite,Stage2,Rare,5ban Graphics,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW22,BW22,Samurott,140,Water,Dewott,Stage2,Rare,5ban Graphics,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW23,BW23,Reshiram,130,Fire,,Basic,Rare,5ban Graphics,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW24,BW24,Zekrom,130,Lightning,,Basic,Rare,5ban Graphics,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW25,BW25,Scraggy,50,Darkness,,Basic,Common,Akira Komayama,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW26,BW26,Axew,50,Colorless,,Basic,Common,Akira Komayama,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW27,BW27,Litwick,50,Psychic,,Basic,Common,Atsuko Nishida,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW28,BW28,Tropical Beach,,,,,Common,,"normal, reverse, holo",BW Black Star Promos,Black & White,101
bwp-BW29,BW29,Victory Cup,,,,,Common,5ban Graphics,"normal, reverse, holo",BW Black Star Promos,Black & White,101
