id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
base4-1,1,Alakazam,80,Psychic,Kadabra,Stage2,Rare,Ken Sugimori,holo,Base Set 2,Base,130
base4-2,2,Blastoise,100,Water,Wartortle,Stage2,Rare,Ken Sugimori,holo,Base Set 2,Base,130
base4-3,3,Chansey,120,Colorless,,Basic,Rare,Ken Sugimori,holo,Base Set 2,Base,130
base4-4,4,Charizard,120,Fire,Charmeleon,Stage2,Rare,Mitsuhiro Arita,holo,Base Set 2,Base,130
base4-5,5,Clefable,70,Colorless,Clefairy,Stage1,Rare,Mitsuhiro Arita,holo,Base Set 2,Base,130
base4-6,6,Clefairy,40,Colorless,,Basic,Rare,Ken Sugimori,holo,Base Set 2,Base,130
base4-7,7,Gyarados,100,Water,Magikarp,Stage1,Rare,Mitsuhiro Arita,holo,Base Set 2,Base,130
base4-8,8,Hitmonchan,70,Fighting,,Basic,Rare,Ken Sugimori,holo,Base Set 2,Base,130
base4-9,9,Magneton,60,Lightning,Magnemite,Stage1,Rare,Keiji Kinebuchi,holo,Base Set 2,Base,130
base4-10,10,Mewtwo,60,Psychic,,Basic,Rare,Ken Sugimori,holo,Base Set 2,Base,130
base4-11,11,Nidoking,90,Grass,Nidorino,Stage2,Rare,Ken Sugimori,holo,Base Set 2,Base,130
base4-12,12,Nidoqueen,90,Grass,Nidorina,Stage2,Rare,Ken Sugimori,holo,Base Set 2,Base,130
base4-13,13,Ninetales,80,Fire,Vulpix,Stage1,Rare,Ken Sugimori,holo,Base Set 2,Base,130
base4-14,14,Pidgeot,80,Colorless,Pidgeotto,Stage2,Rare,Kagemaru Himeno,holo,Base Set 2,Base,130
base4-15,15,Poliwrath,90,Water,Poliwhirl,Stage2,Rare,Ken Sugimori,holo,Base Set 2,Base,130
base4-16,16,Raichu,80,Lightning,Pikachu,Stage1,Rare,Ken Sugimori,holo,Base Set 2,Base,130
base4-17,17,Scyther,70,Grass,,Basic,Rare,Ken Sugimori,holo,Base Set 2,Base,130
base4-18,18,Venusaur,100,Grass,Ivysaur,Stage2,Rare,Mitsuhiro Arita,holo,Base Set 2,Base,130
base4-19,19,Wigglytuff,80,Colorless,Jigglypuff,Stage1,Rare,Mitsuhiro Arita,holo,Base Set 2,Base,130
base4-20,20,Zapdos,90,Lightning,,Basic,Rare,Ken Sugimori,holo,Base Set 2,Base,130
base4-21,21,Beedrill,80,Grass,Kakuna,Stage2,Rare,Ken Sugimori,normal,Base Set 2,Base,130
base4-22,22,Dragonair,80,Colorless,Dratini,Stage1,Rare,Mitsuhiro Arita,normal,Base Set 2,Base,130
base4-23,23,Dugtrio,70,Fighting,Diglett,Stage1,Rare,Keiji Kinebuchi,normal,Base Set 2,Base,130
base4-24,24,Electabuzz,70,Lightning,,Basic,Rare,Ken Sugimori,normal,Base Set 2,Base,130
base4-25,25,Electrode,80,Lightning,Voltorb,Stage1,Rare,Keiji Kinebuchi,normal,Base Set 2,Base,130
base4-26,26,Kangaskhan,90,Colorless,,Basic,Rare,Mitsuhiro Arita,normal,Base Set 2,Base,130
base4-27,27,Mr. Mime,40,Psychic,Mime Jr.,Basic,Rare,Ken Sugimori,normal,Base Set 2,Base,130
base4-28,28,Pidgeotto,60,Colorless,Pidgey,Stage1,Rare,Ken Sugimori,normal,Base Set 2,Base,130
base4-29,29,Pinsir,60,Grass,,Basic,Rare,Kagemaru Himeno,normal,Base Set 2,Base,130
base4-30,30,Snorlax,90,Colorless,Munchlax,Basic,Rare,Ken Sugimori,normal,Base Set 2,Base,130
base4-31,31,Venomoth,70,Grass,Venonat,Stage1,Rare,Ken Sugimori,normal,Base Set 2,Base,130
base4-32,32,Victreebel,80,Grass,Weepinbell,Stage2,Rare,Ken Sugimori,normal,Base Set 2,Base,130
base4-33,33,Arcanine,100,Fire,Growlithe,Stage1,Uncommon,Ken Sugimori,normal,Base Set 2,Base,130
base4-34,34,Butterfree,70,Grass,Metapod,Stage2,Uncommon,Kagemaru Himeno,normal,Base Set 2,Base,130
base4-35,35,Charmeleon,80,Fire,Charmander,Stage1,Uncommon,Mitsuhiro Arita,normal,Base Set 2,Base,130
base4-36,36,Dewgong,80,Water,Seel,Stage1,Uncommon,Mitsuhiro Arita,normal,Base Set 2,Base,130
base4-37,37,Dodrio,70,Colorless,Doduo,Stage1,Uncommon,Mitsuhiro Arita,normal,Base Set 2,Base,130
base4-38,38,Dratini,40,Colorless,,Basic,Uncommon,Ken Sugimori,normal,Base Set 2,Base,130
base4-39,39,Exeggutor,80,Grass,Exeggcute,Stage1,Uncommon,Kagemaru Himeno,normal,Base Set 2,Base,130
base4-40,40,Farfetch'd,50,Colorless,,Basic,Uncommon,Ken Sugimori,normal,Base Set 2,Base,130
base4-41,41,Fearow,70,Colorless,Spearow,Stage1,Uncommon,Mitsuhiro Arita,normal,Base Set 2,Base,130
base4-42,42,Growlithe,60,Fire,,Basic,Uncommon,Ken Sugimori,normal,Base Set 2,Base,130
base4-43,43,Haunter,60,Psychic,Gastly,Stage1,Uncommon,Keiji Kinebuchi,normal,Base Set 2,Base,130
