id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
base1-1,1,Alakazam,80,Psychic,Kadabra,Stage2,Rare,Ken Sugimori,"holo, 1st edition",Base Set,Base,102
base1-2,2,Blastoise,100,Water,Wartortle,Stage2,Rare,Ken Sugimori,"holo, 1st edition",Base Set,Base,102
base1-3,3,Chansey,120,Colorless,,Basic,Rare,Ken Sugimori,"holo, 1st edition",Base Set,Base,102
base1-4,4,Charizard,120,Fire,Charmeleon,Stage2,Rare,Mitsuhiro Arita,"holo, 1st edition",Base Set,Base,102
base1-5,5,Clefairy,40,Colorless,,Basic,Rare,Ken Sugimori,"holo, 1st edition",Base Set,Base,102
base1-6,6,Gyarados,100,Water,Magikarp,Stage1,Rare,Mitsuhiro Arita,"holo, 1st edition",Base Set,Base,102
base1-7,7,Hitmonchan,70,Fighting,,Basic,Rare,Ken Sugimori,"holo, 1st edition",Base Set,Base,102
base1-8,8,Machamp,100,Fighting,Machoke,Stage2,Rare,Ken Sugimori,"holo, 1st edition",Base Set,Base,102
base1-9,9,Magneton,60,Lightning,Magnemite,Stage1,Rare,Keiji Kinebuchi,"holo, 1st edition",Base Set,Base,102
base1-10,10,Mewtwo,60,Psychic,,Basic,Rare,Ken Sugimori,"holo, 1st edition",Base Set,Base,102
base1-11,11,Nidoking,90,Grass,Nidorino,Stage2,Rare,Ken Sugimori,"holo, 1st edition",Base Set,Base,102
base1-12,12,Ninetales,80,Fire,Vulpix,Stage1,Rare,Ken Sugimori,"holo, 1st edition",Base Set,Base,102
base1-13,13,Poliwrath,90,Water,Poliwhirl,Stage2,Rare,Ken Sugimori,"holo, 1st edition",Base Set,Base,102
base1-14,14,Raichu,80,Lightning,Pikachu,Stage1,Rare,Ken Sugimori,"holo, 1st edition",Base Set,Base,102
base1-15,15,Venusaur,100,Grass,Ivysaur,Stage2,Rare,Mitsuhiro Arita,"holo, 1st edition",Base Set,Base,102
base1-16,16,Zapdos,90,Lightning,,Basic,Rare,Ken Sugimori,"holo, 1st edition",Base Set,Base,102
base1-17,17,Beedrill,80,Grass,Kakuna,Stage2,Rare,Ken Sugimori,"normal, 1st edition",Base Set,Base,102
base1-18,18,Dragonair,80,Colorless,Dratini,Stage1,Rare,Mitsuhiro Arita,"normal, 1st edition",Base Set,Base,102
base1-19,19,Dugtrio,70,Fighting,Diglett,Stage1,Rare,Keiji Kinebuchi,"normal, 1st edition",Base Set,Base,102
base1-20,20,Electabuzz,70,Lightning,,Basic,Rare,Ken Sugimori,"normal, 1st edition",Base Set,Base,102
base1-21,21,Electrode,80,Lightning,Voltorb,Stage1,Rare,Keiji Kinebuchi,"normal, 1st edition",Base Set,Base,102
base1-22,22,Pidgeotto,60,Colorless,Pidgey,Stage1,Rare,Ken Sugimori,"normal, 1st edition",Base Set,Base,102
base1-23,23,Arcanine,100,Fire,Growlithe,Stage1,Uncommon,Ken Sugimori,"normal, 1st edition",Base Set,Base,102
base1-24,24,Charmeleon,80,Fire,Charmander,Stage1,Uncommon,Mitsuhiro Arita,"normal, 1st edition",Base Set,Base,102
base1-25,25,Dewgong,80,Water,Seel,Stage1,Uncommon,Mitsuhiro Arita,"normal, 1st edition",Base Set,Base,102
base1-26,26,Dratini,40,Colorless,,Basic,Uncommon,Ken Sugimori,"normal, 1st edition",Base Set,Base,102
base1-27,27,Farfetch'd,50,Colorless,,Basic,Uncommon,Ken Sugimori,"normal, 1st edition",Base Set,Base,102
base1-28,28,Growlithe,60,Fire,,Basic,Uncommon,Ken Sugimori,"normal, 1st edition",Base Set,Base,102
base1-29,29,Haunter,60,Psychic,Gastly,Stage1,Uncommon,Keiji Kinebuchi,"normal, 1st edition",Base Set,Base,102
base1-30,30,Ivysaur,60,Grass,Barboach,Stage1,Uncommon,Ken Sugimori,"normal, 1st edition",Base Set,Base,102
base1-31,31,Jynx,70,Psychic,,Basic,Uncommon,Ken Sugimori,"normal, 1st edition",Base Set,Base,102
