id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh5-1,1,Knofensa,50,Pflanze,,Basis,Häufig,Sekio,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-2,2,Ultrigaria,80,Pflanze,Knofensa,Rang 1,Ungewöhnlich,Shibuzoh.,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-3,3,Sarzenia,150,Pflanze,Ultrigaria,Rang 2,Selten,Tika Matsuno,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-4,4,Tuska,70,Pflanze,,Basis,Häufig,Kazuma Koda,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-5,5,Noktuska,120,Pflanze,Tuska,Rang 1,Ungewöhnlich,Tomokazu Komiya,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-6,6,Zirpeise V,180,Pflanze,,Basis,Holografisch Selten V,Satoshi Shirai,holo,Kampfstile,Schwert & Schild,183
swsh5-7,7,Kikugi,50,Pflanze,,Basis,Häufig,Akira Komayama,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-8,8,Kinoso,80,Pflanze,Kikugi,Rang 1,Holografisch Selten,Mina Nakai,"reverse, holo",Kampfstile,Schwert & Schild,183
swsh5-9,9,Venuflibis,110,Pflanze,,Basis,Ungewöhnlich,AKIRA EGAWA,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-10,10,Fermicula,90,Pflanze,,Basis,Ungewöhnlich,kodama,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-11,11,Purmel,40,Pflanze,,Basis,Häufig,Midori Harada,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-12,12,Puponcho,80,Pflanze,Purmel,Rang 1,Ungewöhnlich,Sumiyoshi Kizuki,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-13,13,Vivillon,120,Pflanze,Puponcho,Rang 2,Selten,miki kudo,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-14,14,Imantis,60,Pflanze,,Basis,Häufig,Yukiko Baba,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-15,15,Mantidea,120,Pflanze,Imantis,Rang 1,Selten,Anesaki Dynamic,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-16,16,Kapu-Toro,130,Pflanze,,Basis,Holografisch Selten,Ryota Murayama,"reverse, holo",Kampfstile,Schwert & Schild,183
swsh5-17,17,Sensect,50,Pflanze,,Basis,Häufig,Masakazu Fukuda,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-18,18,Drapfel V,190,Pflanze,,Basis,Holografisch Selten V,PLANETA Mochizuki,holo,Kampfstile,Schwert & Schild,183
swsh5-19,19,Drapfel VMAX,320,Pflanze,Drapfel-V,VMAX,Holografisch Selten VMAX,PLANETA Tsuji,holo,Kampfstile,Schwert & Schild,183
swsh5-20,20,Entei,130,Feuer,,Basis,Holografisch Selten,kodama,"reverse, holo",Kampfstile,Schwert & Schild,183
swsh5-21,21,Victini V,190,Feuer,,Basis,Holografisch Selten V,Kagemaru Himeno,holo,Kampfstile,Schwert & Schild,183
swsh5-22,22,Victini VMAX,310,Feuer,Victini-V,VMAX,Holografisch Selten VMAX,PLANETA Mochizuki,holo,Kampfstile,Schwert & Schild,183
swsh5-23,23,Floink,80,Feuer,,Basis,Häufig,You Iribi,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-24,24,Ferkokel,100,Feuer,Floink,Rang 1,Ungewöhnlich,tetsuya koizumi,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-25,25,Flambirex,180,Feuer,Ferkokel,Rang 2,Holografisch Selten,Anesaki Dynamic,"reverse, holo",Kampfstile,Schwert & Schild,183
swsh5-26,26,Furnifraß,120,Feuer,,Basis,Ungewöhnlich,Miki Tanaka,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-27,27,Molunk,70,Feuer,,Basis,Häufig,Yuka Morii,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-28,28,Amfira,90,Feuer,Molunk,Rang 1,Selten,Shibuzoh.,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-29,29,Thermopod,70,Feuer,,Basis,Häufig,Yuka Morii,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-30,30,Infernopod,130,Feuer,Thermopod,Rang 1,Selten,Souichirou Gunjima,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-31,31,Seeper,60,Wasser,,Basis,Häufig,Anesaki Dynamic,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-32,32,Seemon,90,Wasser,Seeper,Rang 1,Ungewöhnlich,0313,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-33,33,Seedraking,150,Wasser,Seemon,Rang 2,Holografisch Selten,kawayoo,"reverse, holo",Kampfstile,Schwert & Schild,183
swsh5-34,34,Galar-Pantimos,80,Wasser,,Basis,Häufig,kodama,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-35,35,Galar-Pantifrost,110,Wasser,Galar-Pantimos,Rang 1,Selten,HYOGONOSUKE,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-36,36,Remoraid,60,Wasser,,Basis,Häufig,HYOGONOSUKE,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-37,37,Octillery,110,Wasser,Remoraid,Rang 1,Holografisch Selten,Souichirou Gunjima,"reverse, holo",Kampfstile,Schwert & Schild,183
swsh5-38,38,Krebscorps,70,Wasser,,Basis,Häufig,chibi,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-39,39,Krebutack,130,Wasser,Krebscorps,Rang 1,Ungewöhnlich,Hasegawa Saki,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-40,40,Impoleon V,210,Wasser,,Basis,Holografisch Selten V,Ayaka Yoshida,holo,Kampfstile,Schwert & Schild,183
swsh5-41,41,Quabbel,80,Wasser,,Basis,Häufig,miki kudo,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-42,42,Apoquallyp,120,Wasser,Quabbel,Rang 1,Selten,Tomokazu Komiya,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-43,43,Knirfish,110,Wasser,,Basis,Ungewöhnlich,Misa Tsutsui,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-44,44,Elektek,80,Elektro,,Basis,Häufig,Hasuno,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-45,45,Elevoltek,140,Elektro,Elektek,Rang 1,Selten,Megumi Higuchi,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-46,46,Sheinux,60,Elektro,,Basis,Häufig,sowsow,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-47,47,Luxio,80,Elektro,Sheinux,Rang 1,Ungewöhnlich,Megumi Higuchi,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-48,48,Luxtra,150,Elektro,Luxio,Rang 2,Holografisch Selten,Kazuma Koda,"reverse, holo",Kampfstile,Schwert & Schild,183
swsh5-49,49,Pachirisu,70,Elektro,,Basis,Häufig,Naoyo Kimura,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-50,50,Kapu-Riki V,210,Elektro,,Basis,Holografisch Selten V,AKIRA EGAWA,holo,Kampfstile,Schwert & Schild,183
swsh5-51,51,Kapu-Riki VMAX,320,Elektro,Kapu-Riki-V,VMAX,Holografisch Selten VMAX,PLANETA Tsuji,holo,Kampfstile,Schwert & Schild,183
swsh5-52,52,Voldi,60,Elektro,,Basis,Häufig,sui,"normal, reverse",Kampfstile,Schwert & Schild,183
swsh5-53,53,Bellektro,130,Elektro,Voldi,Rang 1,Selten,chibi,"normal, reverse",Kampfstile,Schwert & Schild,183
