id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
col1-1,1,Clefable,80,Colorless,Clefairy,Stage1,Rare Holo,sui,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-2,2,Deoxys,80,Psychic,,Basic,Rare Holo,Ryo Ueda,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-3,3,Dialga,100,Metal,,Basic,Rare Holo,Ayaka Yoshida,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-4,4,Espeon,90,Psychic,Eevee,Stage1,Rare Holo,match,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-5,5,Forretress,90,Metal,Pineco,Stage1,Rare Holo,Kyoko Umemoto,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-6,6,Groudon,100,Fighting,,Basic,Rare Holo,Ryo Ueda,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-7,7,Gyarados,130,Water,Magikarp,Stage1,Rare Holo,Mitsuhiro Arita,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-8,8,Hitmontop,60,Fighting,,Basic,Rare Holo,Shigenori Negishi,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-9,9,Ho-Oh,100,Fire,,Basic,Rare Holo,Ryo Ueda,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-10,10,Houndoom,90,Darkness,Houndour,Stage1,Rare Holo,Kagemaru Himeno,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-11,11,Jirachi,60,Psychic,,Basic,Rare Holo,match,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-12,12,Kyogre,100,Water,,Basic,Rare Holo,Ryo Ueda,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-13,13,Leafeon,90,Grass,Eevee,Stage1,Rare Holo,match,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-14,14,Lucario,90,Fighting,Riolu,Stage1,Rare Holo,Takashi Yamaguchi,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-15,15,Lugia,100,Water,,Basic,Rare Holo,Ryo Ueda,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-16,16,Magmortar,110,Fire,Magmar,Stage1,Rare Holo,Hajime Kusajima,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-17,17,Ninetales,90,Fire,Vulpix,Stage1,Rare Holo,TOKIYA,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-18,18,Pachirisu,60,Lightning,,Basic,Rare Holo,Noriko Hotta,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-19,19,Palkia,100,Water,,Basic,Rare Holo,Daisuke Iwamoto,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-20,20,Rayquaza,100,Colorless,,Basic,Rare Holo,Ryo Ueda,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-21,21,Smeargle,70,Colorless,,Basic,Rare Holo,Midori Harada,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-22,22,Umbreon,90,Darkness,Eevee,Stage1,Rare Holo,Mitsuhiro Arita,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-23,23,Ampharos,120,Lightning,Flaaffy,Stage2,Rare,Masakazu Fukuda,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-24,24,Cleffa,30,Colorless,,Basic,Rare,sui,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-25,25,Feraligatr,130,Water,Croconaw,Stage2,Rare,kawayoo,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-26,26,Granbull,90,Colorless,Snubbull,Stage1,Rare,Mizue,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-27,27,Meganium,130,Grass,Bayleef,Stage2,Rare,Shin Nagasawa,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-28,28,Mismagius,80,Psychic,Misdreavus,Stage1,Rare,Suwama Chiaki,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-29,29,Mr. Mime,70,Psychic,,Basic,Rare,Noriko Hotta,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-30,30,Pidgeot,120,Colorless,Pidgeotto,Stage2,Rare,Suwama Chiaki,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-31,31,Skarmory,80,Metal,,Basic,Rare,Midori Harada,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-32,32,Slowking,80,Psychic,Slowpoke,Stage1,Rare,Sumiyoshi Kizuki,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-33,33,Snorlax,100,Colorless,,Basic,Rare,Kent Kanetsuna,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-34,34,Tangrowth,110,Grass,Tangela,Stage1,Rare,Hideaki Hakozaki,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-35,35,Typhlosion,130,Fire,Quilava,Stage2,Rare,Kagemaru Himeno,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-36,36,Tyrogue,30,Fighting,,Basic,Rare,Shigenori Negishi,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-37,37,Ursaring,100,Colorless,Teddiursa,Stage1,Rare,Kouki Saitou,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-38,38,Weezing,90,Psychic,Koffing,Stage1,Rare,Hajime Kusajima,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-39,39,Zangoose,80,Colorless,,Basic,Rare,Wataru Kawahara,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-40,40,Bayleef,90,Grass,Chikorita,Stage1,Uncommon,Shin Nagasawa,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-41,41,Croconaw,80,Water,Totodile,Stage1,Uncommon,kawayoo,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-42,42,Donphan,100,Fighting,Phanpy,Stage1,Uncommon,Midori Harada,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-43,43,Flaaffy,80,Lightning,Mareep,Stage1,Uncommon,Masakazu Fukuda,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-44,44,Flareon,90,Fire,Eevee,Stage1,Uncommon,kawayoo,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-45,45,Jolteon,80,Lightning,Eevee,Stage1,Uncommon,Shin Nagasawa,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-46,46,Magby,30,Fire,,Basic,Uncommon,Akira Komayama,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-47,47,Mime Jr.,30,Psychic,,Basic,Uncommon,Noriko Hotta,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-48,48,Pidgeotto,80,Colorless,Pidgey,Stage1,Uncommon,Suwama Chiaki,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-49,49,Quilava,80,Fire,Cyndaquil,Stage1,Uncommon,Kagemaru Himeno,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-50,50,Riolu,50,Fighting,,Basic,Uncommon,Takashi Yamaguchi,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-51,51,Seviper,90,Psychic,,Basic,Uncommon,Wataru Kawahara,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-52,52,Vaporeon,90,Water,Eevee,Stage1,Uncommon,sui,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-53,53,Chikorita,50,Grass,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-54,54,Clefairy,50,Colorless,,Basic,Common,sui,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-55,55,Cyndaquil,40,Fire,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-56,56,Eevee,50,Colorless,,Basic,Common,Akira Komayama,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-57,57,Hitmonchan,70,Fighting,,Basic,Common,Kouki Saitou,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-58,58,Hitmonlee,80,Fighting,,Basic,Common,Kouki Saitou,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-59,59,Houndour,50,Darkness,,Basic,Common,Kagemaru Himeno,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-60,60,Koffing,50,Psychic,,Basic,Common,Hajime Kusajima,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-61,61,Magikarp,30,Water,,Basic,Common,Mitsuhiro Arita,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-62,62,Magmar,70,Fire,,Basic,Common,Hajime Kusajima,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-63,63,Mareep,40,Lightning,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-64,64,Mawile,60,Metal,,Basic,Common,TOKIYA,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-65,65,Misdreavus,60,Psychic,,Basic,Common,Suwama Chiaki,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-66,66,Phanpy,60,Fighting,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-67,67,Pidgey,50,Colorless,,Basic,Common,Suwama Chiaki,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-68,68,Pineco,60,Grass,,Basic,Common,Kyoko Umemoto,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-69,69,Relicanth,80,Water,,Basic,Common,Wataru Kawahara,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-70,70,Slowpoke,60,Water,,Basic,Common,Sumiyoshi Kizuki,"normal, reverse, holo",Call of Legends,Call of Legends,106
col1-71,71,Snubbull,50,Colorless,,Basic,Common,Mizue,"normal, reverse, holo",Call of Legends,Call of Legends,106
