id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv03.5-001,001,Bulbasaur,70,Grass,,Basic,Common,Yuu Nishida,"normal, reverse",151,Scarlet & Violet,207
sv03.5-002,002,Ivysaur,100,Grass,Bulbasaur,Stage1,Uncommon,Yuu Nishida,"normal, reverse",151,Scarlet & Violet,207
sv03.5-003,003,Venusaur ex,340,Grass,Ivysaur,Stage2,Double rare,5ban Graphics,holo,151,Scarlet & Violet,207
sv03.5-004,004,Charmander,70,Fire,,Basic,Common,GIDORA,"normal, reverse",151,Scarlet & Violet,207
sv03.5-005,005,Charmeleon,100,Fire,Charmander,Stage1,Uncommon,GIDORA,"normal, reverse",151,Scarlet & Violet,207
sv03.5-006,006,Charizard ex,330,Fire,Charmeleon,Stage2,Double rare,PLANETA Mochizuki,holo,151,Scarlet & Violet,207
sv03.5-007,007,Squirtle,60,Water,,Basic,Common,kantaro,"normal, reverse",151,Scarlet & Violet,207
sv03.5-008,008,Wartortle,100,Water,Squirtle,Stage1,Uncommon,kantaro,"normal, reverse",151,Scarlet & Violet,207
sv03.5-009,009,Blastoise ex,330,Water,Wartortle,Stage2,Double rare,PLANETA Yamashita,holo,151,Scarlet & Violet,207
sv03.5-010,010,Caterpie,50,Grass,,Basic,Common,Tika Matsuno,"normal, reverse",151,Scarlet & Violet,207
sv03.5-011,011,Metapod,90,Grass,Caterpie,Stage1,Common,Tika Matsuno,"normal, reverse",151,Scarlet & Violet,207
sv03.5-012,012,Butterfree,130,Grass,Metapod,Stage2,Uncommon,Tika Matsuno,"normal, reverse",151,Scarlet & Violet,207
sv03.5-013,013,Weedle,50,Grass,,Basic,Common,nisimono,"normal, reverse",151,Scarlet & Violet,207
sv03.5-014,014,Kakuna,80,Grass,Weedle,Stage1,Common,nisimono,"normal, reverse",151,Scarlet & Violet,207
sv03.5-015,015,Beedrill,130,Grass,Kakuna,Stage2,Rare,nisimono,"reverse, holo",151,Scarlet & Violet,207
sv03.5-016,016,Pidgey,50,Colorless,,Basic,Common,Oswaldo KATO,"normal, reverse",151,Scarlet & Violet,207
sv03.5-017,017,Pidgeotto,80,Colorless,Pidgey,Stage1,Common,Oswaldo KATO,"normal, reverse",151,Scarlet & Violet,207
sv03.5-018,018,Pidgeot,130,Colorless,Pidgeotto,Stage2,Uncommon,Oswaldo KATO,"normal, reverse",151,Scarlet & Violet,207
sv03.5-019,019,Rattata,40,Colorless,,Basic,Common,sowsow,"normal, reverse",151,Scarlet & Violet,207
sv03.5-020,020,Raticate,70,Colorless,Rattata,Stage1,Uncommon,sowsow,"normal, reverse",151,Scarlet & Violet,207
sv03.5-021,021,Spearow,50,Colorless,,Basic,Common,Gemi,"normal, reverse",151,Scarlet & Violet,207
sv03.5-022,022,Fearow,90,Colorless,Spearow,Stage1,Uncommon,Gemi,"normal, reverse",151,Scarlet & Violet,207
sv03.5-023,023,Ekans,70,Darkness,,Basic,Common,Kedamahadaitai Yawarakai,"normal, reverse",151,Scarlet & Violet,207
sv03.5-024,024,Arbok ex,270,Darkness,Ekans,Stage1,Double rare,Eske Yoshinob,holo,151,Scarlet & Violet,207
sv03.5-025,025,Pikachu,60,Lightning,,Basic,Common,Naoyo Kimura,"normal, reverse",151,Scarlet & Violet,207
sv03.5-026,026,Raichu,120,Lightning,Pikachu,Stage1,Rare,Naoyo Kimura,"reverse, holo",151,Scarlet & Violet,207
sv03.5-027,027,Sandshrew,60,Fighting,,Basic,Common,kodama,"normal, reverse",151,Scarlet & Violet,207
sv03.5-028,028,Sandslash,120,Fighting,Sandshrew,Stage1,Uncommon,kodama,"normal, reverse",151,Scarlet & Violet,207
sv03.5-029,029,Nidoran♀,60,Darkness,,Basic,Common,Teeziro,"normal, reverse",151,Scarlet & Violet,207
sv03.5-030,030,Nidorina,90,Darkness,Nidoran♀,Stage1,Uncommon,Teeziro,"normal, reverse",151,Scarlet & Violet,207
sv03.5-031,031,Nidoqueen,170,Darkness,Nidorina,Stage2,Uncommon,Teeziro,"normal, reverse",151,Scarlet & Violet,207
sv03.5-032,032,Nidoran♂,60,Darkness,,Basic,Common,Shiburingaru,"normal, reverse",151,Scarlet & Violet,207
sv03.5-033,033,Nidorino,90,Darkness,Nidoran♂,Stage1,Uncommon,Shiburingaru,"normal, reverse",151,Scarlet & Violet,207
sv03.5-034,034,Nidoking,170,Darkness,Nidorino,Stage2,Rare,Shiburingaru,"reverse, holo",151,Scarlet & Violet,207
sv03.5-035,035,Clefairy,60,Psychic,,Basic,Common,ryoma uratsuka,"normal, reverse",151,Scarlet & Violet,207
sv03.5-036,036,Clefable,100,Psychic,Clefairy,Stage1,Uncommon,ryoma uratsuka,"normal, reverse",151,Scarlet & Violet,207
sv03.5-037,037,Vulpix,70,Fire,,Basic,Common,kawayoo,"normal, reverse",151,Scarlet & Violet,207
sv03.5-038,038,Ninetales ex,260,Fire,Vulpix,Stage1,Double rare,kawayoo,holo,151,Scarlet & Violet,207
sv03.5-039,039,Jigglypuff,70,Colorless,,Basic,Common,saino misaki,"normal, reverse",151,Scarlet & Violet,207
sv03.5-040,040,Wigglytuff ex,250,Colorless,Jigglypuff,Stage1,Double rare,Saki Hayashiro,holo,151,Scarlet & Violet,207
sv03.5-041,041,Zubat,40,Darkness,,Basic,Common,Scav,"normal, reverse",151,Scarlet & Violet,207
sv03.5-042,042,Golbat,80,Darkness,Zubat,Stage1,Uncommon,Scav,"normal, reverse",151,Scarlet & Violet,207
sv03.5-043,043,Oddish,60,Grass,,Basic,Common,Sekio,"normal, reverse",151,Scarlet & Violet,207
sv03.5-044,044,Gloom,70,Grass,Oddish,Stage1,Uncommon,Sekio,"normal, reverse",151,Scarlet & Violet,207
sv03.5-045,045,Vileplume,140,Grass,Gloom,Stage2,Rare,Sekio,"reverse, holo",151,Scarlet & Violet,207
sv03.5-046,046,Paras,70,Grass,,Basic,Common,Yoriyuki Ikegami,"normal, reverse",151,Scarlet & Violet,207
sv03.5-047,047,Parasect,120,Grass,Paras,Stage1,Uncommon,Yoriyuki Ikegami,"normal, reverse",151,Scarlet & Violet,207
sv03.5-048,048,Venonat,70,Grass,,Basic,Common,Kagemaru Himeno,"normal, reverse",151,Scarlet & Violet,207
sv03.5-049,049,Venomoth,90,Grass,Venonat,Stage1,Uncommon,Kagemaru Himeno,"normal, reverse",151,Scarlet & Violet,207
sv03.5-050,050,Diglett,50,Fighting,,Basic,Common,Miki Tanaka,"normal, reverse",151,Scarlet & Violet,207
sv03.5-051,051,Dugtrio,90,Fighting,Diglett,Stage1,Uncommon,Miki Tanaka,"normal, reverse",151,Scarlet & Violet,207
sv03.5-052,052,Meowth,70,Colorless,,Basic,Common,Naoki Saito,"normal, reverse",151,Scarlet & Violet,207
sv03.5-053,053,Persian,110,Colorless,Meowth,Stage1,Uncommon,Naoki Saito,"normal, reverse",151,Scarlet & Violet,207
sv03.5-054,054,Psyduck,70,Water,,Basic,Common,Taira Akitsu,"normal, reverse",151,Scarlet & Violet,207
sv03.5-055,055,Golduck,110,Water,Psyduck,Stage1,Uncommon,Taira Akitsu,"normal, reverse",151,Scarlet & Violet,207
sv03.5-056,056,Mankey,60,Fighting,,Basic,Common,Mina Nakai,"normal, reverse",151,Scarlet & Violet,207
sv03.5-057,057,Primeape,120,Fighting,Mankey,Stage1,Uncommon,Mina Nakai,"normal, reverse",151,Scarlet & Violet,207
sv03.5-058,058,Growlithe,80,Fire,,Basic,Common,Atsushi Furusawa,"normal, reverse",151,Scarlet & Violet,207
sv03.5-059,059,Arcanine,150,Fire,Growlithe,Stage1,Uncommon,Atsushi Furusawa,"normal, reverse",151,Scarlet & Violet,207
sv03.5-060,060,Poliwag,60,Water,,Basic,Common,Kurata So,"normal, reverse",151,Scarlet & Violet,207
sv03.5-061,061,Poliwhirl,90,Water,Poliwag,Stage1,Common,Kurata So,"normal, reverse",151,Scarlet & Violet,207
sv03.5-062,062,Poliwrath,160,Water,Poliwhirl,Stage2,Uncommon,Kurata So,"normal, reverse",151,Scarlet & Violet,207
sv03.5-063,063,Abra,50,Psychic,,Basic,Common,Mitsuhiro Arita,"normal, reverse",151,Scarlet & Violet,207
sv03.5-064,064,Kadabra,80,Psychic,Abra,Stage1,Uncommon,Mitsuhiro Arita,"normal, reverse",151,Scarlet & Violet,207
sv03.5-065,065,Alakazam ex,310,Psychic,Kadabra,Stage2,Double rare,Mitsuhiro Arita,holo,151,Scarlet & Violet,207
