id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv03.5-001,001,Bulbizarre,70,Plante,,De base,Commune,Yuu Nishida,"normal, reverse",151,Écarlate et Violet,207
sv03.5-002,002,Herbizarre,100,Plante,Bulbizarre,Niveau 1,Peu Commune,Yuu Nishida,"normal, reverse",151,Écarlate et Violet,207
sv03.5-003,003,Florizarre-ex,340,Plante,Herbizarre,Niveau 2,Double rare,5ban Graphics,holo,151,Écarlate et Violet,207
sv03.5-004,004,Salamèche,70,Feu,,De base,Commune,GIDORA,"normal, reverse",151,Écarlate et Violet,207
sv03.5-005,005,Reptincel,100,Feu,Salamèche,Niveau 1,Peu Commune,GIDORA,"normal, reverse",151,Écarlate et Violet,207
sv03.5-006,006,Dracaufeu-ex,330,Feu,Reptincel,Niveau 2,Double rare,PLANETA Mochizuki,holo,151,Écarlate et Violet,207
sv03.5-007,007,Carapuce,60,Eau,,De base,Commune,kantaro,"normal, reverse",151,Écarlate et Violet,207
sv03.5-008,008,Carabaffe,100,Eau,Carapuce,Niveau 1,Peu Commune,kantaro,"normal, reverse",151,Écarlate et Violet,207
sv03.5-009,009,Tortank-ex,330,Eau,Carabaffe,Niveau 2,Double rare,PLANETA Yamashita,holo,151,Écarlate et Violet,207
sv03.5-010,010,Chenipan,50,Plante,,De base,Commune,Tika Matsuno,"normal, reverse",151,Écarlate et Violet,207
sv03.5-011,011,Chrysacier,90,Plante,Chenipan,Niveau 1,Commune,Tika Matsuno,"normal, reverse",151,Écarlate et Violet,207
sv03.5-012,012,Papilusion,130,Plante,Chrysacier,Niveau 2,Peu Commune,Tika Matsuno,"normal, reverse",151,Écarlate et Violet,207
sv03.5-013,013,Aspicot,50,Plante,,De base,Commune,nisimono,"normal, reverse",151,Écarlate et Violet,207
sv03.5-014,014,Coconfort,80,Plante,Aspicot,Niveau 1,Commune,nisimono,"normal, reverse",151,Écarlate et Violet,207
sv03.5-015,015,Dardargnan,130,Plante,Coconfort,Niveau 2,Rare,nisimono,"reverse, holo",151,Écarlate et Violet,207
sv03.5-016,016,Roucool,50,Incolore,,De base,Commune,Oswaldo KATO,"normal, reverse",151,Écarlate et Violet,207
sv03.5-017,017,Roucoups,80,Incolore,Roucool,Niveau 1,Commune,Oswaldo KATO,"normal, reverse",151,Écarlate et Violet,207
sv03.5-018,018,Roucarnage,130,Incolore,Roucoups,Niveau 2,Peu Commune,Oswaldo KATO,"normal, reverse",151,Écarlate et Violet,207
sv03.5-019,019,Rattata,40,Incolore,,De base,Commune,sowsow,"normal, reverse",151,Écarlate et Violet,207
