id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy7-1,1,Myrapla,50,Pflanze,,Basis,Häufig,MAHOU,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-2,2,Duflor,80,Pflanze,Myrapla,Rang 1,Ungewöhnlich,Masakazu Fukuda,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-3,3,Giflor,130,Pflanze,Duflor,Rang 2,Selten,Midori Harada,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-4,4,Blubella,120,Pflanze,Duflor,Rang 2,Ungewöhnlich,Mizue,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-5,5,Webarak,50,Pflanze,,Basis,Häufig,Naoyo Kimura,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-6,6,Ariados,70,Pflanze,Webarak,Rang 1,Ungewöhnlich,Hajime Kusajima,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-7,7,Gewaldro EX,170,Pflanze,,Basis,Ultra Selten,Eske Yoshinob,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-8,8,M-Gewaldro EX,220,Pflanze,Gewaldro-EX,MEGA,Ultra Selten,5ban Graphics,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-9,9,Wadribie,40,Pflanze,,Basis,Häufig,Sumiyoshi Kizuki,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-10,10,Honweisel,90,Pflanze,Wadribie,Rang 1,Ungewöhnlich,kawayoo,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-11,11,Honweisel,90,Pflanze,Wadribie,Rang 1,Selten,Ayaka Yoshida,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-12,12,Viridium,110,Pflanze,,Basis,Selten,match,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-13,13,Flamara,90,Feuer,Evoli,Rang 1,Ungewöhnlich,sui,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-14,14,Entei,120,Feuer,,Basis,Selten,Naoki Saito,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-15,15,Entei,130,Feuer,,Basis,Selten,Mitsuhiro Arita,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-16,16,Ignivor,70,Feuer,,Basis,Häufig,Satoshi Shirai,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-17,17,Ramoth,100,Feuer,Ignivor,Rang 1,Selten,Kyoko Umemoto,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-18,18,Ramoth,110,Feuer,Ignivor,Rang 1,Selten,Kagemaru Himeno,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-19,19,Karpador,30,Wasser,,Basis,Häufig,Akira Komayama,"normal, reverse, holo",Ewiger Anfang,XY,101
xy7-20,20,Garados,130,Wasser,Karpador,Rang 1,Selten,Shin Nagasawa,"normal, reverse, holo",Ewiger Anfang,XY,101
