id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
pl4-1,1,Charizard,,Fire,Charmeleon,Stage2,Rare Holo,Kagemaru Himeno,"reverse, holo",Arceus,Platinum,111
pl4-2,2,Froslass,,Water,Snorunt,Stage1,Rare Holo,TOKIYA,"reverse, holo",Arceus,Platinum,111
pl4-3,3,Heatran,,Fire,,Basic,Rare Holo,Keiko Moritsugu,"reverse, holo",Arceus,Platinum,111
pl4-4,4,Kabutops,,Fighting,Kabuto,Stage2,Rare Holo,Hajime Kusajima,"reverse, holo",Arceus,Platinum,111
pl4-5,5,Luxray,120,Lightning,Luxio,Stage2,Rare Holo,kawayoo,"normal, reverse, holo",Arceus,Platinum,111
pl4-6,6,Mothim,90,Grass,Burmy,Stage1,Rare Holo,Kagemaru Himeno,"reverse, holo",Arceus,Platinum,111
pl4-7,7,Probopass,,Metal,Nosepass,Stage1,Rare Holo,Kouki Saitou,"reverse, holo",Arceus,Platinum,111
pl4-8,8,Salamence,,Colorless,Shelgon,Stage2,Rare Holo,Shin Nagasawa,"reverse, holo",Arceus,Platinum,111
pl4-9,9,Swalot,,Psychic,Gulpin,Stage1,Rare Holo,Aya Kusube,"normal, reverse, holo",Arceus,Platinum,111
pl4-10,10,Tangrowth,,Grass,Tangela,Stage1,Rare Holo,Masakazu Fukuda,"normal, reverse, holo",Arceus,Platinum,111
pl4-11,11,Toxicroak,,Fighting,Croagunk,Stage1,Rare Holo,Kouki Saitou,"reverse, holo",Arceus,Platinum,111
pl4-12,12,Zapdos,,Lightning,,Basic,Rare Holo,Ryota Saito,"reverse, holo",Arceus,Platinum,111
pl4-13,13,Aerodactyl,,Fighting,Old Amber,Stage1,Rare,Masakazu Fukuda,"normal, reverse",Arceus,Platinum,111
pl4-14,14,Bronzong,,Metal,Bronzor,Stage1,Rare,Atsuko Nishida,"normal, reverse",Arceus,Platinum,111
pl4-15,15,Cherrim,,Grass,Cherubi,Stage1,Rare,Midori Harada,"normal, reverse",Arceus,Platinum,111
pl4-16,16,Gengar,110,Psychic,Haunter,Stage2,Rare,Midori Harada,"normal, reverse",Arceus,Platinum,111
pl4-17,17,Gengar,120,Psychic,Haunter,Stage2,Rare,Mitsuhiro Arita,"normal, reverse",Arceus,Platinum,111
pl4-18,18,Glalie,,Water,Snorunt,Stage1,Rare,Hiroki Fuchino,"normal, reverse",Arceus,Platinum,111
pl4-19,19,Golem,,Fighting,Graveler,Stage2,Rare,Masakazu Fukuda,"normal, reverse",Arceus,Platinum,111
pl4-20,20,Hariyama,,Fighting,Makuhita,Stage1,Rare,Midori Harada,"normal, reverse",Arceus,Platinum,111
pl4-21,21,Lopunny,,Colorless,Buneary,Stage1,Rare,Kyoko Umemoto,"normal, reverse",Arceus,Platinum,111
pl4-22,22,Manectric,,Lightning,Electrike,Stage1,Rare,Mana Ibe,"normal, reverse",Arceus,Platinum,111
pl4-23,23,Omastar,,Water,Omanyte,Stage2,Rare,Hajime Kusajima,"normal, reverse",Arceus,Platinum,111
pl4-24,24,Pelipper,,Water,Wingull,Stage1,Rare,Miki Tanaka,"normal, reverse",Arceus,Platinum,111
pl4-25,25,Pichu,,Lightning,,Basic,Rare,Kanako Eo,"normal, reverse",Arceus,Platinum,111
pl4-26,26,Porygon-Z,,Colorless,,Basic,Rare,Nobuyuki Fujimoto,"normal, reverse",Arceus,Platinum,111
pl4-27,27,Raichu,,Lightning,Pikachu,Stage1,Rare,Suwama Chiaki,"normal, reverse",Arceus,Platinum,111
pl4-28,28,Rapidash,,Fire,Ponyta,Stage1,Rare,Lee HyunJung,"normal, reverse",Arceus,Platinum,111
