id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh10-001,001,Beedrill V,210,Grass,,Basic,Holo Rare V,,holo,Astral Radiance,Sword & Shield,246
swsh10-002,002,Hisuian Voltorb,50,Grass,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-003,003,Hisuian Electrode,90,Grass,Hisuian Voltorb,Stage1,Uncommon,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-004,004,Scyther,90,Grass,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-005,005,Scyther,80,Grass,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-006,006,Yanma,60,Grass,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-007,007,Yanmega,120,Grass,Yanma,Stage1,Uncommon,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-008,008,Heracross,110,Grass,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-009,009,Kricketot,60,Grass,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-010,010,Kricketune,90,Grass,Kricketot,Stage1,Uncommon,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-011,011,Combee,50,Grass,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-012,012,Vespiquen,120,Grass,Combee,Stage1,Rare,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-013,013,Leafeon,110,Grass,Eevee,Stage1,Rare,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-014,014,Shaymin,70,Grass,,Basic,Rare,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-015,015,Petilil,50,Grass,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-016,016,Hisuian Lilligant,110,Grass,Petilil,Stage1,Holo Rare,,"reverse, holo",Astral Radiance,Sword & Shield,246
swsh10-017,017,Hisuian Lilligant V,200,Grass,,Basic,Holo Rare V,,holo,Astral Radiance,Sword & Shield,246
swsh10-018,018,Hisuian Lilligant VSTAR,260,Grass,Hisuian Lilligant V,VSTAR,Holo Rare VSTAR,,holo,Astral Radiance,Sword & Shield,246
swsh10-019,019,Rowlet,60,Grass,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-020,020,Dartrix,90,Grass,Rowlet,Stage1,Uncommon,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-021,021,Ponyta,60,Fire,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-022,022,Rapidash,100,Fire,Ponyta,Stage1,Rare,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-023,023,Cyndaquil,60,Fire,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-024,024,Quilava,90,Fire,Cyndaquil,Stage1,Uncommon,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-025,025,Heatran V,220,Fire,,Basic,Holo Rare V,,holo,Astral Radiance,Sword & Shield,246
swsh10-026,026,Heatran VMAX,330,Fire,Heatran V,VMAX,Holo Rare VMAX,,holo,Astral Radiance,Sword & Shield,246
swsh10-027,027,Radiant Heatran,160,Fire,,Basic,Radiant Rare,,holo,Astral Radiance,Sword & Shield,246
swsh10-028,028,Psyduck,60,Water,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-029,029,Golduck,100,Water,Psyduck,Stage1,Uncommon,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-030,030,Starmie V,190,Water,,Basic,Ultra Rare,,holo,Astral Radiance,Sword & Shield,246
swsh10-031,031,Swinub,60,Water,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-032,032,Piloswine,90,Water,Swinub,Stage1,Uncommon,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-033,033,Mamoswine,180,Water,Piloswine,Stage2,Rare,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-034,034,Mantine,110,Water,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-035,035,Barboach,60,Water,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-036,036,Whiscash,120,Water,Barboach,Stage1,Uncommon,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-037,037,Regice,130,Water,,Basic,Rare,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-038,038,Glaceon,110,Water,Eevee,Stage1,Rare,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-039,039,Origin Forme Palkia V,220,Water,,Basic,Holo Rare V,,holo,Astral Radiance,Sword & Shield,246
swsh10-040,040,Origin Forme Palkia VSTAR,280,Water,Origin Forme Palkia V,VSTAR,Holo Rare VSTAR,,holo,Astral Radiance,Sword & Shield,246
swsh10-041,041,Oshawott,70,Water,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-042,042,Dewott,90,Water,Oshawott,Stage1,Uncommon,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-043,043,Hisuian Basculin,50,Water,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-044,044,Hisuian Basculegion,120,Water,Hisuian Basculin,Stage1,Rare,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-045,045,Keldeo,110,Water,,Basic,Holo Rare,,"reverse, holo",Astral Radiance,Sword & Shield,246
swsh10-046,046,Radiant Greninja,130,Water,,Basic,Radiant Rare,,holo,Astral Radiance,Sword & Shield,246
swsh10-047,047,Bergmite,70,Water,,Basic,Common,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-048,048,Hisuian Avalugg,140,Water,Bergmite,Stage1,Rare,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-049,049,Galarian Mr. Rime V,210,Water,,Basic,Holo Rare V,,holo,Astral Radiance,Sword & Shield,246
swsh10-050,050,Luxray V,210,Lightning,,Basic,Holo Rare V,,holo,Astral Radiance,Sword & Shield,246
swsh10-051,051,Regieleki,130,Lightning,,Basic,Rare,,"normal, reverse",Astral Radiance,Sword & Shield,246
swsh10-052,052,Hisuian Typhlosion,150,Psychic,Quilava,Stage2,Holo Rare,,"reverse, holo",Astral Radiance,Sword & Shield,246
swsh10-053,053,Hisuian Typhlosion V,210,Psychic,,Basic,Holo Rare V,,holo,Astral Radiance,Sword & Shield,246
