id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh10-001,001,Dardargnan V,210,Plante,,De base,Holo Rare V,,holo,Astres Radieux,Épée et Bouclier,246
swsh10-002,002,Voltorbe de Hisui,50,Plante,,De base,Commune,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-003,003,Électrode de Hisui,90,Plante,Voltorbe de Hisui,Niveau 1,Peu Commune,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-004,004,Insécateur,90,Plante,,De base,Commune,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-005,005,Insécateur,80,Plante,,De base,Commune,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-006,006,Yanma,60,Plante,,De base,Commune,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-007,007,Yanmega,120,Plante,Yanma,Niveau 1,Peu Commune,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-008,008,Scarhino,110,Plante,,De base,Commune,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-009,009,Crikzik,60,Plante,,De base,Commune,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-010,010,Mélokrik,90,Plante,Crikzik,Niveau 1,Peu Commune,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-011,011,Apitrini,50,Plante,,De base,Commune,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-012,012,Apireine,120,Plante,Apitrini,Niveau 1,Rare,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-013,013,Phyllali,110,Plante,Évoli,Niveau 1,Rare,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-014,014,Shaymin,70,Plante,,De base,Rare,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-015,015,Chlorobule,50,Plante,,De base,Commune,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-016,016,Fragilady de Hisui,110,Plante,Chlorobule,Niveau 1,Holo Rare,,"reverse, holo",Astres Radieux,Épée et Bouclier,246
swsh10-017,017,Fragilady de Hisui V,200,Plante,,De base,Holo Rare V,,holo,Astres Radieux,Épée et Bouclier,246
swsh10-018,018,Fragilady de Hisui VSTAR,260,Plante,Fragilady de Hisui-V,VSTAR,Holo Rare VSTAR,,holo,Astres Radieux,Épée et Bouclier,246
swsh10-019,019,Brindibou,60,Plante,,De base,Commune,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-020,020,Efflèche,90,Plante,Brindibou,Niveau 1,Peu Commune,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
swsh10-021,021,Ponyta,60,Feu,,De base,Commune,,"normal, reverse",Astres Radieux,Épée et Bouclier,246
