id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy9-1,1,Chikorita,60,Grass,,Basic,Common,Akira Komayama,"normal, reverse, holo",BREAKpoint,XY,126
xy9-2,2,Bayleef,90,Grass,Chikorita,Stage1,Uncommon,Mizue,"normal, reverse, holo",BREAKpoint,XY,126
xy9-3,3,Meganium,150,Grass,Bayleef,Stage2,Rare,kawayoo,"normal, reverse, holo",BREAKpoint,XY,126
xy9-4,4,Seedot,50,Grass,,Basic,Common,Kanako Eo,"normal, reverse, holo",BREAKpoint,XY,126
xy9-5,5,Kricketot,60,Grass,,Basic,Common,Sumiyoshi Kizuki,"normal, reverse, holo",BREAKpoint,XY,126
xy9-6,6,Kricketune,90,Grass,Kricketot,Stage1,Uncommon,Suwama Chiaki,"normal, reverse, holo",BREAKpoint,XY,126
xy9-7,7,Petilil,50,Grass,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",BREAKpoint,XY,126
xy9-8,8,Lilligant,80,Grass,Petilil,Stage1,Rare,Shin Nagasawa,"normal, reverse, holo",BREAKpoint,XY,126
xy9-9,9,Durant,70,Grass,,Basic,Uncommon,Kouki Saitou,"normal, reverse, holo",BREAKpoint,XY,126
xy9-10,10,Growlithe,70,Fire,,Basic,Common,match,"normal, reverse, holo",BREAKpoint,XY,126
xy9-11,11,Arcanine,110,Fire,Growlithe,Stage1,Uncommon,match,"normal, reverse, holo",BREAKpoint,XY,126
xy9-12,12,Numel,80,Fire,,Basic,Common,MAHOU,"normal, reverse, holo",BREAKpoint,XY,126
xy9-13,13,Camerupt,130,Fire,Numel,Stage1,Rare,Shigenori Negishi,"normal, reverse, holo",BREAKpoint,XY,126
xy9-14,14,Emboar EX,180,Fire,,Basic,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",BREAKpoint,XY,126
xy9-15,15,Heatmor,100,Fire,,Basic,Uncommon,match,"normal, reverse, holo",BREAKpoint,XY,126
xy9-16,16,Psyduck,60,Water,,Basic,Common,Kagemaru Himeno,"normal, reverse, holo",BREAKpoint,XY,126
xy9-17,17,Golduck,100,Water,Psyduck,Stage1,Rare,Mitsuhiro Arita,"normal, reverse, holo",BREAKpoint,XY,126
xy9-18,18,Golduck BREAK,140,Water,Golduck,BREAK,Ultra Rare,5ban Graphics,"normal, reverse, holo",BREAKpoint,XY,126
xy9-19,19,Slowpoke,70,Water,,Basic,Common,Akira Komayama,"normal, reverse, holo",BREAKpoint,XY,126
xy9-20,20,Slowbro,100,Water,Slowpoke,Stage1,Uncommon,kirisAki,"normal, reverse, holo",BREAKpoint,XY,126
xy9-21,21,Slowking,100,Water,Slowpoke,Stage1,Rare,Aya Kusube,"normal, reverse, holo",BREAKpoint,XY,126
xy9-22,22,Shellder,60,Water,,Basic,Common,Mizue,"normal, reverse, holo",BREAKpoint,XY,126
