id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy9-1,1,Germignon,60,Plante,,De base,Commune,Akira Komayama,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-2,2,Macronium,90,Plante,Germignon,Niveau 1,Peu Commune,Mizue,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-3,3,Méganium,150,Plante,Macronium,Niveau 2,Rare,kawayoo,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-4,4,Grainipiot,50,Plante,,De base,Commune,Kanako Eo,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-5,5,Crikzik,60,Plante,,De base,Commune,Sumiyoshi Kizuki,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-6,6,Mélokrik,90,Plante,Crikzik,Niveau 1,Peu Commune,Suwama Chiaki,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-7,7,Chlorobule,50,Plante,,De base,Commune,Naoyo Kimura,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-8,8,Fragilady,80,Plante,Chlorobule,Niveau 1,Rare,Shin Nagasawa,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-9,9,Fermite,70,Plante,,De base,Peu Commune,Kouki Saitou,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-10,10,Caninos,70,Feu,,De base,Commune,match,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-11,11,Arcanin,110,Feu,Caninos,Niveau 1,Peu Commune,match,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-12,12,Chamallot,80,Feu,,De base,Commune,MAHOU,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-13,13,Camérupt,130,Feu,Chamallot,Niveau 1,Rare,Shigenori Negishi,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-14,14,Roitiflam EX,180,Feu,,De base,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-15,15,Aflamanoir,100,Feu,,De base,Peu Commune,match,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-16,16,Psykokwak,60,Eau,,De base,Commune,Kagemaru Himeno,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-17,17,Akwakwak,100,Eau,Psykokwak,Niveau 1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-18,18,Akwakwak TURBO,140,Eau,Akwakwak,TURBO,Ultra Rare,5ban Graphics,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-19,19,Ramoloss,70,Eau,,De base,Commune,Akira Komayama,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-20,20,Flagadoss,100,Eau,Ramoloss,Niveau 1,Peu Commune,kirisAki,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-21,21,Roigada,100,Eau,Ramoloss,Niveau 1,Rare,Aya Kusube,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-22,22,Kokiyas,60,Eau,,De base,Commune,Mizue,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-23,23,Kokiyas,60,Eau,,De base,Commune,Kouki Saitou,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-24,24,Crustabri,100,Eau,Kokiyas,Niveau 1,Peu Commune,Saya Tsuruta,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-25,25,Stari,40,Eau,,De base,Commune,Hiroki Asanuma,"normal, reverse, holo",Rupture Turbo,XY,126
xy9-26,26,Léviator EX,180,Eau,,De base,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Rupture Turbo,XY,126
