id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bwp-BW01,BW01,Vipélierre,60,Plante,,De base,Commune,Ken Sugimori,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW02,BW02,Gruikui,70,Feu,,De base,Commune,Ken Sugimori,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW03,BW03,Moustillon,60,Eau,,De base,Commune,Ken Sugimori,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW04,BW04,Reshiram,130,Feu,,De base,Rare,5ban Graphics,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW05,BW05,Zekrom,130,Électrique,,De base,Rare,5ban Graphics,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW06,BW06,Vipélierre,60,Plante,,De base,Commune,Shizurow,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW07,BW07,Gruikui,60,Feu,,De base,Commune,Shin Nagasawa,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW08,BW08,Moustillon,60,Eau,,De base,Commune,Mitsuhiro Arita,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW09,BW09,Zoroark,100,Obscurité,Zorua,Niveau 1,Rare,Naoki Saito,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW10,BW10,Coupenotte,50,Incolore,,De base,Commune,Masakazu Fukuda,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW100,BW100,N,,,,,Peu Commune,Yusuke Ohmura,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW101,BW101,Genesect,110,Plante,,De base,Commune,5ban Graphics,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW11,BW11,Feuillajou,60,Plante,,De base,Commune,Akira Komayama,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW12,BW12,Zorua,60,Obscurité,,De base,Commune,Tomokazu Komiya,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW13,BW13,Chinchidou,50,Incolore,,De base,Commune,Atsuko Nishida,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW14,BW14,Feuillajou,60,Plante,,De base,Commune,Akira Komayama,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW15,BW15,Poichigeon,50,Incolore,,De base,Commune,Naoki Saito,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW16,BW16,Coupenotte,50,Incolore,,De base,Commune,Masakazu Fukuda,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW17,BW17,Couaneton,60,Eau,,De base,Commune,Kagemaru Himeno,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW18,BW18,Darumarond,60,Feu,,De base,Commune,Akira Komayama,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW19,BW19,Zoroark,100,Obscurité,Zorua,Niveau 1,Commune,5ban Graphics,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW20,BW20,Majaspic,130,Plante,Lianaja,Niveau 2,Rare,5ban Graphics,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW21,BW21,Roitiflam,150,Feu,Grotichon,Niveau 2,Rare,5ban Graphics,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW22,BW22,Clamiral,140,Eau,Mateloutre,Niveau 2,Rare,5ban Graphics,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW23,BW23,Reshiram,130,Feu,,De base,Rare,5ban Graphics,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW24,BW24,Zekrom,130,Électrique,,De base,Rare,5ban Graphics,"normal, reverse, holo",Promo BW,Noir & Blanc,101
bwp-BW25,BW25,Baggiguane,50,Obscurité,,De base,Commune,Akira Komayama,"normal, reverse, holo",Promo BW,Noir & Blanc,101
