id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-bw-e-1,1,Lillipup,50,Colorless,,Basic,None,Mosakazu Fukuda,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-2,2,Fighting Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-3,3,Fighting Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-4,4,Energy Switch,,,,,None,Kent Kanetsuna,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-5,5,Fighting Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-6,6,Fighting Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-7,7,Fighting Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-8,8,Fighting Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-9,9,Fighting Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-10,10,Fighting Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-11,11,Timburr,60,Fighting,,Basic,None,match,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-12,12,Audino,80,Colorless,,Basic,None,MAHOU,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-13,13,Drilbur,70,Fighting,,Basic,None,,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-14,14,Gurdurr,80,Fighting,Timburr,Stage1,None,,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-15,15,Potion,,,,,None,Ayaka Yoshida,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-16,16,PlusPower,,,,,None,5ban Graphics,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-17,17,Excadrill,110,Fighting,Drilbur,Stage1,None,5ban Graphics,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-18,18,Audino,80,Colorless,,Basic,None,MAHOU,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-19,19,Herdier,80,Colorless,Lillipup,Stage1,None,Midori Harada,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-20,20,Fighting Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-21,21,Energy Search,,,,,None,Ryo Ueda,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-22,22,Fighting Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-23,23,Potion,,,,,None,Ayaka Yoshida,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-24,24,Pokémon Communication,,,,,None,5ban Graphics,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-25,25,Drilbur,70,Fighting,,Basic,None,,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-26,26,Fighting Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-27,27,Lillipup,50,Colorless,,Basic,None,Mosakazu Fukuda,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-28,28,Fighting Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-29,29,Timburr,60,Fighting,,Basic,None,match,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
tk-bw-e-30,30,Excadrill,110,Fighting,Drilbur,Stage1,None,5ban Graphics,"normal, reverse, holo",BW trainer Kit (Excadrill),Trainer kits,30
