id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-bw-e-1,1,Ponchiot,50,Incolore,,De base,Sans Rareté,Mosakazu Fukuda,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-2,2,Énergie Combat,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-3,3,Énergie Combat,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-4,4,Échange d’Énergie,,,,,Sans Rareté,Kent Kanetsuna,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-5,5,Énergie Combat,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-6,6,Énergie Combat,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-7,7,Énergie Combat,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-8,8,Énergie Combat,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-9,9,Énergie Combat,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-10,10,Énergie Combat,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-11,11,Charpenti,60,Combat,,De base,Sans Rareté,match,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-12,12,Nanméouïe,80,Incolore,,De base,Sans Rareté,MAHOU,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-13,13,Rototaupe,70,Combat,,De base,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-14,14,Ouvrifier,80,Combat,Charpenti,Niveau 1,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-15,15,Potion,,,,,Sans Rareté,Ayaka Yoshida,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-16,16,PlusPower,,,,,Sans Rareté,5ban Graphics,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-17,17,Minotaupe,110,Combat,Rototaupe,Niveau 1,Sans Rareté,5ban Graphics,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-18,18,Nanméouïe,80,Incolore,,De base,Sans Rareté,MAHOU,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-19,19,Ponchien,80,Incolore,Ponchiot,Niveau 1,Sans Rareté,Midori Harada,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-20,20,Énergie Combat,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-21,21,Recherche d’Énergie,,,,,Sans Rareté,Ryo Ueda,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-22,22,Énergie Combat,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-23,23,Potion,,,,,Sans Rareté,Ayaka Yoshida,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-24,24,Communication Pokémon,,,,,Sans Rareté,5ban Graphics,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-25,25,Rototaupe,70,Combat,,De base,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-26,26,Énergie Combat,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-27,27,Ponchiot,50,Incolore,,De base,Sans Rareté,Mosakazu Fukuda,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-28,28,Énergie Combat,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-29,29,Charpenti,60,Combat,,De base,Sans Rareté,match,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
tk-bw-e-30,30,Minotaupe,110,Combat,Rototaupe,Niveau 1,Sans Rareté,5ban Graphics,"normal, reverse, holo",BW Kit du dresseur (Minitaupe),Kits du dresseur,30
