id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-bw-z-1,1,Purrloin,60,Darkness,,Basic,None,Kagemaru Himeno,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-2,2,Watchog,90,Colorless,Patrat,Stage1,None,match,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-3,3,Darkness Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-4,4,Minccino,60,Colorless,,Basic,None,sui,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-5,5,Darkness Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-6,6,Darkness Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-7,7,Darkness Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-8,8,Darkness Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-9,9,Darkness Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-10,10,Darkness Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-11,11,PlusPower,,,,,None,5ban Graphics,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-12,12,Patrat,50,Colorless,,Basic,None,Kagemaru Himeno,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-13,13,Zorua,60,Darkness,,Basic,None,Kouki Saitou,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-14,14,Pidove,50,Colorless,,Basic,None,Masakazu Fukuda,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-15,15,Tranquill,70,Colorless,Pidove,Stage1,None,Kouki Saitou,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-16,16,Energy Retrieval,,,,,None,Kent Kanetsuna,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-17,17,Zoroark,100,Darkness,Zorua,Stage1,None,Shin Nagasawa,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-18,18,Pokémon Communication,,,,,None,5ban Graphics,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-19,19,Minccino,60,Colorless,,Basic,None,sui,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-20,20,Darkness Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-21,21,Pidove,50,Colorless,,Basic,None,Masakazu Fukuda,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-22,22,Darkness Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-23,23,Zorua,60,Darkness,,Basic,None,Kouki Saitou,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-24,24,Darkness Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-25,25,Purrloin,60,Darkness,,Basic,None,Kagemaru Himeno,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-26,26,Darkness Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-27,27,Energy Search,,,,,None,Ryo Ueda,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-28,28,Darkness Energy,,,,,None,,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-29,29,Patrat,50,Colorless,,Basic,None,Kagemaru Himeno,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
tk-bw-z-30,30,Zoroark,100,Darkness,Zorua,Stage1,None,Shin Nagasawa,"normal, reverse, holo",BW trainer Kit (Zoroark),Trainer kits,30
