id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-bw-z-1,1,Chacripan,60,Obscurité,,De base,Sans Rareté,Kagemaru Himeno,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-2,2,Miradar,90,Incolore,Ratentif,Niveau 1,Sans Rareté,match,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-3,3,Énergie Obscurité,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-4,4,Chinchidou,60,Incolore,,De base,Sans Rareté,sui,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-5,5,Énergie Obscurité,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-6,6,Énergie Obscurité,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-7,7,Énergie Obscurité,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-8,8,Énergie Obscurité,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-9,9,Énergie Obscurité,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-10,10,Énergie Obscurité,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-11,11,PlusPower,,,,,Sans Rareté,5ban Graphics,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-12,12,Ratentif,50,Incolore,,De base,Sans Rareté,Kagemaru Himeno,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-13,13,Zorua,60,Obscurité,,De base,Sans Rareté,Kouki Saitou,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-14,14,Poichigeon,50,Incolore,,De base,Sans Rareté,Masakazu Fukuda,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-15,15,Colombeau,70,Incolore,Poichigeon,Niveau 1,Sans Rareté,Kouki Saitou,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-16,16,Récupération d’Énergie,,,,,Sans Rareté,Kent Kanetsuna,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-17,17,Zoroark,100,Obscurité,Zorua,Niveau 1,Sans Rareté,Shin Nagasawa,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-18,18,Communication Pokémon,,,,,Sans Rareté,5ban Graphics,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-19,19,Chinchidou,60,Incolore,,De base,Sans Rareté,sui,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-20,20,Énergie Obscurité,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-21,21,Poichigeon,50,Incolore,,De base,Sans Rareté,Masakazu Fukuda,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-22,22,Énergie Obscurité,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-23,23,Zorua,60,Obscurité,,De base,Sans Rareté,Kouki Saitou,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-24,24,Énergie Obscurité,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-25,25,Chacripan,60,Obscurité,,De base,Sans Rareté,Kagemaru Himeno,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-26,26,Énergie Obscurité,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-27,27,Recherche d’Énergie,,,,,Sans Rareté,Ryo Ueda,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-28,28,Énergie Obscurité,,,,,Sans Rareté,,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-29,29,Ratentif,50,Incolore,,De base,Sans Rareté,Kagemaru Himeno,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
tk-bw-z-30,30,Zoroark,100,Obscurité,Zorua,Niveau 1,Sans Rareté,Shin Nagasawa,"normal, reverse, holo",BW Kit du dresseur (Zoroark),Kits du dresseur,30
