id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
base1-1,1,Alakazam,80,Psy,,Niveau 2,Rare,Ken Sugimori,"holo, 1st edition",Set de Base,Base,102
base1-2,2,Tortank,100,Eau,,Niveau 2,Rare,Ken Sugimori,"holo, 1st edition",Set de Base,Base,102
base1-3,3,Leveinard,120,Incolore,,De base,Rare,Ken Sugimori,"holo, 1st edition",Set de Base,Base,102
base1-4,4,Dracaufeu,120,Feu,,Niveau 2,Rare,Mitsuhiro Arita,"holo, 1st edition",Set de Base,Base,102
base1-5,5,Mélofée,40,Incolore,,De base,Rare,Ken Sugimori,"holo, 1st edition",Set de Base,Base,102
base1-6,6,Léviator,100,Eau,,Niveau 1,Rare,Mitsuhiro Arita,"holo, 1st edition",Set de Base,Base,102
base1-7,7,Tygnon,70,Combat,,De base,Rare,Ken Sugimori,"holo, 1st edition",Set de Base,Base,102
base1-8,8,Mackogneur,100,Combat,,Niveau 2,Rare,Ken Sugimori,"holo, 1st edition",Set de Base,Base,102
base1-9,9,Magneton,60,Électrique,,Niveau 1,Rare,Keiji Kinebuchi,"holo, 1st edition",Set de Base,Base,102
base1-10,10,Mewtwo,60,Psy,,De base,Rare,Ken Sugimori,"holo, 1st edition",Set de Base,Base,102
base1-11,11,Nidoking,90,Plante,,Niveau 2,Rare,Ken Sugimori,"holo, 1st edition",Set de Base,Base,102
base1-12,12,Feunard,80,Feu,,Niveau 1,Rare,Ken Sugimori,"holo, 1st edition",Set de Base,Base,102
base1-13,13,Tartard,90,Eau,,Niveau 2,Rare,Ken Sugimori,"holo, 1st edition",Set de Base,Base,102
base1-14,14,Raichu,80,Électrique,,Niveau 1,Rare,Ken Sugimori,"holo, 1st edition",Set de Base,Base,102
base1-15,15,Florizarre,100,Plante,,Niveau 2,Rare,Mitsuhiro Arita,"holo, 1st edition",Set de Base,Base,102
base1-16,16,Électhor,90,Électrique,,De base,Rare,Ken Sugimori,"holo, 1st edition",Set de Base,Base,102
base1-17,17,Dardargnan,80,Plante,,Niveau 2,Rare,Ken Sugimori,"normal, 1st edition",Set de Base,Base,102
base1-18,18,Draco,80,Incolore,,Niveau 1,Rare,Mitsuhiro Arita,"normal, 1st edition",Set de Base,Base,102
base1-19,19,Triopikeur,70,Combat,,Niveau 1,Rare,Keiji Kinebuchi,"normal, 1st edition",Set de Base,Base,102
base1-20,20,Élektek,70,Électrique,,De base,Rare,Ken Sugimori,"normal, 1st edition",Set de Base,Base,102
base1-21,21,Électrode,80,Électrique,,Niveau 1,Rare,Keiji Kinebuchi,"normal, 1st edition",Set de Base,Base,102
base1-22,22,Roucoups,60,Incolore,,Niveau 1,Rare,Ken Sugimori,"normal, 1st edition",Set de Base,Base,102
base1-23,23,Arcanin,100,Feu,,Niveau 1,Peu Commune,Ken Sugimori,"normal, 1st edition",Set de Base,Base,102
base1-24,24,Reptincel,80,Feu,,Niveau 1,Peu Commune,Mitsuhiro Arita,"normal, 1st edition",Set de Base,Base,102
base1-25,25,Lamantine,80,Eau,,Niveau 1,Peu Commune,Mitsuhiro Arita,"normal, 1st edition",Set de Base,Base,102
base1-26,26,Minidraco,40,Incolore,,De base,Peu Commune,Ken Sugimori,"normal, 1st edition",Set de Base,Base,102
base1-27,27,Canarticho,50,Incolore,,De base,Peu Commune,Ken Sugimori,"normal, 1st edition",Set de Base,Base,102
base1-28,28,Caninos,60,Feu,,De base,Peu Commune,Ken Sugimori,"normal, 1st edition",Set de Base,Base,102
base1-29,29,Spectrum,60,Psy,,Niveau 1,Peu Commune,Keiji Kinebuchi,"normal, 1st edition",Set de Base,Base,102
