id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh5-1,1,Bellsprout,50,Grass,,Basic,Common,Sekio,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-2,2,Weepinbell,80,Grass,Bellsprout,Stage1,Uncommon,Shibuzoh.,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-3,3,Victreebel,150,Grass,Weepinbell,Stage2,Rare,Tika Matsuno,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-4,4,Cacnea,70,Grass,,Basic,Common,Kazuma Koda,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-5,5,Cacturne,120,Grass,Cacnea,Stage1,Uncommon,Tomokazu Komiya,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-6,6,Kricketune V,180,Grass,,Basic,Holo Rare V,Satoshi Shirai,holo,Battle Styles,Sword & Shield,183
swsh5-7,7,Cherubi,50,Grass,,Basic,Common,Akira Komayama,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-8,8,Cherrim,80,Grass,Cherubi,Stage1,Holo Rare,Mina Nakai,"reverse, holo",Battle Styles,Sword & Shield,183
swsh5-9,9,Carnivine,110,Grass,,Basic,Uncommon,AKIRA EGAWA,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-10,10,Durant,90,Grass,,Basic,Uncommon,kodama,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-11,11,Scatterbug,40,Grass,,Basic,Common,Midori Harada,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-12,12,Spewpa,80,Grass,Scatterbug,Stage1,Uncommon,Sumiyoshi Kizuki,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-13,13,Vivillon,120,Grass,Spewpa,Stage2,Rare,miki kudo,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-14,14,Fomantis,60,Grass,,Basic,Common,Yukiko Baba,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-15,15,Lurantis,120,Grass,Fomantis,Stage1,Rare,Anesaki Dynamic,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-16,16,Tapu Bulu,130,Grass,,Basic,Holo Rare,Ryota Murayama,"reverse, holo",Battle Styles,Sword & Shield,183
swsh5-17,17,Blipbug,50,Grass,,Basic,Common,Masakazu Fukuda,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-18,18,Flapple V,190,Grass,,Basic,Holo Rare V,PLANETA Mochizuki,holo,Battle Styles,Sword & Shield,183
swsh5-19,19,Flapple VMAX,320,Grass,Flapple V,VMAX,Holo Rare VMAX,PLANETA Tsuji,holo,Battle Styles,Sword & Shield,183
swsh5-20,20,Entei,130,Fire,,Basic,Holo Rare,kodama,"reverse, holo",Battle Styles,Sword & Shield,183
swsh5-21,21,Victini V,190,Fire,,Basic,Holo Rare V,Kagemaru Himeno,holo,Battle Styles,Sword & Shield,183
swsh5-22,22,Victini VMAX,310,Fire,Victini V,VMAX,Holo Rare VMAX,PLANETA Mochizuki,holo,Battle Styles,Sword & Shield,183
swsh5-23,23,Tepig,80,Fire,,Basic,Common,You Iribi,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-24,24,Pignite,100,Fire,Tepig,Stage1,Uncommon,tetsuya koizumi,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-25,25,Emboar,180,Fire,Pignite,Stage2,Holo Rare,Anesaki Dynamic,"reverse, holo",Battle Styles,Sword & Shield,183
swsh5-26,26,Heatmor,120,Fire,,Basic,Uncommon,Miki Tanaka,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-27,27,Salandit,70,Fire,,Basic,Common,Yuka Morii,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-28,28,Salazzle,90,Fire,Salandit,Stage1,Rare,Shibuzoh.,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-29,29,Sizzlipede,70,Fire,,Basic,Common,Yuka Morii,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-30,30,Centiskorch,130,Fire,Sizzlipede,Stage1,Rare,Souichirou Gunjima,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-31,31,Horsea,60,Water,,Basic,Common,Anesaki Dynamic,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-32,32,Seadra,90,Water,Horsea,Stage1,Uncommon,0313,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-33,33,Kingdra,150,Water,Seadra,Stage2,Holo Rare,kawayoo,"reverse, holo",Battle Styles,Sword & Shield,183
swsh5-34,34,Galarian Mr. Mime,80,Water,,Basic,Common,kodama,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-35,35,Galarian Mr. Rime,110,Water,Galarian Mr. Mime,Stage1,Rare,HYOGONOSUKE,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-36,36,Remoraid,60,Water,,Basic,Common,HYOGONOSUKE,"normal, reverse",Battle Styles,Sword & Shield,183
swsh5-37,37,Octillery,110,Water,Remoraid,Stage1,Holo Rare,Souichirou Gunjima,"reverse, holo",Battle Styles,Sword & Shield,183
swsh5-38,38,Corphish,70,Water,,Basic,Common,chibi,"normal, reverse",Battle Styles,Sword & Shield,183
