id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh5-1,1,Chétiflor,50,Plante,,De base,Commune,Sekio,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-2,2,Boustiflor,80,Plante,Chétiflor,Niveau 1,Peu Commune,Shibuzoh.,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-3,3,Empiflor,150,Plante,Boustiflor,Niveau 2,Rare,Tika Matsuno,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-4,4,Cacnea,70,Plante,,De base,Commune,Kazuma Koda,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-5,5,Cacturne,120,Plante,Cacnea,Niveau 1,Peu Commune,Tomokazu Komiya,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-6,6,Mélokrik V,180,Plante,,De base,Holo Rare V,Satoshi Shirai,holo,Styles de combat,Épée et Bouclier,183
swsh5-7,7,Ceribou,50,Plante,,De base,Commune,Akira Komayama,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-8,8,Ceriflor,80,Plante,Ceribou,Niveau 1,Holo Rare,Mina Nakai,"reverse, holo",Styles de combat,Épée et Bouclier,183
swsh5-9,9,Vortente,110,Plante,,De base,Peu Commune,AKIRA EGAWA,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-10,10,Fermite,90,Plante,,De base,Peu Commune,kodama,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-11,11,Lépidonille,40,Plante,,De base,Commune,Midori Harada,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-12,12,Pérégrain,80,Plante,Lépidonille,Niveau 1,Peu Commune,Sumiyoshi Kizuki,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-13,13,Prismillon,120,Plante,Pérégrain,Niveau 2,Rare,miki kudo,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-14,14,Mimantis,60,Plante,,De base,Commune,Yukiko Baba,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-15,15,Floramantis,120,Plante,Mimantis,Niveau 1,Rare,Anesaki Dynamic,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-16,16,Tokotoro,130,Plante,,De base,Holo Rare,Ryota Murayama,"reverse, holo",Styles de combat,Épée et Bouclier,183
swsh5-17,17,Larvadar,50,Plante,,De base,Commune,Masakazu Fukuda,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-18,18,Pomdrapi V,190,Plante,,De base,Holo Rare V,PLANETA Mochizuki,holo,Styles de combat,Épée et Bouclier,183
swsh5-19,19,Pomdrapi VMAX,320,Plante,Pomdrapi-V,ESCOUADE,Holo Rare VMAX,PLANETA Tsuji,holo,Styles de combat,Épée et Bouclier,183
swsh5-20,20,Entei,130,Feu,,De base,Holo Rare,kodama,"reverse, holo",Styles de combat,Épée et Bouclier,183
swsh5-21,21,Victini V,190,Feu,,De base,Holo Rare V,Kagemaru Himeno,holo,Styles de combat,Épée et Bouclier,183
swsh5-22,22,Victini VMAX,310,Feu,Victini-V,ESCOUADE,Holo Rare VMAX,PLANETA Mochizuki,holo,Styles de combat,Épée et Bouclier,183
swsh5-23,23,Gruikui,80,Feu,,De base,Commune,You Iribi,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-24,24,Grotichon,100,Feu,Gruikui,Niveau 1,Peu Commune,tetsuya koizumi,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-25,25,Roitiflam,180,Feu,Grotichon,Niveau 2,Holo Rare,Anesaki Dynamic,"reverse, holo",Styles de combat,Épée et Bouclier,183
swsh5-26,26,Aflamanoir,120,Feu,,De base,Peu Commune,Miki Tanaka,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-27,27,Tritox,70,Feu,,De base,Commune,Yuka Morii,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-28,28,Malamandre,90,Feu,Tritox,Niveau 1,Rare,Shibuzoh.,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-29,29,Grillepattes,70,Feu,,De base,Commune,Yuka Morii,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-30,30,Scolocendre,130,Feu,Grillepattes,Niveau 1,Rare,Souichirou Gunjima,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-31,31,Hypotrempe,60,Eau,,De base,Commune,Anesaki Dynamic,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-32,32,Hypocéan,90,Eau,Hypotrempe,Niveau 1,Peu Commune,0313,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-33,33,Hyporoi,150,Eau,Hypocéan,Niveau 2,Holo Rare,kawayoo,"reverse, holo",Styles de combat,Épée et Bouclier,183
swsh5-34,34,M. Mime de Galar,80,Eau,,De base,Commune,kodama,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-35,35,M. Glaquette de Galar,110,Eau,M. Mime de Galar,Niveau 1,Rare,HYOGONOSUKE,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-36,36,Rémoraid,60,Eau,,De base,Commune,HYOGONOSUKE,"normal, reverse",Styles de combat,Épée et Bouclier,183
swsh5-37,37,Octillery,110,Eau,Rémoraid,Niveau 1,Holo Rare,Souichirou Gunjima,"reverse, holo",Styles de combat,Épée et Bouclier,183
