id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw1-1,1,Serpifeu,60,Pflanze,,Basis,Häufig,Kagemaru Himeno,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-2,2,Serpifeu,60,Pflanze,,Basis,Häufig,5ban Graphics,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-3,3,Efoserp,80,Pflanze,,Rang 1,Ungewöhnlich,Kagemaru Himeno,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-4,4,Efoserp,80,Pflanze,,Rang 1,Ungewöhnlich,5ban Graphics,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-5,5,Serpiroyal,130,Pflanze,,Rang 2,Selten,Kagemaru Himeno,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-6,6,Serpiroyal,130,Pflanze,,Rang 2,Selten,5ban Graphics,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-7,7,Vegimak,60,Pflanze,,Basis,Häufig,sui,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-8,8,Vegichita,90,Pflanze,,Rang 1,Ungewöhnlich,Masakazu Fukuda,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-9,9,Lilminip,50,Pflanze,,Basis,Häufig,Kagemaru Himeno,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-10,10,Dressella,80,Pflanze,,Rang 1,Selten,Atsuko Nishida,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-11,11,Maracamba,80,Pflanze,,Basis,Ungewöhnlich,Kagemaru Himeno,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-12,12,Maracamba,90,Pflanze,,Basis,Selten,Kouki Saitou,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-13,13,Sesokitz,60,Pflanze,,Basis,Häufig,Atsuko Nishida,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-14,14,Kronjuwild,90,Pflanze,,Rang 1,Selten,Naoyo Kimura,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-15,15,Floink,60,Feuer,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-16,16,Floink,70,Feuer,,Basis,Häufig,5ban Graphics,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-17,17,Ferkokel,100,Feuer,,Rang 1,Ungewöhnlich,Kouki Saitou,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-18,18,Ferkokel,100,Feuer,,Rang 1,Ungewöhnlich,5ban Graphics,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-19,19,Flambirex,150,Feuer,,Rang 2,Selten,Kouki Saitou,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-20,20,Flambirex,150,Feuer,,Rang 2,Selten,5ban Graphics,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-21,21,Grillmak,60,Feuer,,Basis,Häufig,match,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-22,22,Grillchita,90,Feuer,,Rang 1,Ungewöhnlich,Shin Nagasawa,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-23,23,Flampion,70,Feuer,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-24,24,Flampion,70,Feuer,,Basis,Ungewöhnlich,Masakazu Fukuda,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-25,25,Flampivian,120,Feuer,,Rang 1,Selten,Naoki Saito,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-26,26,Reshiram,130,Feuer,,Basis,Selten,5ban Graphics,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-27,27,Ottaro,60,Wasser,,Basis,Häufig,Masakazu Fukuda,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-28,28,Ottaro,60,Wasser,,Basis,Häufig,5ban Graphics,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-29,29,Zwottronin,90,Wasser,,Rang 1,Ungewöhnlich,Masakazu Fukuda,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-30,30,Zwottronin,80,Wasser,,Rang 1,Ungewöhnlich,5ban Graphics,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-31,31,Admurai,140,Wasser,,Rang 2,Selten,Masakazu Fukuda,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-32,32,Admurai,140,Wasser,,Rang 2,Selten,5ban Graphics,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-33,33,Sodamak,60,Wasser,,Basis,Häufig,Atsuko Nishida,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-34,34,Sodachita,90,Wasser,,Rang 1,Ungewöhnlich,Kagemaru Himeno,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-35,35,Barschuft,70,Wasser,,Basis,Ungewöhnlich,Naoyo Kimura,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-36,36,Piccolente,60,Wasser,,Basis,Häufig,Kagemaru Himeno,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-37,37,Swaroness,90,Wasser,,Rang 1,Selten,Naoyo Kimura,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-38,38,Mamolida,100,Wasser,,Basis,Ungewöhnlich,sui,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-39,39,Mamolida,100,Wasser,,Basis,Selten,Naoyo Kimura,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-40,40,Elezeba,60,Elektro,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-41,41,Elezeba,60,Elektro,,Basis,Häufig,Kagemaru Himeno,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-42,42,Zebritz,90,Elektro,,Rang 1,Ungewöhnlich,Kouki Saitou,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-43,43,Zebritz,90,Elektro,,Rang 1,Selten,Masakazu Fukuda,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-44,44,Wattzapf,40,Elektro,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-45,45,Wattzapf,30,Elektro,,Basis,Häufig,Masakazu Fukuda,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-46,46,Voltula,80,Elektro,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-47,47,Zekrom,130,Elektro,,Basis,Selten,5ban Graphics,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-48,48,Somniam,70,Psycho,,Basis,Ungewöhnlich,Atsuko Nishida,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-49,49,Somnivora,90,Psycho,,Rang 1,Selten,Masakazu Fukuda,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-50,50,Fleknoil,50,Psycho,,Basis,Häufig,MAHOU,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
bw1-51,51,Fletiamo,80,Psycho,,Rang 1,Ungewöhnlich,Kouki Saitou,"normal, reverse, holo",Schwarz & Weiß,Schwarz & Weiß,115
