id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv10.5b-001,001,Vipélierre,70,Plante,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-002,002,Lianaja,100,Plante,Vipélierre,Niveau 1,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-003,003,Majaspic-ex,320,Plante,Lianaja,Niveau 2,Double rare,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-004,004,Feuillajou,70,Plante,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-005,005,Feuiloutan,100,Plante,Feuillajou,Niveau 1,Peu Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-006,006,Chlorobule,60,Plante,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-007,007,Fragilady,100,Plante,Chlorobule,Niveau 1,Peu Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-008,008,Maracachi,100,Plante,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-009,009,Carabing,60,Plante,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-010,010,Trompignon,50,Plante,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-011,011,Gaulet,120,Plante,Trompignon,Niveau 1,Peu Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-012,012,Victini,80,Feu,,De base,Rare,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-013,013,Darumarond,80,Feu,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-014,014,Darumacho,140,Feu,Darumarond,Niveau 1,Peu Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-015,015,Pyronille,60,Feu,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-016,016,Pyrax,120,Feu,Pyronille,Niveau 1,Rare,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-017,017,Flotajou,70,Eau,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-018,018,Flotoutan,100,Eau,Flotajou,Niveau 1,Peu Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-019,019,Tritonde,60,Eau,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-020,020,Batracné,90,Eau,Tritonde,Niveau 1,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-021,021,Crapustule,170,Eau,Batracné,Niveau 2,Peu Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-022,022,Carapagos,100,Eau,Fossile Plaque Ancien,Niveau 1,Peu Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-023,023,Mégapagos,180,Eau,Carapagos,Niveau 2,Rare,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-024,024,Mamanbo,110,Eau,,De base,Peu Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-025,025,Polarhume,70,Eau,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-026,026,Polagriffe,150,Eau,Polarhume,Niveau 1,Rare,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-027,027,Hexagel,90,Eau,,De base,Peu Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-028,028,Kyurem-ex,230,Eau,,De base,Double rare,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-029,029,Emolga,70,Électrique,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-030,030,Anchwatt,40,Électrique,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-031,031,Lampéroie,90,Électrique,Anchwatt,Niveau 1,Peu Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-032,032,Ohmassacre,160,Électrique,Lampéroie,Niveau 2,Peu Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-033,033,Fulguris,120,Électrique,,De base,Rare,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-034,034,Zekrom-ex,230,Électrique,,De base,Double rare,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-035,035,Munna,70,Psy,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-036,036,Mushana,120,Psy,Munna,Niveau 1,Peu Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-037,037,Nucléos,40,Psy,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-038,038,Méios,70,Psy,Nucléos,Niveau 1,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-039,039,Symbios,140,Psy,Méios,Niveau 2,Peu Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-040,040,Lewsor,60,Psy,,De base,Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
sv10.5b-041,041,Neitram,90,Psy,Lewsor,Niveau 1,Peu Commune,,"normal, reverse, holo",Foudre Noire,Écarlate et Violet,172
