id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw7-1,1,Myrapla,50,Pflanze,,Basis,Häufig,Kanako Eo,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-2,2,Duflor,80,Pflanze,,Rang 1,Ungewöhnlich,Atsuko Nishida,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-3,3,Giflor,140,Pflanze,,Rang 2,Selten,Shin Nagasawa,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-4,4,Blubella,110,Pflanze,,Rang 2,Selten,Mizue,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-5,5,Tangela,80,Pflanze,,Basis,Häufig,MAHOU,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-6,6,Tangoloss,130,Pflanze,,Rang 1,Selten,TOKIYA,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-7,7,Sichlor,70,Pflanze,,Basis,Häufig,kawayoo,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-8,8,Skaraborn,100,Pflanze,,Basis,Ungewöhnlich,Naoki Saito,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-9,9,Celebi-EX,110,Pflanze,,,Selten,Toyste Beach,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-10,10,Shaymin,70,Pflanze,,Basis,Selten,Kagemaru Himeno,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-11,11,Serpifeu,60,Pflanze,,Basis,Häufig,Mizue,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-12,12,Efoserp,80,Pflanze,,Rang 1,Ungewöhnlich,Mizue,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-13,13,Serpiroyal,140,Pflanze,,Rang 2,Selten,Mizue,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-14,14,Waumboll,50,Pflanze,,Basis,Häufig,sui,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-15,15,Elfun,80,Pflanze,,Rang 1,Selten,Kagemaru Himeno,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-16,16,Lilminip,50,Pflanze,,Basis,Ungewöhnlich,sui,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-17,17,Dressella,80,Pflanze,,Rang 1,Selten,Kanako Eo,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-18,18,Glumanda,70,Feuer,,Basis,Häufig,Akira Komayama,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-19,19,Glutexo,90,Feuer,,Rang 1,Ungewöhnlich,Masakazu Fukuda,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-20,20,Glurak,160,Feuer,,Rang 2,Selten,hatachu,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-21,21,Camaub,90,Feuer,,Basis,Häufig,match,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-22,22,Camerupt,130,Feuer,,Rang 1,Selten,Akira Komayama,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-23,23,Victini,70,Feuer,,Basis,Selten,Masakazu Fukuda,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-24,24,Floink,60,Feuer,,Basis,Häufig,Shin Nagasawa,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-25,25,Ferkokel,90,Feuer,,Rang 1,Ungewöhnlich,Shin Nagasawa,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-26,26,Flambirex,150,Feuer,,Rang 2,Selten,Shin Nagasawa,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-27,27,Flampion,70,Feuer,,Basis,Häufig,Aya Kusube,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-28,28,Flampivian,110,Feuer,,Rang 1,Ungewöhnlich,kawayoo,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-29,29,Schiggy,60,Wasser,,Basis,Häufig,Kanako Eo,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-30,30,Schillok,80,Wasser,,Rang 1,Ungewöhnlich,Mizue,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-31,31,Turtok,140,Wasser,,Rang 2,Selten,Satoshi Shirai,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-32,32,Enton,60,Wasser,,Basis,Häufig,match,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-33,33,Enton,70,Wasser,,Basis,Häufig,Masakazu Fukuda,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-34,34,Entoron,80,Wasser,,Rang 1,Ungewöhnlich,match,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-35,35,Entoron,90,Wasser,,Rang 1,Selten,Kagemaru Himeno,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-36,36,Marill,70,Wasser,,Basis,Häufig,Mizue,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-37,37,Azumarill,90,Wasser,,Rang 1,Ungewöhnlich,Masakazu Fukuda,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-38,38,Botogel,80,Wasser,,Basis,Ungewöhnlich,Sumiyoshi Kizuki,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-39,39,Ottaro,60,Wasser,,Basis,Häufig,match,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-40,40,Zwottronin,90,Wasser,,Rang 1,Ungewöhnlich,match,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-41,41,Admurai,140,Wasser,,Rang 2,Selten,match,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-42,42,Piccolente,70,Wasser,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-43,43,Swaroness,90,Wasser,,Rang 1,Ungewöhnlich,Suwama Chiaki,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-44,44,Quabbel,80,Wasser,,Basis,Häufig,Miki Tanaka,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-45,45,Apoquallyp,100,Wasser,,Rang 1,Selten,Kouki Saitou,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-46,46,Frigometri,90,Wasser,,Basis,Ungewöhnlich,Kouki Saitou,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-47,47,Keldeo,110,Wasser,,Basis,Selten,Ryo Ueda,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-48,48,Keldeo,90,Wasser,,Basis,Selten,Naoki Saito,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-49,49,Keldeo-EX,170,Wasser,,,Selten,Toyste Beach,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
bw7-50,50,Pikachu,60,Elektro,,Basis,Häufig,Ken Sugimori,"normal, reverse, holo",Überschrittene Schwellen,Schwarz & Weiß,153
