id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw7-1,1,Oddish,50,Grass,,Basic,Common,Kanako Eo,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-2,2,Gloom,80,Grass,Oddish,Stage1,Uncommon,Atsuko Nishida,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-3,3,Vileplume,140,Grass,Gloom,Stage2,Rare,Shin Nagasawa,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-4,4,Bellossom,110,Grass,Gloom,Stage2,Rare,Mizue,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-5,5,Tangela,80,Grass,,Basic,Common,MAHOU,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-6,6,Tangrowth,130,Grass,Tangela,Stage1,Rare,TOKIYA,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-7,7,Scyther,70,Grass,,Basic,Common,kawayoo,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-8,8,Heracross,100,Grass,,Basic,Uncommon,Naoki Saito,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-9,9,Celebi-EX,110,Grass,,,Rare,Toyste Beach,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-10,10,Shaymin,70,Grass,,Basic,Rare,Kagemaru Himeno,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-11,11,Snivy,60,Grass,,Basic,Common,Mizue,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-12,12,Servine,80,Grass,Snivy,Stage1,Uncommon,Mizue,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-13,13,Serperior,140,Grass,Servine,Stage2,Rare,Mizue,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-14,14,Cottonee,50,Grass,,Basic,Common,sui,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-15,15,Whimsicott,80,Grass,Cottonee,Stage1,Rare,Kagemaru Himeno,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-16,16,Petilil,50,Grass,,Basic,Uncommon,sui,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-17,17,Lilligant,80,Grass,Petilil,Stage1,Rare,Kanako Eo,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-18,18,Charmander,70,Fire,,Basic,Common,Akira Komayama,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-19,19,Charmeleon,90,Fire,Charmander,Stage1,Uncommon,Masakazu Fukuda,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-20,20,Charizard,160,Fire,Charmeleon,Stage2,Rare,hatachu,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-21,21,Numel,90,Fire,,Basic,Common,match,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-22,22,Camerupt,130,Fire,Numel,Stage1,Rare,Akira Komayama,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-23,23,Victini,70,Fire,,Basic,Rare,Masakazu Fukuda,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-24,24,Tepig,60,Fire,,Basic,Common,Shin Nagasawa,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-25,25,Pignite,90,Fire,Tepig,Stage1,Uncommon,Shin Nagasawa,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-26,26,Emboar,150,Fire,Pignite,Stage2,Rare,Shin Nagasawa,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-27,27,Darumaka,70,Fire,,Basic,Common,Aya Kusube,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-28,28,Darmanitan,110,Fire,Darumaka,Stage1,Uncommon,kawayoo,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-29,29,Squirtle,60,Water,,Basic,Common,Kanako Eo,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-30,30,Wartortle,80,Water,Squirtle,Stage1,Uncommon,Mizue,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-31,31,Blastoise,140,Water,Wartortle,Stage2,Rare,Satoshi Shirai,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-32,32,Psyduck,60,Water,,Basic,Common,match,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-33,33,Psyduck,70,Water,,Basic,Common,Masakazu Fukuda,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-34,34,Golduck,80,Water,Psyduck,Stage1,Uncommon,match,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-35,35,Golduck,90,Water,Psyduck,Stage1,Rare,Kagemaru Himeno,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-36,36,Marill,70,Water,,Basic,Common,Mizue,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-37,37,Azumarill,90,Water,Marill,Stage1,Uncommon,Masakazu Fukuda,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-38,38,Delibird,80,Water,,Basic,Uncommon,Sumiyoshi Kizuki,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-39,39,Oshawott,60,Water,,Basic,Common,match,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-40,40,Dewott,90,Water,Oshawott,Stage1,Uncommon,match,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-41,41,Samurott,140,Water,Dewott,Stage2,Rare,match,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-42,42,Ducklett,70,Water,,Basic,Common,Kouki Saitou,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-43,43,Swanna,90,Water,Ducklett,Stage1,Uncommon,Suwama Chiaki,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-44,44,Frillish,80,Water,,Basic,Common,Miki Tanaka,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-45,45,Jellicent,100,Water,Frillish,Stage1,Rare,Kouki Saitou,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-46,46,Cryogonal,90,Water,,Basic,Uncommon,Kouki Saitou,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-47,47,Keldeo,110,Water,,Basic,Rare,Ryo Ueda,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-48,48,Keldeo,90,Water,,Basic,Rare,Naoki Saito,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-49,49,Keldeo-EX,170,Water,,,Rare,Toyste Beach,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-50,50,Pikachu,60,Lightning,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-51,51,Voltorb,50,Lightning,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-52,52,Electrode,80,Lightning,Voltorb,Stage1,Uncommon,Ken Sugimori,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-53,53,Electabuzz,80,Lightning,,Basic,Common,Shigenori Negishi,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-54,54,Electivire,120,Lightning,Electabuzz,Stage1,Rare,BERUBURI,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-55,55,Chinchou,60,Lightning,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-56,56,Blitzle,70,Lightning,,Basic,Common,Midori Harada,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-57,57,Zebstrika,100,Lightning,Blitzle,Stage1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-58,58,Wobbuffet,90,Psychic,,Basic,Uncommon,Ken Sugimori,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-59,59,Spoink,50,Psychic,,Basic,Common,Sumiyoshi Kizuki,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-60,60,Grumpig,110,Psychic,Spoink,Stage1,Rare,Kouki Saitou,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-61,61,Duskull,50,Psychic,,Basic,Common,Naoki Saito,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-62,62,Dusclops,80,Psychic,Duskull,Stage1,Uncommon,Akira Komayama,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-63,63,Dusknoir,130,Psychic,Dusclops,Stage2,Rare,kawayoo,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-64,64,Croagunk,60,Psychic,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-65,65,Croagunk,70,Psychic,,Basic,Uncommon,MAHOU,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-66,66,Toxicroak,90,Psychic,Croagunk,Stage1,Rare,Kouki Saitou,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-67,67,Cresselia-EX,170,Psychic,,,Rare,Hideaki Hakozaki,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-68,68,Munna,60,Psychic,,Basic,Uncommon,sui,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-69,69,Musharna,100,Psychic,Munna,Stage1,Rare,Satoshi Shirai,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-70,70,Woobat,60,Psychic,,Basic,Common,Miki Tanaka,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-71,71,Swoobat,80,Psychic,Woobat,Stage1,Rare,Sumiyoshi Kizuki,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-72,72,Venipede,70,Psychic,,Basic,Common,Shigenori Negishi,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-73,73,Whirlipede,100,Psychic,Venipede,Stage1,Uncommon,match,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-74,74,Scolipede,150,Psychic,Whirlipede,Stage2,Rare,5ban Graphics,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-75,75,Gothita,60,Psychic,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-76,76,Gothorita,80,Psychic,Gothita,Stage1,Uncommon,Ken Sugimori,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-77,77,Meloetta,80,Psychic,,Basic,Rare,5ban Graphics,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-78,78,Sandshrew,70,Fighting,,Basic,Common,Naoki Saito,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-79,79,Sandslash,90,Fighting,Sandshrew,Stage1,Uncommon,BERUBURI,"normal, reverse, holo",Boundaries Crossed,Black & White,153
bw7-80,80,Gligar,70,Fighting,,Basic,Common,Atsuko Nishida,"normal, reverse, holo",Boundaries Crossed,Black & White,153
