id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw7-1,1,Mystherbe,50,Plante,,De base,Commune,Kanako Eo,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-2,2,Ortide,80,Plante,Mystherbe,Niveau 1,Peu Commune,Atsuko Nishida,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-3,3,Rafflesia,140,Plante,Ortide,Niveau 2,Rare,Shin Nagasawa,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-4,4,Joliflor,110,Plante,Ortide,Niveau 2,Rare,Mizue,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-5,5,Saquedeneu,80,Plante,,De base,Commune,MAHOU,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-6,6,Bouldeneu,130,Plante,Saquedeneu,Niveau 1,Rare,TOKIYA,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-7,7,Insécateur,70,Plante,,De base,Commune,kawayoo,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-8,8,Scarhino,100,Plante,,De base,Peu Commune,Naoki Saito,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-9,9,Celebi-EX,110,Plante,,,Rare,Toyste Beach,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-10,10,Shaymin,70,Plante,,De base,Rare,Kagemaru Himeno,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-11,11,Vipélierre,60,Plante,,De base,Commune,Mizue,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-12,12,Lianaja,80,Plante,Vipélierre,Niveau 1,Peu Commune,Mizue,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-13,13,Majaspic,140,Plante,Lianaja,Niveau 2,Rare,Mizue,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-14,14,Doudouvet,50,Plante,,De base,Commune,sui,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-15,15,Farfaduvet,80,Plante,Doudouvet,Niveau 1,Rare,Kagemaru Himeno,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-16,16,Chlorobule,50,Plante,,De base,Peu Commune,sui,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-17,17,Fragilady,80,Plante,Chlorobule,Niveau 1,Rare,Kanako Eo,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-18,18,Salamèche,70,Feu,,De base,Commune,Akira Komayama,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-19,19,Reptincel,90,Feu,Salamèche,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-20,20,Dracaufeu,160,Feu,Reptincel,Niveau 2,Rare,hatachu,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-21,21,Chamallot,90,Feu,,De base,Commune,match,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
bw7-22,22,Camérupt,130,Feu,Chamallot,Niveau 1,Rare,Akira Komayama,"normal, reverse, holo",Frontières Franchies,Noir & Blanc,153
