id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh9-001,001,Owei,50,Pflanze,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-002,002,Kokowei,140,Pflanze,Owei,Rang 1,Ungewöhnlich,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-003,003,Knilz,50,Pflanze,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-004,004,Kapilz,110,Pflanze,Knilz,Rang 1,Selten,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-005,005,Tropius,110,Pflanze,,Basis,Ungewöhnlich,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-006,006,Chelast,80,Pflanze,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-007,007,Chelcarain,100,Pflanze,Chelast,Rang 1,Ungewöhnlich,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-008,008,Chelterrar,190,Pflanze,Chelcarain,Rang 2,Holografisch Selten,,"normal, reverse, holo",Strahlende Sterne,Schwert & Schild,216
swsh9-009,009,Burmy,60,Pflanze,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-010,010,Burmadame,110,Pflanze,Burmy,Rang 1,Selten,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-011,011,Moterpel,110,Pflanze,Burmy,Rang 1,Selten,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-012,012,Kikugi,40,Pflanze,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-013,013,Shaymin V,190,Pflanze,,Basis,Holografisch Selten V,,holo,Strahlende Sterne,Schwert & Schild,216
swsh9-014,014,Shaymin VSTAR,250,Pflanze,Shaymin-V,VSTAR,Holografisch Selten VSTAR,,holo,Strahlende Sterne,Schwert & Schild,216
swsh9-015,015,Laukaps,70,Pflanze,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-016,016,Zarude V,220,Pflanze,,Basis,Holografisch Selten V,,holo,Strahlende Sterne,Schwert & Schild,216
swsh9-017,017,Glurak V,220,Feuer,,Basis,Holografisch Selten V,,holo,Strahlende Sterne,Schwert & Schild,216
swsh9-018,018,Glurak VSTAR,280,Feuer,Glurak-V,VSTAR,Holografisch Selten VSTAR,,holo,Strahlende Sterne,Schwert & Schild,216
swsh9-019,019,Magmar,90,Feuer,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-020,020,Magbrant,140,Feuer,Magmar,Rang 1,Selten,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-021,021,Lavados,120,Feuer,,Basis,Holografisch Selten,,"reverse, holo",Strahlende Sterne,Schwert & Schild,216
swsh9-022,022,Entei V,230,Feuer,,Basis,Holografisch Selten V,,holo,Strahlende Sterne,Schwert & Schild,216
swsh9-023,023,Qurtel,120,Feuer,,Basis,Ungewöhnlich,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-024,024,Panflam,50,Feuer,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-025,025,Panpyro,80,Feuer,Panflam,Rang 1,Ungewöhnlich,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-026,026,Panferno,150,Feuer,Panpyro,Rang 2,Holografisch Selten,,"reverse, holo",Strahlende Sterne,Schwert & Schild,216
swsh9-027,027,Grillchita V,210,Feuer,,Basis,Holografisch Selten V,,holo,Strahlende Sterne,Schwert & Schild,216
swsh9-028,028,Kingler V,220,Wasser,,Basis,Holografisch Selten V,,holo,Strahlende Sterne,Schwert & Schild,216
swsh9-029,029,Kingler VMAX,330,Wasser,Kingler-V,VMAX,Holografisch Selten VMAX,,holo,Strahlende Sterne,Schwert & Schild,216
swsh9-030,030,Sterndu,60,Wasser,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-031,031,Lapras,130,Wasser,,Basis,Selten,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-032,032,Krebscorps,70,Wasser,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-033,033,Krebutack,130,Wasser,Krebscorps,Rang 1,Ungewöhnlich,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-034,034,Schneppke,60,Wasser,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-035,035,Plinfa,60,Wasser,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-036,036,Pliprin,90,Wasser,Plinfa,Rang 1,Ungewöhnlich,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-037,037,Impoleon,160,Wasser,Pliprin,Rang 2,Holografisch Selten,,"reverse, holo",Strahlende Sterne,Schwert & Schild,216
swsh9-038,038,Bamelin,60,Wasser,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-039,039,Bojelin,110,Wasser,Bamelin,Rang 1,Ungewöhnlich,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-040,040,Lumineon V,170,Wasser,,Basis,Holografisch Selten V,,holo,Strahlende Sterne,Schwert & Schild,216
swsh9-041,041,Manaphy,70,Wasser,,Basis,Selten,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-042,042,Petznief,60,Wasser,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-043,043,Siberio,140,Wasser,Petznief,Rang 1,Ungewöhnlich,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-044,044,Kubuin,110,Wasser,,Basis,Selten,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-045,045,Raichu V,200,Elektro,,Basis,Holografisch Selten V,,holo,Strahlende Sterne,Schwert & Schild,216
swsh9-046,046,Elektek,80,Elektro,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-047,047,Elevoltek,140,Elektro,Elektek,Rang 1,Selten,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-048,048,Raikou V,200,Elektro,,Basis,Holografisch Selten V,,holo,Strahlende Sterne,Schwert & Schild,216
swsh9-049,049,Sheinux,40,Elektro,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-050,050,Luxio,90,Elektro,Sheinux,Rang 1,Ungewöhnlich,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-051,051,Luxtra,150,Elektro,Luxio,Rang 2,Selten,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-052,052,Pachirisu,70,Elektro,,Basis,Ungewöhnlich,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-053,053,Piepi,60,Psycho,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-054,054,Pixi,100,Psycho,Piepi,Rang 1,Selten,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-055,055,Starmie,90,Psycho,Sterndu,Rang 1,Ungewöhnlich,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-056,056,Mewtu,130,Psycho,,Basis,Selten,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-057,057,Granbull V,210,Psycho,,Basis,Holografisch Selten V,,holo,Strahlende Sterne,Schwert & Schild,216
swsh9-058,058,Puppance,50,Psycho,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-059,059,Lepumentas,110,Psycho,Puppance,Rang 1,Ungewöhnlich,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-060,060,Zwirrlicht,60,Psycho,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-061,061,Zwirrklop,90,Psycho,Zwirrlicht,Rang 1,Ungewöhnlich,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-062,062,Zwirrfinst,160,Psycho,Zwirrklop,Rang 2,Holografisch Selten,,"reverse, holo",Strahlende Sterne,Schwert & Schild,216
swsh9-063,063,Palimpalim,70,Psycho,,Basis,Häufig,,"normal, reverse",Strahlende Sterne,Schwert & Schild,216
swsh9-064,064,Elfun V,190,Psycho,,Basis,Holografisch Selten V,,holo,Strahlende Sterne,Schwert & Schild,216
swsh9-065,065,Elfun VSTAR,250,Psycho,Elfun-V,VSTAR,Holografisch Selten VSTAR,,holo,Strahlende Sterne,Schwert & Schild,216
