id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh9-001,001,Exeggcute,50,Grass,,Basic,Common,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-002,002,Exeggutor,140,Grass,Exeggcute,Stage1,Uncommon,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-003,003,Shroomish,50,Grass,,Basic,Common,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-004,004,Breloom,110,Grass,Shroomish,Stage1,Rare,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-005,005,Tropius,110,Grass,,Basic,Uncommon,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-006,006,Turtwig,80,Grass,,Basic,Common,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-007,007,Grotle,100,Grass,Turtwig,Stage1,Uncommon,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-008,008,Torterra,190,Grass,Grotle,Stage2,Holo Rare,,"normal, reverse, holo",Brilliant Stars,Sword & Shield,216
swsh9-009,009,Burmy,60,Grass,,Basic,Common,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-010,010,Wormadam,110,Grass,Burmy,Stage1,Rare,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-011,011,Mothim,110,Grass,Burmy,Stage1,Rare,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-012,012,Cherubi,40,Grass,,Basic,Common,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-013,013,Shaymin V,190,Grass,,Basic,Holo Rare V,,holo,Brilliant Stars,Sword & Shield,216
swsh9-014,014,Shaymin VSTAR,250,Grass,Shaymin V,VSTAR,Holo Rare VSTAR,,holo,Brilliant Stars,Sword & Shield,216
swsh9-015,015,Karrablast,70,Grass,,Basic,Common,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-016,016,Zarude V,220,Grass,,Basic,Holo Rare V,,holo,Brilliant Stars,Sword & Shield,216
swsh9-017,017,Charizard V,220,Fire,,Basic,Holo Rare V,,holo,Brilliant Stars,Sword & Shield,216
swsh9-018,018,Charizard VSTAR,280,Fire,Charizard V,VSTAR,Holo Rare VSTAR,,holo,Brilliant Stars,Sword & Shield,216
swsh9-019,019,Magmar,90,Fire,,Basic,Common,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-020,020,Magmortar,140,Fire,Magmar,Stage1,Rare,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-021,021,Moltres,120,Fire,,Basic,Holo Rare,,"reverse, holo",Brilliant Stars,Sword & Shield,216
swsh9-022,022,Entei V,230,Fire,,Basic,Holo Rare V,,holo,Brilliant Stars,Sword & Shield,216
swsh9-023,023,Torkoal,120,Fire,,Basic,Uncommon,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-024,024,Chimchar,50,Fire,,Basic,Common,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-025,025,Monferno,80,Fire,Chimchar,Stage1,Uncommon,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-026,026,Infernape,150,Fire,Monferno,Stage2,Holo Rare,,"reverse, holo",Brilliant Stars,Sword & Shield,216
swsh9-027,027,Simisear V,210,Fire,,Basic,Holo Rare V,,holo,Brilliant Stars,Sword & Shield,216
swsh9-028,028,Kingler V,220,Water,,Basic,Holo Rare V,,holo,Brilliant Stars,Sword & Shield,216
swsh9-029,029,Kingler VMAX,330,Water,Kingler V,VMAX,Holo Rare VMAX,,holo,Brilliant Stars,Sword & Shield,216
swsh9-030,030,Staryu,60,Water,,Basic,Common,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-031,031,Lapras,130,Water,,Basic,Rare,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-032,032,Corphish,70,Water,,Basic,Common,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-033,033,Crawdaunt,130,Water,Corphish,Stage1,Uncommon,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-034,034,Snorunt,60,Water,,Basic,Common,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-035,035,Piplup,60,Water,,Basic,Common,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-036,036,Prinplup,90,Water,Piplup,Stage1,Uncommon,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-037,037,Empoleon,160,Water,Prinplup,Stage2,Holo Rare,,"reverse, holo",Brilliant Stars,Sword & Shield,216
swsh9-038,038,Buizel,60,Water,,Basic,Common,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-039,039,Floatzel,110,Water,Buizel,Stage1,Uncommon,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-040,040,Lumineon V,170,Water,,Basic,Holo Rare V,,holo,Brilliant Stars,Sword & Shield,216
swsh9-041,041,Manaphy,70,Water,,Basic,Rare,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-042,042,Cubchoo,60,Water,,Basic,Common,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-043,043,Beartic,140,Water,Cubchoo,Stage1,Uncommon,,"normal, reverse",Brilliant Stars,Sword & Shield,216
swsh9-044,044,Eiscue,110,Water,,Basic,Rare,,"normal, reverse",Brilliant Stars,Sword & Shield,216
