id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh9-001,001,Noeunoeuf,50,Plante,,De base,Commune,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-002,002,Noadkoko,140,Plante,Noeunoeuf,Niveau 1,Peu Commune,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-003,003,Balignon,50,Plante,,De base,Commune,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-004,004,Chapignon,110,Plante,Balignon,Niveau 1,Rare,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-005,005,Tropius,110,Plante,,De base,Peu Commune,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-006,006,Tortipouss,80,Plante,,De base,Commune,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-007,007,Boskara,100,Plante,Tortipouss,Niveau 1,Peu Commune,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-008,008,Torterra,190,Plante,Boskara,Niveau 2,Holo Rare,,"normal, reverse, holo",Stars Étincelantes,Épée et Bouclier,216
swsh9-009,009,Cheniti,60,Plante,,De base,Commune,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-010,010,Cheniselle,110,Plante,Cheniti,Niveau 1,Rare,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-011,011,Papilord,110,Plante,Cheniti,Niveau 1,Rare,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-012,012,Ceribou,40,Plante,,De base,Commune,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-013,013,Shaymin V,190,Plante,,De base,Holo Rare V,,holo,Stars Étincelantes,Épée et Bouclier,216
swsh9-014,014,Shaymin VSTAR,250,Plante,Shaymin-V,VSTAR,Holo Rare VSTAR,,holo,Stars Étincelantes,Épée et Bouclier,216
swsh9-015,015,Carabing,70,Plante,,De base,Commune,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-016,016,Zarude V,220,Plante,,De base,Holo Rare V,,holo,Stars Étincelantes,Épée et Bouclier,216
swsh9-017,017,Dracaufeu V,220,Feu,,De base,Holo Rare V,,holo,Stars Étincelantes,Épée et Bouclier,216
swsh9-018,018,Dracaufeu VSTAR,280,Feu,Dracaufeu-V,VSTAR,Holo Rare VSTAR,,holo,Stars Étincelantes,Épée et Bouclier,216
swsh9-019,019,Magmar,90,Feu,,De base,Commune,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-020,020,Maganon,140,Feu,Magmar,Niveau 1,Rare,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-021,021,Sulfura,120,Feu,,De base,Holo Rare,,"reverse, holo",Stars Étincelantes,Épée et Bouclier,216
swsh9-022,022,Entei V,230,Feu,,De base,Holo Rare V,,holo,Stars Étincelantes,Épée et Bouclier,216
swsh9-023,023,Chartor,120,Feu,,De base,Peu Commune,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-024,024,Ouisticram,50,Feu,,De base,Commune,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
swsh9-025,025,Chimpenfeu,80,Feu,Ouisticram,Niveau 1,Peu Commune,,"normal, reverse",Stars Étincelantes,Épée et Bouclier,216
