id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
col1-2,2,Deoxys,80,Psy,,De base,Rare Holo,Ryo Ueda,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
col1-3,3,Dialga,100,Métal,,De base,Rare Holo,Ayaka Yoshida,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
col1-6,6,Groudon,100,Combat,,De base,Rare Holo,Ryo Ueda,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
col1-9,9,Ho-Oh,100,Feu,,De base,Rare Holo,Ryo Ueda,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
col1-12,12,Kyogre,100,Eau,,De base,Rare Holo,Ryo Ueda,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
col1-14,14,Lucario,90,Combat,Riolu,Niveau 1,Rare Holo,Takashi Yamaguchi,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
col1-15,15,Lugia,100,Eau,,De base,Rare Holo,Ryo Ueda,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
col1-18,18,Pachirisu,60,Électrique,,De base,Rare Holo,Noriko Hotta,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
col1-19,19,Palkia,100,Eau,,De base,Rare Holo,Daisuke Iwamoto,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
col1-20,20,Rayquaza,100,Incolore,,De base,Rare Holo,Ryo Ueda,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
col1-29,29,M. Mime,70,Psy,,De base,Rare,Noriko Hotta,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
col1-33,33,Ronflex,100,Incolore,,De base,Rare,Kent Kanetsuna,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
col1-34,34,Bouldeneu,110,Plante,Saquedeneu,Niveau 1,Rare,Hideaki Hakozaki,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
col1-39,39,Mangriff,80,Incolore,,De base,Rare,Wataru Kawahara,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
col1-47,47,Mime Jr.,30,Psy,,De base,Peu Commune,Noriko Hotta,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
col1-50,50,Riolu,50,Combat,,De base,Peu Commune,Takashi Yamaguchi,"normal, reverse, holo",L'appel des Légendes,L'appel des Légendes,95
