id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
cel25-1,1,Ho-Oh,130,Fire,,Basic,Rare,Kouki Saitou,holo,Celebrations,Sword & Shield,51
cel25-2A,2A,Blastoise,100,Water,,Stage2,Classic Collection,Ken Sugimori,holo,Celebrations,Sword & Shield,51
cel25-2,2,Reshiram,130,Fire,,Basic,Rare,Aya Kusube,holo,Celebrations,Sword & Shield,51
cel25-3,3,Kyogre,130,Water,,Basic,Rare,Ryuta Fuse,holo,Celebrations,Sword & Shield,51
cel25-4,4,Palkia,130,Water,,Basic,Rare,5ban Graphics,holo,Celebrations,Sword & Shield,51
cel25-4A,4A,Charizard,120,Fire,,Stage2,Classic Collection,Mitsuhiro Arita,holo,Celebrations,Sword & Shield,51
cel25-5,5,Pikachu,60,Lightning,,Basic,Holo Rare,Mitsuhiro Arita,holo,Celebrations,Sword & Shield,51
cel25-6,6,Flying Pikachu V,190,Lightning,,Basic,Holo Rare V,aky CG Works,holo,Celebrations,Sword & Shield,51
cel25-7,7,Flying Pikachu VMAX,310,Lightning,Flying Pikachu V,VMAX,Holo Rare VMAX,aky CG Works,holo,Celebrations,Sword & Shield,51
cel25-8A,8A,Dark Gyarados,70,Water,,Stage1,Classic Collection,Kagemaru Himeno,holo,Celebrations,Sword & Shield,51
cel25-8,8,Surfing Pikachu V,200,Lightning,,Basic,Holo Rare V,aky CG Works,holo,Celebrations,Sword & Shield,51
cel25-9,9,Surfing Pikachu VMAX,310,Lightning,Surfing Pikachu V,VMAX,Holo Rare VMAX,aky CG Works,holo,Celebrations,Sword & Shield,51
cel25-9A,9A,Team Magma's Groudon,100,Fighting,,Basic,Classic Collection,Kazuo Yazawa,holo,Celebrations,Sword & Shield,51
cel25-10,10,Zekrom,130,Lightning,,Basic,Rare,Aya Kusube,holo,Celebrations,Sword & Shield,51
cel25-11,11,Mew,60,Psychic,,Basic,Holo Rare,Yuu Nishida,holo,Celebrations,Sword & Shield,51
cel25-12,12,Xerneas,120,Psychic,,Basic,Rare,AKIRA EGAWA,holo,Celebrations,Sword & Shield,51
cel25-13,13,Cosmog,60,Psychic,,Basic,Rare,kirisAki,holo,Celebrations,Sword & Shield,51
cel25-14,14,Cosmoem,90,Psychic,Cosmog,Stage1,Rare,kirisAki,holo,Celebrations,Sword & Shield,51
cel25-15A,15A,Venusaur,100,Grass,,Stage2,Classic Collection,Mitsuhiro Arita,holo,Celebrations,Sword & Shield,51
cel25-15,15,Lunala,160,Psychic,Cosmoem,Stage2,Holo Rare,kirisAki,holo,Celebrations,Sword & Shield,51
cel25-15A1,15A1,Venusaur,100,Grass,,Stage2,Classic Collection,Mitsuhiro Arita,holo,Celebrations,Sword & Shield,51
cel25-15A3,15A3,Rocket's Zapdos,70,Lightning,,Basic,Classic Collection,Shin-ichi Yoshida,holo,Celebrations,Sword & Shield,51
cel25-15A4,15A4,Claydol,80,Fighting,,Stage1,Classic Collection,Midori Harada,holo,Celebrations,Sword & Shield,51
cel25-15A2,15A2,Here Comes Team Rocket!,,,,,Classic Collection,Ken Sugimori,holo,Celebrations,Sword & Shield,51
cel25-16,16,Zacian V,220,Psychic,,Basic,Holo Rare V,Mitsuhiro Arita,holo,Celebrations,Sword & Shield,51
cel25-17A,17A,Umbreon Star,70,Darkness,,Basic,Classic Collection,Masakazu Fukuda,holo,Celebrations,Sword & Shield,51
cel25-17,17,Groudon,130,Fighting,,Basic,Rare,Ryuta Fuse,holo,Celebrations,Sword & Shield,51
cel25-18,18,Zamazenta V,220,Fighting,,Basic,Holo Rare V,Mitsuhiro Arita,holo,Celebrations,Sword & Shield,51
cel25-19,19,Yveltal,120,Darkness,,Basic,Rare,AKIRA EGAWA,holo,Celebrations,Sword & Shield,51
cel25-20A,20A,Cleffa,30,Colorless,,Basic,Classic Collection,Kagemaru Himeno,holo,Celebrations,Sword & Shield,51
cel25-20,20,Dialga,130,Metal,,Basic,Rare,5ban Graphics,holo,Celebrations,Sword & Shield,51
cel25-21,21,Solgaleo,170,Metal,Cosmoem,Stage2,Holo Rare,kirisAki,holo,Celebrations,Sword & Shield,51
cel25-22,22,Lugia,130,Colorless,,Basic,Rare,Kouki Saitou,holo,Celebrations,Sword & Shield,51
cel25-23,23,Professor's Research (Professor Oak),,,,,Holo Rare,KIYOTAKA OSHIYAMA,holo,Celebrations,Sword & Shield,51
cel25-24A,24A,_____'s Pikachu,50,Lightning,,Basic,Classic Collection,Kagemaru Himeno,holo,Celebrations,Sword & Shield,51
cel25-24,24,Professor's Research (Professor Oak),,,,,Ultra Rare,Ken Sugimori,holo,Celebrations,Sword & Shield,51
cel25-25,25,Mew,60,Psychic,,Basic,Secret Rare,Saki Hayashiro,holo,Celebrations,Sword & Shield,51
cel25-54A,54A,Mewtwo EX,170,Psychic,,Basic,Classic Collection,Shizurow,holo,Celebrations,Sword & Shield,51
cel25-60A,60A,Tapu Lele GX,170,Psychic,,Basic,Classic Collection,5ban Graphics,holo,Celebrations,Sword & Shield,51
cel25-66A,66A,Shining Magikarp,30,Water,,Basic,Classic Collection,Ken Sugimori,holo,Celebrations,Sword & Shield,51
cel25-73A,73A,Imposter Professor Oak,,,,,Classic Collection,Ken Sugimori,holo,Celebrations,Sword & Shield,51
cel25-76A,76A,M Rayquaza EX,220,Colorless,,MEGA,Classic Collection,5ban Graphics,holo,Celebrations,Sword & Shield,51
cel25-86A,86A,Rocket's Admin.,,,,,Classic Collection,Ken Sugimori,holo,Celebrations,Sword & Shield,51
cel25-88A,88A,Mew ex,90,Psychic,,Basic,Classic Collection,Ryo Ueda,holo,Celebrations,Sword & Shield,51
cel25-93A,93A,Gardevoir ex,150,Fire,,Stage2,Classic Collection,Masahiko Ishii,holo,Celebrations,Sword & Shield,51
cel25-97A,97A,Xerneas EX,170,Fairy,,Basic,Classic Collection,5ban Graphics,holo,Celebrations,Sword & Shield,51
