id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
A3-001,001,Owei,60,Pflanze,,Basis,Une Diamant,HYOGONOSUKE,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-002,002,Alola-Kokowei,150,Pflanze,,Rang 1,Trois Diamant,Anesaki Dynamic,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-003,003,Gehweiher,50,Pflanze,,Basis,Une Diamant,Miki Tanaka,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-004,004,Maskeregen,90,Pflanze,,Rang 1,deux Diamant,Kanako Eo,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-005,005,Maracamba,90,Pflanze,,Basis,Une Diamant,Kagemaru Himeno,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-006,006,Laukaps,60,Pflanze,,Basis,Une Diamant,OOYAMA,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-007,007,Paragoni,60,Pflanze,,Basis,Une Diamant,miki kudo,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-008,008,Trombork,130,Pflanze,,Rang 1,deux Diamant,Shin Nagasawa,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-009,009,Bauz,60,Pflanze,,Basis,Une Diamant,Megumi Mizutani,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-010,010,Bauz,60,Pflanze,,Basis,Une Diamant,Saya Tsuruta,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-011,011,Arboretoss,80,Pflanze,,Rang 1,deux Diamant,Mizue,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-012,012,Silvarro-ex,170,Pflanze,,Rang 2,Quatre Diamant,PLANETA CG Works,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-013,013,Mabula,60,Pflanze,,Basis,Une Diamant,Yuka Morii,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-014,014,Imantis,60,Pflanze,,Basis,Une Diamant,Kagemaru Himeno,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-015,015,Mantidea,90,Pflanze,,Rang 1,deux Diamant,AKIRA EGAWA,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-016,016,Bubungus,60,Pflanze,,Basis,Une Diamant,You Iribi,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-017,017,Lamellux,100,Pflanze,,Rang 1,deux Diamant,Suwama Chiaki,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-018,018,Frubberl,50,Pflanze,,Basis,Une Diamant,Akira Komayama,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-019,019,Frubaila,80,Pflanze,,Rang 1,deux Diamant,Mizue,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-020,020,Fruyal,130,Pflanze,,Rang 2,Trois Diamant,Hasuno,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-021,021,Reißlaus,70,Pflanze,,Basis,Une Diamant,Kagemaru Himeno,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-022,022,Tectass,120,Pflanze,,Rang 1,Trois Diamant,Kouki Saitou,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-023,023,Moruda-ex,140,Pflanze,,Basis,Quatre Diamant,PLANETA Tsuji,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-024,024,Kapu-Toro,120,Pflanze,,Basis,Trois Diamant,Satoshi Shirai,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-025,025,Fukano,70,Feuer,,Basis,Une Diamant,Naoyo Kimura,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-026,026,Arkani,130,Feuer,,Rang 1,deux Diamant,match,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
A3-027,027,Alola-Knogga,110,Feuer,,Rang 1,deux Diamant,miki kudo,"normal, reverse, holo",Hüter des Firmaments,Pokémon‑Sammelkartenspiel‑Pocket,239
