id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm7-1,1,Chétiflor,60,Plante,,De base,Commune,Masako Yamashita,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-2,2,Boustiflor,80,Plante,Chétiflor,Niveau 1,Peu Commune,Miki Tanaka,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-3,3,Empiflor,140,Plante,Boustiflor,Niveau 2,Rare,Miki Tanaka,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-4,4,Insécateur,70,Plante,,De base,Peu Commune,Hajime Kusajima,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-5,5,Mimigal,50,Plante,,De base,Commune,Sachiko Adachi,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-6,6,Migalos,70,Plante,Mimigal,Niveau 1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-7,7,Arcko,50,Plante,,De base,Commune,Sekio,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-8,8,Arcko,70,Plante,,De base,Commune,tetsuya koizumi,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-9,9,Massko,80,Plante,Arcko,Niveau 1,Peu Commune,Shin Nagasawa,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-10,10,Jungko,140,Plante,Massko,Niveau 2,Rare,Mitsuhiro Arita,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-11,11,Grainipiot,40,Plante,,De base,Commune,miki kudo,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-12,12,Grainipiot,60,Plante,,De base,Commune,Misa Tsutsui,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-13,13,Pifeuil,90,Plante,Grainipiot,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-14,14,Tengalice GX,240,Plante,Pifeuil,,Ultra Rare,PLANETA Igarashi,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-15,15,Arakdo,50,Plante,,De base,Commune,Ken Sugimori,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-16,16,Maskadra,90,Plante,Arakdo,Niveau 1,Peu Commune,Yukiko Baba,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-17,17,Muciole,70,Plante,,De base,Peu Commune,Saya Tsuruta,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
sm7-18,18,Lumivole,70,Plante,,De base,Peu Commune,Saya Tsuruta,"normal, reverse, holo",Tempête Céleste,Soleil et Lune,183
