id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh3.5-1,1,Bisaflor V,220,Pflanze,,Basis,Holografisch Selten V,PLANETA Mochizuki,holo,Weg des Champs,Schwert & Schild,80
swsh3.5-2,2,Hornliu,60,Pflanze,,Basis,Häufig,Yuka Morii,"normal, reverse",Weg des Champs,Schwert & Schild,80
swsh3.5-3,3,Kokuna,80,Pflanze,,Rang 1,Häufig,Miki Tanaka,"normal, reverse",Weg des Champs,Schwert & Schild,80
swsh3.5-4,4,Bibor,140,Pflanze,,Rang 2,Ungewöhnlich,Hideki Ishikawa,"normal, reverse",Weg des Champs,Schwert & Schild,80
swsh3.5-5,5,Cottomi V,180,Pflanze,,Basis,Holografisch Selten V,5ban Graphics,holo,Weg des Champs,Schwert & Schild,80
swsh3.5-6,6,Vulpix,60,Feuer,,Basis,Häufig,Shibuzoh.,"normal, reverse",Weg des Champs,Schwert & Schild,80
swsh3.5-7,7,Victini,70,Feuer,,Basis,Ungewöhnlich,Taira Akitsu,"normal, reverse",Weg des Champs,Schwert & Schild,80
swsh3.5-8,8,Fuegro V,220,Feuer,,Basis,Holografisch Selten V,Kouki Saitou,holo,Weg des Champs,Schwert & Schild,80
swsh3.5-9,9,Thermopod,70,Feuer,,Basis,Häufig,Akira Komayama,"normal, reverse",Weg des Champs,Schwert & Schild,80
swsh3.5-10,10,Infernopod,130,Feuer,,Rang 1,Holografisch Selten,Shin Nagasawa,"reverse, holo",Weg des Champs,Schwert & Schild,80
swsh3.5-11,11,Kanivanha,60,Wasser,,Basis,Häufig,Shigenori Negishi,"normal, reverse",Weg des Champs,Schwert & Schild,80
swsh3.5-12,12,Tohaido,110,Wasser,,Rang 1,Ungewöhnlich,Ryuta Fuse,"normal, reverse",Weg des Champs,Schwert & Schild,80
swsh3.5-13,13,Wailord V,280,Wasser,,Basis,Holografisch Selten V,PLANETA Mochizuki,holo,Weg des Champs,Schwert & Schild,80
swsh3.5-14,14,Kamalm V,210,Wasser,,Basis,Holografisch Selten V,aky CG Works,holo,Weg des Champs,Schwert & Schild,80
swsh3.5-15,15,Kamalm VMAX,320,Wasser,,VMAX,Holografisch Selten VMAX,aky CG Works,holo,Weg des Champs,Schwert & Schild,80
swsh3.5-16,16,Guardevoir V,210,Psycho,,Basis,Holografisch Selten V,Kagemaru Himeno,holo,Weg des Champs,Schwert & Schild,80
