id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh3.5-1,1,Florizarre V,220,Plante,,De base,Holo Rare V,PLANETA Mochizuki,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-2,2,Aspicot,60,Plante,,De base,Commune,Yuka Morii,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-3,3,Coconfort,80,Plante,Aspicot,Niveau 1,Commune,Miki Tanaka,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-4,4,Dardargnan,140,Plante,Coconfort,Niveau 2,Peu Commune,Hideki Ishikawa,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-5,5,Blancoton V,180,Plante,,De base,Holo Rare V,5ban Graphics,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-6,6,Goupix,60,Feu,,De base,Commune,Shibuzoh.,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-7,7,Victini,70,Feu,,De base,Peu Commune,Taira Akitsu,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-8,8,Félinferno V,220,Feu,,De base,Holo Rare V,Kouki Saitou,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-9,9,Grillepattes,70,Feu,,De base,Commune,Akira Komayama,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-10,10,Scolocendre,130,Feu,Grillepattes,Niveau 1,Holo Rare,Shin Nagasawa,"reverse, holo",La Voie du Maître,Épée et Bouclier,80
swsh3.5-11,11,Carvanha,60,Eau,,De base,Commune,Shigenori Negishi,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-12,12,Sharpedo,110,Eau,Carvanha,Niveau 1,Peu Commune,Ryuta Fuse,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-13,13,Wailord V,280,Eau,,De base,Holo Rare V,PLANETA Mochizuki,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-14,14,Torgamord V,210,Eau,,De base,Holo Rare V,aky CG Works,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-15,15,Torgamord VMAX,320,Eau,Torgamord-V,ESCOUADE,Holo Rare VMAX,aky CG Works,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-16,16,Gardevoir V,210,Psy,,De base,Holo Rare V,Kagemaru Himeno,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-17,17,Gardevoir VMAX,320,Psy,Gardevoir-V,ESCOUADE,Holo Rare VMAX,5ban Graphics,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-18,18,Bibichut,60,Psy,,De base,Commune,Akira Komayama,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-19,19,Chapotus,90,Psy,Bibichut,Niveau 1,Peu Commune,Hitoshi Ariga,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-20,20,Sorcilence,150,Psy,Chapotus,Niveau 2,Holo Rare,Naoki Saito,"reverse, holo",La Voie du Maître,Épée et Bouclier,80
swsh3.5-21,21,Corayôme de Galar V,190,Psy,,De base,Holo Rare V,5ban Graphics,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-22,22,Charmilly V,170,Psy,,De base,Holo Rare V,Ayaka Yoshida,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-23,23,Charmilly VMAX,310,Psy,Charmilly-V,ESCOUADE,Holo Rare VMAX,5ban Graphics,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-24,24,Machoc,70,Combat,,De base,Commune,Shibuzoh.,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-25,25,Machopeur,110,Combat,Machoc,Niveau 1,Peu Commune,AKIRA EGAWA,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-26,26,Mackogneur,170,Combat,Machopeur,Niveau 2,Holo Rare,Anesaki Dynamic,"reverse, holo",La Voie du Maître,Épée et Bouclier,80
swsh3.5-27,27,Lucario V,210,Combat,,De base,Holo Rare V,AKIRA EGAWA,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-28,28,Zygarde,140,Combat,,De base,Holo Rare,Shin Nagasawa,"reverse, holo",La Voie du Maître,Épée et Bouclier,80
swsh3.5-29,29,Rocabot,70,Combat,,De base,Commune,Naoyo Kimura,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-30,30,Lougaroc,120,Combat,Rocabot,Niveau 1,Holo Rare,Ryuta Fuse,"reverse, holo",La Voie du Maître,Épée et Bouclier,80
swsh3.5-31,31,Charbi,70,Combat,,De base,Commune,Masakazu Fukuda,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-32,32,Krakos V,210,Combat,,De base,Holo Rare V,PLANETA Igarashi,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-33,33,Abo,70,Obscurité,,De base,Commune,Uta,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-34,34,Arbok,120,Obscurité,Abo,Niveau 1,Peu Commune,nagimiso,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-35,35,Zigzaton de Galar,70,Obscurité,,De base,Commune,Kouki Saitou,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-36,36,Linéon de Galar,100,Obscurité,Zigzaton de Galar,Niveau 1,Commune,Akira Komayama,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-37,37,Ixon de Galar,170,Obscurité,Linéon de Galar,Niveau 2,Holo Rare,Shin Nagasawa,"reverse, holo",La Voie du Maître,Épée et Bouclier,80
swsh3.5-38,38,Absol,100,Obscurité,,De base,Peu Commune,kodama,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-39,39,Chacripan,70,Obscurité,,De base,Commune,sowsow,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-40,40,Léopardus,100,Obscurité,Chacripan,Niveau 1,Peu Commune,Hasuno,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-41,41,Baggiguane,70,Obscurité,,De base,Commune,miki kudo,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-42,42,Baggaïd,120,Obscurité,Baggiguane,Niveau 1,Holo Rare,tetsuya koizumi,"reverse, holo",La Voie du Maître,Épée et Bouclier,80
swsh3.5-43,43,Miamiasme,60,Obscurité,,De base,Commune,nagimiso,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-44,44,Sepiatop,60,Obscurité,,De base,Commune,sui,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-45,45,Sepiatroce,120,Obscurité,Sepiatop,Niveau 1,Peu Commune,kawayoo,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-46,46,Goupilou,70,Obscurité,,De base,Commune,Naoki Saito,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-47,47,Duralugon V,220,Métal,,De base,Holo Rare V,aky CG Works,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-48,48,Tylton,50,Incolore,,De base,Commune,0313,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-49,49,Altaria,110,Incolore,Tylton,Niveau 1,Holo Rare,Taira Akitsu,"reverse, holo",La Voie du Maître,Épée et Bouclier,80
swsh3.5-50,50,Travis,,,,,Peu Commune,Naoki Saito,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-51,51,Total Soin,,,,,Commune,Yoshinobu Saito,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-52,52,Super Ball,,,,,Peu Commune,Toyste Beach,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-53,53,Nabil,,,,,Peu Commune,Sanosuke Sakuma,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-54,54,Hyper Potion,,,,,Peu Commune,Ryo Ueda,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-55,55,Kabu,,,,,Peu Commune,take,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-56,56,Rosemary,,,,,Holo Rare,kirisAki,"reverse, holo",La Voie du Maître,Épée et Bouclier,80
swsh3.5-57,57,Percy,,,,,Peu Commune,take,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-58,58,Peterson,,,,,Peu Commune,take,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-59,59,Poké Ball,,,,,Commune,Studio Bora Inc.,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-60,60,Dame du Centre Pokémon,,,,,Peu Commune,kirisAki,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-61,61,Potion,,,,,Commune,Ryo Ueda,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-62,62,Recherches Professorales (Professeure Magnolia),,,,,Holo Rare,Yusuke Ohmura,"reverse, holo",La Voie du Maître,Épée et Bouclier,80
swsh3.5-63,63,Moticyclette,,,,,Peu Commune,5ban Graphics,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-64,64,Motismart,,,,,Peu Commune,Ryo Ueda,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-65,65,Sonya,,,,,Peu Commune,Yusuke Ohmura,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-66,66,Conserve Douteuse,,,,,Peu Commune,Ryo Ueda,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-67,67,Sbire de la Team Yell,,,,,Peu Commune,nagimiso,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-68,68,Stade de Greenbury,,,,,Peu Commune,aky CG Works,"normal, reverse",La Voie du Maître,Épée et Bouclier,80
swsh3.5-69,69,Torgamord V,210,Eau,,De base,Ultra Rare,aky CG Works,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-70,70,Gardevoir V,210,Psy,,De base,Ultra Rare,PLANETA Mochizuki,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-71,71,Corayôme de Galar V,190,Psy,,De base,Ultra Rare,5ban Graphics,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-72,72,Krakos V,210,Combat,,De base,Ultra Rare,PLANETA Igarashi,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-73,73,Nabil,,,,,Ultra Rare,Naoki Saito,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-74,74,Dracaufeu VMAX,330,Feu,Dracaufeu-V,ESCOUADE,Magnifique rare,aky CG Works,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-75,75,Torgamord VMAX,320,Eau,Torgamord-V,ESCOUADE,Magnifique rare,aky CG Works,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-76,76,Gardevoir VMAX,320,Psy,Gardevoir-V,ESCOUADE,Magnifique rare,5ban Graphics,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-77,77,Kabu,,,,,Magnifique rare,Hitoshi Ariga,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-78,78,Peterson,,,,,Magnifique rare,kirisAki,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-79,79,Dracaufeu V,220,Feu,,De base,Magnifique rare,5ban Graphics,holo,La Voie du Maître,Épée et Bouclier,80
swsh3.5-80,80,Conserve Douteuse,,,,,Magnifique rare,Ryo Ueda,holo,La Voie du Maître,Épée et Bouclier,80
