id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh6-1,1,Aspicot,40,Plante,,De base,Commune,Sanosuke Sakuma,"normal, reverse",Règne de Glace,Épée et Bouclier,233
swsh6-2,2,Coconfort,80,Plante,Aspicot,Niveau 1,Peu Commune,nagimiso,"normal, reverse",Règne de Glace,Épée et Bouclier,233
swsh6-3,3,Dardargnan,130,Plante,Coconfort,Niveau 2,Holo Rare,Misa Tsutsui,"reverse, holo",Règne de Glace,Épée et Bouclier,233
swsh6-4,4,Coxy,60,Plante,,De base,Commune,Naoyo Kimura,"normal, reverse",Règne de Glace,Épée et Bouclier,233
swsh6-5,5,Coxyclaque,90,Plante,Coxy,Niveau 1,Peu Commune,Sekio,"normal, reverse",Règne de Glace,Épée et Bouclier,233
swsh6-6,6,Scarhino,120,Plante,,De base,Commune,Hasuno,"normal, reverse",Règne de Glace,Épée et Bouclier,233
swsh6-7,7,Celebi V,190,Plante,,De base,Holo Rare V,AKIRA EGAWA,holo,Règne de Glace,Épée et Bouclier,233
swsh6-8,8,Celebi VMAX,310,Plante,Celebi-V,ESCOUADE,Holo Rare VMAX,PLANETA Tsuji,holo,Règne de Glace,Épée et Bouclier,233
swsh6-9,9,Blizzi,80,Plante,,De base,Commune,Naoki Saito,"normal, reverse",Règne de Glace,Épée et Bouclier,233
swsh6-10,10,Blizzaroi,140,Plante,Blizzi,Niveau 1,Rare,Akira Komayama,"normal, reverse",Règne de Glace,Épée et Bouclier,233
swsh6-11,11,Vivaldaim,60,Plante,,De base,Commune,Lee HyunJung,"normal, reverse",Règne de Glace,Épée et Bouclier,233
swsh6-12,12,Haydaim,110,Plante,Vivaldaim,Niveau 1,Rare,Sekio,"normal, reverse",Règne de Glace,Épée et Bouclier,233
swsh6-13,13,Croquine,60,Plante,,De base,Commune,MAHOU,"normal, reverse",Règne de Glace,Épée et Bouclier,233
swsh6-14,14,Candine,80,Plante,Croquine,Niveau 1,Peu Commune,Tomokazu Komiya,"normal, reverse",Règne de Glace,Épée et Bouclier,233
swsh6-15,15,Sucreine,140,Plante,Candine,Niveau 2,Rare,Yuu Nishida,"normal, reverse",Règne de Glace,Épée et Bouclier,233
swsh6-16,16,Ouistempo,60,Plante,,De base,Commune,kodama,"normal, reverse",Règne de Glace,Épée et Bouclier,233
swsh6-17,17,Badabouin,100,Plante,Ouistempo,Niveau 1,Peu Commune,Kouki Saitou,"normal, reverse",Règne de Glace,Épée et Bouclier,233
swsh6-18,18,Gorythmic,180,Plante,Badabouin,Niveau 2,Holo Rare,Hitoshi Ariga,"reverse, holo",Règne de Glace,Épée et Bouclier,233
swsh6-19,19,Zarude,130,Plante,,De base,Holo Rare,Shin Nagasawa,"reverse, holo",Règne de Glace,Épée et Bouclier,233
