id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm12-1,1,Bisaflor & Serpifeu GX,270,Pflanze,,,Ultra Selten,Mitsuhiro Arita,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-2,2,Myrapla,60,Pflanze,,Basis,Häufig,Yumi,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-3,3,Duflor,80,Pflanze,,Rang 1,Ungewöhnlich,sui,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-4,4,Giflor GX,240,Pflanze,,,Ultra Selten,Kagemaru Himeno,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-5,5,Tangela,70,Pflanze,,Basis,Häufig,otumami,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-6,6,Tangoloss,140,Pflanze,,Rang 1,Ungewöhnlich,nagimiso,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-7,7,Sonnkern,50,Pflanze,,Basis,Häufig,0313,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-8,8,Sonnflora,90,Pflanze,,Rang 1,Selten,Yumi,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-9,9,Skaraborn,130,Pflanze,,Basis,Ungewöhnlich,Satoshi Shirai,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-10,10,Liliep,90,Pflanze,,Rang 1,Ungewöhnlich,Misa Tsutsui,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-11,11,Wielie,150,Pflanze,,Rang 2,Selten,otumami,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-12,12,Tropius,120,Pflanze,,Basis,Ungewöhnlich,sowsow,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-13,13,Zirpurze,60,Pflanze,,Basis,Häufig,Ken Sugimori,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-14,14,Zirpeise,100,Pflanze,,Rang 1,Ungewöhnlich,Anesaki Dynamic,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-15,15,Sesokitz,60,Pflanze,,Basis,Häufig,Shibuzoh.,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-16,16,Kronjuwild,100,Pflanze,,Rang 1,Selten,sui,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-17,17,Bauz,50,Pflanze,,Basis,Häufig,Yuka Morii,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-18,18,Bauz,60,Pflanze,,Basis,Häufig,Saya Tsuruta,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-19,19,Arboretoss,80,Pflanze,,Rang 1,Ungewöhnlich,Akira Komayama,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-20,20,Silvarro,140,Pflanze,,Rang 2,Selten,kawayoo,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-21,21,Masskito,130,Pflanze,,Basis,Selten,Anesaki Dynamic,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-22,22,Glurak & Rutena GX,270,Feuer,,,Ultra Selten,Mitsuhiro Arita,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-23,23,Ponita,70,Feuer,,Basis,Häufig,Uta,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-24,24,Gallopa,100,Feuer,,Rang 1,Ungewöhnlich,Misa Tsutsui,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-25,25,Flamara,110,Feuer,,Rang 1,Ungewöhnlich,AKIRA EGAWA,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-26,26,Schneckmag,80,Feuer,,Basis,Häufig,Ken Sugimori,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-27,27,Magcargo,120,Feuer,,Rang 1,Selten,Miki Tanaka,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-28,28,Entei,130,Feuer,,Basis,Selten,Shin Nagasawa,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-29,29,Qurtel,110,Feuer,,Basis,Ungewöhnlich,0313,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-30,30,Victini,70,Feuer,,Basis,Selten,Saya Tsuruta,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-31,31,Floink,80,Feuer,,Basis,Häufig,Mina Nakai,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-32,32,Ferkokel,110,Feuer,,Rang 1,Ungewöhnlich,Naoyo Kimura,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-33,33,Flambirex,170,Feuer,,Rang 2,Selten,kawayoo,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-34,34,Ignivor,80,Feuer,,Basis,Ungewöhnlich,Midori Harada,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-35,35,Ramoth GX,210,Feuer,,,Ultra Selten,Hiroyuki Yamamoto,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-36,36,Leufeo,70,Feuer,,Basis,Häufig,HYOGONOSUKE,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-37,37,Pyroleo,130,Feuer,,Rang 1,Ungewöhnlich,KEIICHIRO ITO,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-38,38,Turtok & Plinfa GX,270,Wasser,,,Ultra Selten,Mitsuhiro Arita,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-39,39,Alola Vulpix,60,Wasser,,Basis,Häufig,nagimiso,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-40,40,Enton,60,Wasser,,Basis,Häufig,sui,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-41,41,Entoron,110,Wasser,,Rang 1,Ungewöhnlich,Shigenori Negishi,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-42,42,Aquana,110,Wasser,,Rang 1,Ungewöhnlich,sui,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-43,43,Sniebel,70,Wasser,,Basis,Häufig,ryoma uratsuka,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-44,44,Snibunna,90,Wasser,,Rang 1,Selten,MAHOU,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-45,45,Wailmer,120,Wasser,,Basis,Häufig,Tomokazu Komiya,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-46,46,Wailord,200,Wasser,,Rang 1,Selten,Kyoko Umemoto,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-47,47,Schneppke,60,Wasser,,Basis,Häufig,sowsow,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-48,48,Firnontor,120,Wasser,,Rang 1,Selten,Uta,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-49,49,Seemops,60,Wasser,,Basis,Häufig,sui,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-50,50,Seemops,70,Wasser,,Basis,Häufig,SATOSHI NAKAI,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-51,51,Seejong,100,Wasser,,Rang 1,Ungewöhnlich,miki kudo,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-52,52,Walraisa,160,Wasser,,Rang 2,Selten,Ayaka Yoshida,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-53,53,Kyogre,130,Wasser,,Basis,Selten,kawayoo,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-54,54,Plinfa,60,Wasser,,Basis,Häufig,Suwama Chiaki,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-55,55,Pliprin,80,Wasser,,Rang 1,Ungewöhnlich,Hasuno,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-56,56,Impoleon,160,Wasser,,Rang 2,Selten,Masakazu Fukuda,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-57,57,Phione,70,Wasser,,Basis,Selten,AKIRA EGAWA,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-58,58,Schallquap,60,Wasser,,Basis,Häufig,Asako Ito,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-59,59,Piccolente,60,Wasser,,Basis,Häufig,Yumi,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-60,60,Swaroness,110,Wasser,,Rang 1,Selten,Yukiko Baba,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-61,61,Schwarzes Kyurem,130,Wasser,,Basis,Selten,Kouki Saitou,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-62,62,Lusardin,180,Wasser,,Basis,Selten,kawayoo,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-63,63,Lusardin GX,130,Wasser,,,Ultra Selten,sadaji,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-64,64,Araqua,60,Wasser,,Basis,Häufig,Shibuzoh.,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-65,65,Aranestro,100,Wasser,,Rang 1,Ungewöhnlich,Tomokazu Komiya,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-66,66,Pikachu,70,Elektro,,Basis,Häufig,Naoyo Kimura,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-67,67,Raichu,120,Elektro,,Rang 1,Selten,AKIRA EGAWA,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-68,68,Magnetilo,60,Elektro,,Basis,Häufig,Suwama Chiaki,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-69,69,Magneton,80,Elektro,,Rang 1,Selten,Eske Yoshinob,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-70,70,Blitza,100,Elektro,,Rang 1,Ungewöhnlich,Uta,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-71,71,Lampi,60,Elektro,,Basis,Häufig,Sekio,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-72,72,Lanturn,110,Elektro,,Rang 1,Selten,otumami,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-73,73,Togedemaru,80,Elektro,,Basis,Ungewöhnlich,sowsow,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-74,74,Togedemaru,70,Elektro,,Basis,Häufig,Misa Tsutsui,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-75,75,Solgaleo & Lunala GX,270,Psycho,,,Ultra Selten,Hideki Ishikawa,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-76,76,Smogon,60,Psycho,,Basis,Häufig,Naoyo Kimura,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-77,77,Smogmog,100,Psycho,,Rang 1,Selten,Motofumi Fujiwara,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-78,78,Natu,60,Psycho,,Basis,Häufig,tetsuya koizumi,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-79,79,Xatu,80,Psycho,,Rang 1,Selten,Anesaki Dynamic,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-80,80,Trasla,60,Psycho,,Basis,Häufig,Atsuko Nishida,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-81,81,Kirlia,80,Psycho,,Rang 1,Ungewöhnlich,sowsow,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-82,82,Galagladi,160,Psycho,,Rang 2,Selten,Misa Tsutsui,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-83,83,Zwirrlicht,40,Psycho,,Basis,Häufig,ryoma uratsuka,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-84,84,Zwirrklop,90,Psycho,,Rang 1,Ungewöhnlich,Suwama Chiaki,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-85,85,Zwirrfinst,160,Psycho,,Rang 2,Selten,Eske Yoshinob,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-86,86,Rotom,70,Psycho,,Basis,Ungewöhnlich,Mina Nakai,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-87,87,Fleknoil,60,Psycho,,Basis,Häufig,Shibuzoh.,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-88,88,Fletiamo,90,Psycho,,Rang 1,Selten,Tomokazu Komiya,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
sm12-89,89,Golbit,90,Psycho,,Basis,Häufig,Shigenori Negishi,"normal, reverse, holo",Welten im Wandel,Sonne & Mond,271
