id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm12-1,1,Venusaur & Snivy GX,270,Grass,,,Ultra Rare,Mitsuhiro Arita,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-2,2,Oddish,60,Grass,,Basic,Common,Yumi,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-3,3,Gloom,80,Grass,Oddish,Stage1,Uncommon,sui,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-4,4,Vileplume GX,240,Grass,Gloom,,Ultra Rare,Kagemaru Himeno,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-5,5,Tangela,70,Grass,,Basic,Common,otumami,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-6,6,Tangrowth,140,Grass,Tangela,Stage1,Uncommon,nagimiso,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-7,7,Sunkern,50,Grass,,Basic,Common,0313,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-8,8,Sunflora,90,Grass,Sunkern,Stage1,Rare,Yumi,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-9,9,Heracross,130,Grass,,Basic,Uncommon,Satoshi Shirai,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-10,10,Lileep,90,Grass,Unidentified Fossil,Stage1,Uncommon,Misa Tsutsui,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-11,11,Cradily,150,Grass,Lileep,Stage2,Rare,otumami,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-12,12,Tropius,120,Grass,,Basic,Uncommon,sowsow,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-13,13,Kricketot,60,Grass,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-14,14,Kricketune,100,Grass,Kricketot,Stage1,Uncommon,Anesaki Dynamic,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-15,15,Deerling,60,Grass,,Basic,Common,Shibuzoh.,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-16,16,Sawsbuck,100,Grass,Deerling,Stage1,Rare,sui,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-17,17,Rowlet,50,Grass,,Basic,Common,Yuka Morii,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-18,18,Rowlet,60,Grass,,Basic,Common,Saya Tsuruta,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-19,19,Dartrix,80,Grass,Rowlet,Stage1,Uncommon,Akira Komayama,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-20,20,Decidueye,140,Grass,Dartrix,Stage2,Rare,kawayoo,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-21,21,Buzzwole,130,Grass,,Basic,Rare,Anesaki Dynamic,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-22,22,Charizard & Braixen GX,270,Fire,,,Ultra Rare,Mitsuhiro Arita,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-23,23,Ponyta,70,Fire,,Basic,Common,Uta,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-24,24,Rapidash,100,Fire,Ponyta,Stage1,Uncommon,Misa Tsutsui,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-25,25,Flareon,110,Fire,Eevee,Stage1,Uncommon,AKIRA EGAWA,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-26,26,Slugma,80,Fire,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-27,27,Magcargo,120,Fire,Slugma,Stage1,Rare,Miki Tanaka,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-28,28,Entei,130,Fire,,Basic,Rare,Shin Nagasawa,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-29,29,Torkoal,110,Fire,,Basic,Uncommon,0313,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-30,30,Victini,70,Fire,,Basic,Rare,Saya Tsuruta,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-31,31,Tepig,80,Fire,,Basic,Common,Mina Nakai,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-32,32,Pignite,110,Fire,Tepig,Stage1,Uncommon,Naoyo Kimura,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-33,33,Emboar,170,Fire,Pignite,Stage2,Rare,kawayoo,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-34,34,Larvesta,80,Fire,,Basic,Uncommon,Midori Harada,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-35,35,Volcarona GX,210,Fire,Larvesta,,Ultra Rare,Hiroyuki Yamamoto,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-36,36,Litleo,70,Fire,,Basic,Common,HYOGONOSUKE,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-37,37,Pyroar,130,Fire,Litleo,Stage1,Uncommon,KEIICHIRO ITO,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-38,38,Blastoise & Piplup GX,270,Water,,,Ultra Rare,Mitsuhiro Arita,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-39,39,Alolan Vulpix,60,Water,,Basic,Common,nagimiso,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-40,40,Psyduck,60,Water,,Basic,Common,sui,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-41,41,Golduck,110,Water,Psyduck,Stage1,Uncommon,Shigenori Negishi,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-42,42,Vaporeon,110,Water,Eevee,Stage1,Uncommon,sui,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-43,43,Sneasel,70,Water,,Basic,Common,ryoma uratsuka,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-44,44,Weavile,90,Water,Sneasel,Stage1,Rare,MAHOU,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-45,45,Wailmer,120,Water,,Basic,Common,Tomokazu Komiya,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-46,46,Wailord,200,Water,Wailmer,Stage1,Rare,Kyoko Umemoto,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-47,47,Snorunt,60,Water,,Basic,Common,sowsow,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-48,48,Glalie,120,Water,Snorunt,Stage1,Rare,Uta,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-49,49,Spheal,60,Water,,Basic,Common,sui,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-50,50,Spheal,70,Water,,Basic,Common,SATOSHI NAKAI,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-51,51,Sealeo,100,Water,Spheal,Stage1,Uncommon,miki kudo,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-52,52,Walrein,160,Water,Sealeo,Stage2,Rare,Ayaka Yoshida,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-53,53,Kyogre,130,Water,,Basic,Rare,kawayoo,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-54,54,Piplup,60,Water,,Basic,Common,Suwama Chiaki,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-55,55,Prinplup,80,Water,Piplup,Stage1,Uncommon,Hasuno,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-56,56,Empoleon,160,Water,Prinplup,Stage2,Rare,Masakazu Fukuda,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-57,57,Phione,70,Water,,Basic,Rare,AKIRA EGAWA,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-58,58,Tympole,60,Water,,Basic,Common,Asako Ito,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-59,59,Ducklett,60,Water,,Basic,Common,Yumi,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-60,60,Swanna,110,Water,Ducklett,Stage1,Rare,Yukiko Baba,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-61,61,Black Kyurem,130,Water,,Basic,Rare,Kouki Saitou,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-62,62,Wishiwashi,180,Water,,Basic,Rare,kawayoo,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-63,63,Wishiwashi GX,130,Water,,,Ultra Rare,sadaji,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-64,64,Dewpider,60,Water,,Basic,Common,Shibuzoh.,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-65,65,Araquanid,100,Water,Dewpider,Stage1,Uncommon,Tomokazu Komiya,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-66,66,Pikachu,70,Lightning,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-67,67,Raichu,120,Lightning,Pikachu,Stage1,Rare,AKIRA EGAWA,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-68,68,Magnemite,60,Lightning,,Basic,Common,Suwama Chiaki,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-69,69,Magneton,80,Lightning,Magnemite,Stage1,Rare,Eske Yoshinob,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-70,70,Jolteon,100,Lightning,Eevee,Stage1,Uncommon,Uta,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-71,71,Chinchou,60,Lightning,,Basic,Common,Sekio,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-72,72,Lanturn,110,Lightning,Chinchou,Stage1,Rare,otumami,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-73,73,Togedemaru,80,Lightning,,Basic,Uncommon,sowsow,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-74,74,Togedemaru,70,Lightning,,Basic,Common,Misa Tsutsui,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-75,75,Solgaleo & Lunala GX,270,Psychic,,,Ultra Rare,Hideki Ishikawa,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-76,76,Koffing,60,Psychic,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-77,77,Weezing,100,Psychic,Koffing,Stage1,Rare,Motofumi Fujiwara,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-78,78,Natu,60,Psychic,,Basic,Common,tetsuya koizumi,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-79,79,Xatu,80,Psychic,Natu,Stage1,Rare,Anesaki Dynamic,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-80,80,Ralts,60,Psychic,,Basic,Common,Atsuko Nishida,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-81,81,Kirlia,80,Psychic,Ralts,Stage1,Uncommon,sowsow,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-82,82,Gallade,160,Psychic,Kirlia,Stage2,Rare,Misa Tsutsui,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
sm12-83,83,Duskull,40,Psychic,,Basic,Common,ryoma uratsuka,"normal, reverse, holo",Cosmic Eclipse,Sun & Moon,271
