id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm12-1,1,Florizarre et Vipélierre GX,270,Plante,,,Ultra Rare,Mitsuhiro Arita,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-2,2,Mystherbe,60,Plante,,De base,Commune,Yumi,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-3,3,Ortide,80,Plante,Mystherbe,Niveau 1,Peu Commune,sui,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-4,4,Rafflesia GX,240,Plante,Ortide,,Ultra Rare,Kagemaru Himeno,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-5,5,Saquedeneu,70,Plante,,De base,Commune,otumami,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-6,6,Bouldeneu,140,Plante,Saquedeneu,Niveau 1,Peu Commune,nagimiso,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-7,7,Tournegrin,50,Plante,,De base,Commune,0313,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-8,8,Héliatronc,90,Plante,Tournegrin,Niveau 1,Rare,Yumi,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-9,9,Scarhino,130,Plante,,De base,Peu Commune,Satoshi Shirai,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-10,10,Lilia,90,Plante,Fossile Inconnu,Niveau 1,Peu Commune,Misa Tsutsui,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-11,11,Vacilys,150,Plante,Lilia,Niveau 2,Rare,otumami,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-12,12,Tropius,120,Plante,,De base,Peu Commune,sowsow,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-13,13,Crikzik,60,Plante,,De base,Commune,Ken Sugimori,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-14,14,Mélokrik,100,Plante,Crikzik,Niveau 1,Peu Commune,Anesaki Dynamic,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-15,15,Vivaldaim,60,Plante,,De base,Commune,Shibuzoh.,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-16,16,Haydaim,100,Plante,Vivaldaim,Niveau 1,Rare,sui,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-17,17,Brindibou,50,Plante,,De base,Commune,Yuka Morii,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-18,18,Brindibou,60,Plante,,De base,Commune,Saya Tsuruta,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-19,19,Efflèche,80,Plante,Brindibou,Niveau 1,Peu Commune,Akira Komayama,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-20,20,Archéduc,140,Plante,Efflèche,Niveau 2,Rare,kawayoo,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-21,21,Mouscoto,130,Plante,,De base,Rare,Anesaki Dynamic,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-22,22,Dracaufeu et Roussil GX,270,Feu,,,Ultra Rare,Mitsuhiro Arita,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-23,23,Ponyta,70,Feu,,De base,Commune,Uta,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-24,24,Galopa,100,Feu,Ponyta,Niveau 1,Peu Commune,Misa Tsutsui,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-25,25,Pyroli,110,Feu,Évoli,Niveau 1,Peu Commune,AKIRA EGAWA,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-26,26,Limagma,80,Feu,,De base,Commune,Ken Sugimori,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-27,27,Volcaropod,120,Feu,Limagma,Niveau 1,Rare,Miki Tanaka,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-28,28,Entei,130,Feu,,De base,Rare,Shin Nagasawa,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-29,29,Chartor,110,Feu,,De base,Peu Commune,0313,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-30,30,Victini,70,Feu,,De base,Rare,Saya Tsuruta,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-31,31,Gruikui,80,Feu,,De base,Commune,Mina Nakai,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-32,32,Grotichon,110,Feu,Gruikui,Niveau 1,Peu Commune,Naoyo Kimura,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-33,33,Roitiflam,170,Feu,Grotichon,Niveau 2,Rare,kawayoo,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
sm12-34,34,Pyronille,80,Feu,,De base,Peu Commune,Midori Harada,"normal, reverse, holo",Éclipse Cosmique,Soleil et Lune,271
