id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm4-1,1,Weedle,50,Grass,,Basic,Common,Yukiko Baba,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-2,2,Kakuna,80,Grass,Weedle,Stage1,Uncommon,miki kudo,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-3,3,Beedrill,120,Grass,Kakuna,Stage2,Rare,kirisAki,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-4,4,Exeggcute,50,Grass,,Basic,Common,Kouki Saitou,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-5,5,Cacnea,60,Grass,,Basic,Common,Anesaki Dynamic,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-6,6,Cacturne,110,Grass,Cacnea,Stage1,Rare,Mina Nakai,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-7,7,Karrablast,60,Grass,,Basic,Common,OOYAMA,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-8,8,Shelmet,60,Grass,,Basic,Common,OOYAMA,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-9,9,Accelgor,90,Grass,Shelmet,Stage1,Uncommon,tetsuya koizumi,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-10,10,Skiddo,70,Grass,,Basic,Common,Naoki Saito,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-11,11,Gogoat,120,Grass,Skiddo,Stage1,Rare,You Iribi,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-12,12,Alolan Marowak,100,Fire,Cubone,Stage1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-13,13,Numel,80,Fire,,Basic,Common,sui,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-14,14,Camerupt,140,Fire,Numel,Stage1,Rare,Anesaki Dynamic,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-15,15,Staryu,60,Water,,Basic,Common,Yukiko Baba,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-16,16,Starmie,90,Water,Staryu,Stage1,Rare,Yuka Morii,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-17,17,Magikarp,30,Water,,Basic,Common,TOKIYA,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-18,18,Gyarados GX,240,Water,Magikarp,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-19,19,Swinub,60,Water,,Basic,Common,Eri Yamaki,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-20,20,Piloswine,100,Water,Swinub,Stage1,Uncommon,Kouki Saitou,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-21,21,Mamoswine,180,Water,Piloswine,Stage2,Rare,Mitsuhiro Arita,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-22,22,Remoraid,60,Water,,Basic,Common,Aya Kusube,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-23,23,Octillery,100,Water,Remoraid,Stage1,Rare,tetsuya koizumi,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-24,24,Corphish,70,Water,,Basic,Common,Masakazu Fukuda,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-25,25,Crawdaunt,110,Water,Corphish,Stage1,Rare,Saya Tsuruta,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-26,26,Feebas,30,Water,,Basic,Common,Hitoshi Ariga,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-27,27,Milotic,120,Water,Feebas,Stage1,Rare,Kagemaru Himeno,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-28,28,Regice,130,Water,,Basic,Rare,Masakazu Fukuda,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-29,29,Shellos,60,Water,,Basic,Common,Kouki Saitou,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-30,30,Pikachu,60,Lightning,,Basic,Common,Shibuzoh.,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-31,31,Alolan Raichu,110,Lightning,Pikachu,Stage1,Rare,Akira Komayama,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-32,32,Alolan Geodude,60,Lightning,,Basic,Common,Mitsuhiro Arita,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-33,33,Alolan Graveler,100,Lightning,Alolan Geodude,Stage1,Uncommon,kirisAki,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-34,34,Alolan Golem GX,250,Lightning,Alolan Graveler,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-35,35,Emolga,60,Lightning,,Basic,Uncommon,Kagemaru Himeno,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-36,36,Gastly,50,Psychic,,Basic,Common,Shibuzoh.,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-37,37,Haunter,70,Psychic,Gastly,Stage1,Uncommon,Eri Yamaki,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-38,38,Gengar,130,Psychic,Haunter,Stage2,Rare,Shin Nagasawa,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-39,39,Misdreavus,60,Psychic,,Basic,Common,so-taro,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-40,40,Mismagius,110,Psychic,Misdreavus,Stage1,Rare,chibi,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-41,41,Spoink,50,Psychic,,Basic,Common,Sekio,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-42,42,Grumpig,120,Psychic,Spoink,Stage1,Uncommon,Saya Tsuruta,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-43,43,Chimecho,70,Psychic,,Basic,Common,Kanako Eo,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
sm4-44,44,Pumpkaboo,60,Psychic,,Basic,Common,Miki Tanaka,"normal, reverse, holo",Crimson Invasion,Sun & Moon,125
