id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh12.5-001,001,Mystherbe,50,Plante,,De base,Commune,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-002,002,Ortide,70,Plante,Mystherbe,Niveau 1,Peu Commune,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-003,003,Joliflor,120,Plante,Ortide,Niveau 2,Rare,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-004,004,Saquedeneu,80,Plante,,De base,Commune,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-005,005,Bouldeneu,150,Plante,Saquedeneu,Niveau 1,Rare,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-006,006,Insécateur,80,Plante,,De base,Commune,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-007,007,Tournegrin,40,Plante,,De base,Commune,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-008,008,Yanma,70,Plante,,De base,Commune,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-009,009,Yanmega,130,Plante,Yanma,Niveau 1,Rare,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-010,010,Crikzik,60,Plante,,De base,Commune,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-011,011,Ceribou,50,Plante,,De base,Commune,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-012,012,Vortente,90,Plante,,De base,Peu Commune,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-013,013,Phyllali V,210,Plante,,De base,Holo Rare V,,holo,Zénith Suprême,Épée et Bouclier,230
swsh12.5-014,014,Phyllali VSTAR,260,Plante,Phyllali-V,VSTAR,Holo Rare VSTAR,,holo,Zénith Suprême,Épée et Bouclier,230
swsh12.5-015,015,Larvibule,70,Plante,,De base,Commune,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-016,016,Zarude,120,Plante,,De base,Holo Rare,,"reverse, holo",Zénith Suprême,Épée et Bouclier,230
swsh12.5-017,017,Sylveroy,110,Plante,,De base,Holo Rare,,"reverse, holo",Zénith Suprême,Épée et Bouclier,230
swsh12.5-018,018,Dracaufeu V,220,Feu,,De base,Holo Rare V,,holo,Zénith Suprême,Épée et Bouclier,230
swsh12.5-019,019,Dracaufeu VSTAR,280,Feu,Dracaufeu-V,VSTAR,Holo Rare VSTAR,,holo,Zénith Suprême,Épée et Bouclier,230
swsh12.5-020,020,Dracaufeu Radieux,160,Feu,,De base,Radieux Rare,,holo,Zénith Suprême,Épée et Bouclier,230
swsh12.5-021,021,Entei,120,Feu,,De base,Holo Rare,,"reverse, holo",Zénith Suprême,Épée et Bouclier,230
swsh12.5-022,022,Flamoutan V,210,Feu,,De base,Holo Rare V,,holo,Zénith Suprême,Épée et Bouclier,230
swsh12.5-023,023,Flamoutan VSTAR,260,Feu,Flamoutan-V,VSTAR,Holo Rare VSTAR,,holo,Zénith Suprême,Épée et Bouclier,230
swsh12.5-024,024,Pyronille,80,Feu,,De base,Commune,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-025,025,Pyrax,130,Feu,Pyronille,Niveau 1,Rare,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-026,026,Volcanion,130,Feu,,De base,Holo Rare,,"reverse, holo",Zénith Suprême,Épée et Bouclier,230
swsh12.5-027,027,Tritox,70,Feu,,De base,Commune,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-028,028,Malamandre,120,Feu,Tritox,Niveau 1,Peu Commune,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-029,029,Otaria,70,Eau,,De base,Commune,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
swsh12.5-030,030,M. Mime de Galar,80,Eau,,De base,Commune,,"normal, reverse",Zénith Suprême,Épée et Bouclier,230
