id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-dp-m-1,1,Buizel,60,Water,,Basic,None,Ken Sugimori,"normal, reverse, holo",DP trainer Kit (Manaphy),Trainer kits,12
tk-dp-m-2,2,Floatzel,90,Water,Buizel,Stage1,None,Masahiko Ishii,"normal, reverse, holo",DP trainer Kit (Manaphy),Trainer kits,12
tk-dp-m-3,3,Goldeen,60,Water,,Basic,None,Atsuko Nishida,"normal, reverse, holo",DP trainer Kit (Manaphy),Trainer kits,12
tk-dp-m-4,4,Manaphy,70,,,Basic,None,Daisuke Ito,"normal, reverse, holo",DP trainer Kit (Manaphy),Trainer kits,12
tk-dp-m-5,5,Piplup,60,Water,,Basic,None,Ken Sugimori,"normal, reverse, holo",DP trainer Kit (Manaphy),Trainer kits,12
tk-dp-m-6,6,Prinplup,80,Water,Piplup,Stage1,None,Ken Sugimori,"normal, reverse, holo",DP trainer Kit (Manaphy),Trainer kits,12
tk-dp-m-7,7,Seaking,80,Water,Goldeen,Stage1,None,Atsuko Nishida,"normal, reverse, holo",DP trainer Kit (Manaphy),Trainer kits,12
tk-dp-m-8,8,Totodile,50,Water,,Basic,None,Kouki Saitou,"normal, reverse, holo",DP trainer Kit (Manaphy),Trainer kits,12
tk-dp-m-9,9,Dusk Ball,,,,,None,Ryo Ueda,"normal, reverse, holo",DP trainer Kit (Manaphy),Trainer kits,12
tk-dp-m-10,10,Energy Search,,,,,None,Kai Ishikawa,"normal, reverse, holo",DP trainer Kit (Manaphy),Trainer kits,12
tk-dp-m-11,11,Potion,,,,,None,Shin-ichi Yoshikawa,"normal, reverse, holo",DP trainer Kit (Manaphy),Trainer kits,12
tk-dp-m-12,12,Water Energy,,,,Basic,None,,"normal, reverse, holo",DP trainer Kit (Manaphy),Trainer kits,12
