id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh3-1,1,Butterfree V,190,Grass,,Basic,Holo Rare V,Saki Hayashiro,holo,Darkness Ablaze,Sword & Shield,201
swsh3-2,2,Butterfree VMAX,300,Grass,Butterfree V,VMAX,Holo Rare VMAX,aky CG Works,holo,Darkness Ablaze,Sword & Shield,201
swsh3-3,3,Paras,60,Grass,,Basic,Common,Atsuko Nishida,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-4,4,Parasect,120,Grass,Paras,Stage1,Uncommon,Miki Tanaka,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-5,5,Carnivine,90,Grass,,Basic,Uncommon,Masakazu Fukuda,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-6,6,Pansage,60,Grass,,Basic,Common,Mina Nakai,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-7,7,Simisage,100,Grass,Pansage,Stage1,Uncommon,Hasegawa Saki,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-8,8,Karrablast,60,Grass,,Basic,Common,Mizue,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-9,9,Shelmet,70,Grass,,Basic,Common,Megumi Mizutani,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-10,10,Accelgor,90,Grass,Shelmet,Stage1,Rare,Shigenori Negishi,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-11,11,Rowlet,50,Grass,,Basic,Common,HYOGONOSUKE,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-12,12,Dartrix,80,Grass,Rowlet,Stage1,Uncommon,Mitsuhiro Arita,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-13,13,Decidueye,140,Grass,Dartrix,Stage2,Holo Rare,Ryota Murayama,"reverse, holo",Darkness Ablaze,Sword & Shield,201
swsh3-14,14,Bounsweet,60,Grass,,Basic,Common,Yuka Morii,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-15,15,Steenee,80,Grass,Bounsweet,Stage1,Uncommon,sui,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-16,16,Tsareena,150,Grass,Steenee,Stage2,Rare,so-taro,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-17,17,Wimpod,70,Grass,,Basic,Common,MAHOU,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-18,18,Golisopod,130,Grass,Wimpod,Stage1,Holo Rare,Ryuta Fuse,"reverse, holo",Darkness Ablaze,Sword & Shield,201
swsh3-19,19,Charizard V,220,Fire,,Basic,Holo Rare V,aky CG Works,holo,Darkness Ablaze,Sword & Shield,201
swsh3-20,20,Charizard VMAX,330,Fire,Charizard V,VMAX,Holo Rare VMAX,aky CG Works,holo,Darkness Ablaze,Sword & Shield,201
swsh3-21,21,Houndoom V,210,Fire,,Basic,Holo Rare V,Ayaka Yoshida,holo,Darkness Ablaze,Sword & Shield,201
swsh3-22,22,Torchic,60,Fire,,Basic,Common,Yuka Morii,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-23,23,Combusken,90,Fire,Torchic,Stage1,Uncommon,kodama,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-24,24,Blaziken,170,Fire,Combusken,Stage2,Holo Rare,Ryuta Fuse,"reverse, holo",Darkness Ablaze,Sword & Shield,201
swsh3-25,25,Heatran,130,Fire,,Basic,Holo Rare,Anesaki Dynamic,"reverse, holo",Darkness Ablaze,Sword & Shield,201
swsh3-26,26,Pansear,60,Fire,,Basic,Common,Megumi Higuchi,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-27,27,Simisear,100,Fire,Pansear,Stage1,Uncommon,0313,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-28,28,Galarian Darmanitan,140,Fire,Galarian Darumaka,Stage1,Rare,Misa Tsutsui,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-29,29,Larvesta,70,Fire,,Basic,Common,Uta,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-30,30,Volcarona,120,Fire,Larvesta,Stage1,Rare,NC Empire,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-31,31,Fletchinder,70,Fire,Fletchling,Stage1,Uncommon,Mitsuhiro Arita,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-32,32,Talonflame,140,Fire,Fletchinder,Stage2,Rare,kawayoo,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-33,33,Centiskorch V,210,Fire,,Basic,Holo Rare V,5ban Graphics,holo,Darkness Ablaze,Sword & Shield,201
swsh3-34,34,Centiskorch VMAX,320,Fire,Centiskorch V,VMAX,Holo Rare VMAX,5ban Graphics,holo,Darkness Ablaze,Sword & Shield,201
swsh3-35,35,Galarian Mr. Mime,80,Water,,Basic,Common,Misa Tsutsui,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-36,36,Galarian Mr. Rime,120,Water,Galarian Mr. Mime,Stage1,Rare,Naoki Saito,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-37,37,Suicune,120,Water,,Basic,Holo Rare,so-taro,"reverse, holo",Darkness Ablaze,Sword & Shield,201
swsh3-38,38,Feebas,30,Water,,Basic,Common,HYOGONOSUKE,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-39,39,Milotic,120,Water,Feebas,Stage1,Holo Rare,AKIRA EGAWA,"reverse, holo",Darkness Ablaze,Sword & Shield,201
swsh3-40,40,Relicanth,90,Water,,Basic,Uncommon,MAHOU,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-41,41,Panpour,60,Water,,Basic,Common,ryoma uratsuka,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-42,42,Simipour,100,Water,Panpour,Stage1,Uncommon,Shigenori Negishi,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-43,43,Galarian Darumaka,70,Water,,Basic,Common,Shin Nagasawa,"normal, reverse",Darkness Ablaze,Sword & Shield,201
swsh3-44,44,Galarian Darmanitan,140,Water,Galarian Darumaka,Stage1,Rare,Masakazu Fukuda,"normal, reverse",Darkness Ablaze,Sword & Shield,201
