id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex8-1,1,Altaria,70,Colorless,Swablu,Stage1,Rare,Kyoko Umemoto,holo,Deoxys,EX,108
ex8-2,2,Beautifly,100,Grass,Silcoon,Stage2,Rare,Kagemaru Himeno,holo,Deoxys,EX,108
ex8-3,3,Breloom,80,Fighting,Shroomish,Stage1,Rare,Hajime Kusajima,holo,Deoxys,EX,108
ex8-4,4,Camerupt,90,Fire,Numel,Stage1,Rare,Tomokazu Komiya,"normal, holo",Deoxys,EX,108
ex8-5,5,Claydol,80,Fighting,Baltoy,Stage1,Rare,Hajime Kusajima,holo,Deoxys,EX,108
ex8-6,6,Crawdaunt,70,Darkness,Corphish,Stage1,Rare,Tomoko Wakai,holo,Deoxys,EX,108
ex8-7,7,Dusclops,70,Psychic,Duskull,Stage1,Rare,Tomoko Wakai,holo,Deoxys,EX,108
ex8-8,8,Gyarados,90,Water,Magikarp,Stage1,Rare,Hisao Nakamura,holo,Deoxys,EX,108
ex8-9,9,Jirachi,60,Metal,,Basic,Rare,Sumiyoshi Kizuki,holo,Deoxys,EX,108
ex8-10,10,Ludicolo,100,Water,Lombre,Stage2,Rare,Atsuko Nishida,holo,Deoxys,EX,108
ex8-11,11,Metagross,100,Psychic,Metang,Stage2,Rare,Hisao Nakamura,holo,Deoxys,EX,108
ex8-12,12,Mightyena,70,Darkness,Poochyena,Stage1,Rare,Naoyo Kimura,holo,Deoxys,EX,108
ex8-13,13,Ninjask,70,Grass,Nincada,Stage1,Rare,Katsura Tabata,holo,Deoxys,EX,108
ex8-14,14,Shedinja,50,Psychic,Nincada,Stage1,Rare,Yukiko Baba,"normal, holo",Deoxys,EX,108
ex8-15,15,Slaking,120,Colorless,Vigoroth,Stage2,Rare,Mitsuhiro Arita,holo,Deoxys,EX,108
ex8-16,16,Deoxys,70,Psychic,,Basic,Rare,Hironobu Yoshida,"normal, holo",Deoxys,EX,108
ex8-17,17,Deoxys,70,Psychic,,Basic,Rare,Hironobu Yoshida,"normal, holo",Deoxys,EX,108
ex8-18,18,Deoxys,70,Psychic,,Basic,Rare,Hironobu Yoshida,"normal, holo",Deoxys,EX,108
ex8-19,19,Ludicolo,100,Water,Lombre,Stage2,Rare,Ken Sugimori,"normal, holo",Deoxys,EX,108
ex8-20,20,Magcargo,80,Fire,Slugma,Stage1,Rare,Midori Harada,"normal, holo",Deoxys,EX,108
ex8-21,21,Pelipper,70,Water,Wingull,Stage1,Rare,Tomokazu Komiya,"normal, holo",Deoxys,EX,108
ex8-22,22,Rayquaza,80,Colorless,,Basic,Rare,Hiromichi Sugiyama,"normal, holo",Deoxys,EX,108
ex8-23,23,Sableye,60,Darkness,,Basic,Rare,Aya Kusube,"normal, holo",Deoxys,EX,108
ex8-24,24,Seaking,70,Water,Goldeen,Stage1,Rare,Atsuko Nishida,"normal, holo",Deoxys,EX,108
ex8-25,25,Shiftry,110,Grass,Nuzleaf,Stage2,Rare,Kouki Saitou,"normal, holo",Deoxys,EX,108
ex8-26,26,Skarmory,70,Metal,,Basic,Rare,Kouki Saitou,"normal, holo",Deoxys,EX,108
