id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv10-001,001,Scarabrute de Luth,120,Plante,,De base,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-002,002,Yanma,70,Plante,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-003,003,Yanmega-ex,280,Plante,Yanma,Niveau 1,Double rare,,holo,Rivalités Destinées,Écarlate et Violet,244
sv10-004,004,Pomdepik,70,Plante,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-005,005,Balignon,60,Plante,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-006,006,Chapignon,120,Plante,Balignon,Niveau 1,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-007,007,Rosélia de Cynthia,70,Plante,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-008,008,Roserade de Cynthia,130,Plante,Rosélia de Cynthia,Niveau 1,Rare,,"reverse, holo",Rivalités Destinées,Écarlate et Violet,244
sv10-009,009,Motisma Tonte,70,Plante,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-010,010,Shaymin,80,Plante,,De base,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-011,011,Crabicoque,70,Plante,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-012,012,Crabaraque,150,Plante,Crabicoque,Niveau 1,Rare,,"reverse, holo",Rivalités Destinées,Écarlate et Violet,244
sv10-013,013,Mimantis,60,Plante,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-014,014,Floramantis,120,Plante,Mimantis,Niveau 1,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-015,015,Larvadar de la Team Rocket,60,Plante,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-016,016,Verpom,40,Plante,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-017,017,Pomdramour,90,Plante,Verpom,Niveau 1,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-018,018,Pomdorochi,170,Plante,Pomdramour,Niveau 2,Rare,,"reverse, holo",Rivalités Destinées,Écarlate et Violet,244
sv10-019,019,Tissenboule de la Team Rocket,50,Plante,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-020,020,Filentrappe de la Team Rocket,130,Plante,Tissenboule de la Team Rocket,Niveau 1,Rare,,"reverse, holo",Rivalités Destinées,Écarlate et Violet,244
sv10-021,021,Olivini,60,Plante,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-022,022,Olivado,90,Plante,Olivini,Niveau 1,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-023,023,Arboliva-ex,310,Plante,Olivado,Niveau 2,Double rare,,holo,Rivalités Destinées,Écarlate et Violet,244
sv10-024,024,Léboulérou,40,Plante,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-025,025,Bérasca-ex,250,Plante,Léboulérou,Niveau 1,Double rare,,holo,Rivalités Destinées,Écarlate et Violet,244
sv10-026,026,Ogerpon Masque Turquoise,110,Plante,,De base,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-027,027,Caninos,80,Feu,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-028,028,Arcanin,140,Feu,Caninos,Niveau 1,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-029,029,Ponyta,70,Feu,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-030,030,Galopa,110,Feu,Ponyta,Niveau 1,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-031,031,Sulfura-ex de la Team Rocket,220,Feu,,De base,Double rare,,holo,Rivalités Destinées,Écarlate et Violet,244
sv10-032,032,Héricendre de Luth,70,Feu,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-033,033,Feurisson de Luth,100,Feu,Héricendre de Luth,Niveau 1,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-034,034,Typhlosion de Luth,170,Feu,Feurisson de Luth,Niveau 2,Rare,,"reverse, holo",Rivalités Destinées,Écarlate et Violet,244
sv10-035,035,Limagma de Luth,80,Feu,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-036,036,Volcaropod de Luth,130,Feu,Limagma de Luth,Niveau 1,Rare,,"reverse, holo",Rivalités Destinées,Écarlate et Violet,244
sv10-037,037,Malosse de la Team Rocket,70,Feu,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-038,038,Démolosse de la Team Rocket,130,Feu,Malosse de la Team Rocket,Niveau 1,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-039,039,Ho-Oh-ex de Luth,230,Feu,,De base,Double rare,,holo,Rivalités Destinées,Écarlate et Violet,244
sv10-040,040,Poussifeu,70,Feu,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-041,041,Galifeu,100,Feu,Poussifeu,Niveau 1,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-042,042,Braségali,170,Feu,Galifeu,Niveau 2,Rare,,"reverse, holo",Rivalités Destinées,Écarlate et Violet,244
sv10-043,043,Motisma Chaleur,80,Feu,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-044,044,Ogerpon Masque du Fourneau,110,Feu,,De base,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-045,045,Psykokwak d'Ondine,70,Eau,,De base,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-046,046,Stari d'Ondine,70,Eau,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-047,047,Staross d'Ondine,100,Eau,Stari d'Ondine,Niveau 1,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-048,048,Magicarpe d'Ondine,30,Eau,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-049,049,Léviator d'Ondine,180,Eau,Magicarpe d'Ondine,Niveau 1,Rare,,"reverse, holo",Rivalités Destinées,Écarlate et Violet,244
sv10-050,050,Lokhlass d'Ondine,110,Eau,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-051,051,Artikodin de la Team Rocket,120,Eau,,De base,Rare,,"reverse, holo",Rivalités Destinées,Écarlate et Violet,244
sv10-052,052,Barpau de Cynthia,30,Eau,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-053,053,Milobellus de Cynthia,130,Eau,Barpau de Cynthia,Niveau 1,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-054,054,Coquiperl,60,Eau,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-055,055,Serpang,110,Eau,Coquiperl,Niveau 1,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-056,056,Rosabyss,90,Eau,Coquiperl,Niveau 1,Rare,,"reverse, holo",Rivalités Destinées,Écarlate et Violet,244
sv10-057,057,Mustébouée,70,Eau,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-058,058,Mustéflott,120,Eau,Mustébouée,Niveau 1,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-059,059,Blizzi,90,Eau,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-060,060,Blizzaroi,150,Eau,Blizzi,Niveau 1,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-061,061,Motisma Lavage,80,Eau,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-062,062,Embrochet,70,Eau,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-063,063,Hastacuda,130,Eau,Embrochet,Niveau 1,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-064,064,Piétacé,100,Eau,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-065,065,Balbalèze-ex,300,Eau,Piétacé,Niveau 1,Double rare,,"reverse, holo",Rivalités Destinées,Écarlate et Violet,244
sv10-066,066,Oyacata-ex,260,Eau,,De base,Double rare,,"reverse, holo",Rivalités Destinées,Écarlate et Violet,244
sv10-067,067,Ogerpon Masque du Puits,110,Eau,,De base,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-068,068,Élektek,90,Électrique,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-069,069,Élekable-ex,280,Électrique,Élektek,Niveau 1,Double rare,,"reverse, holo",Rivalités Destinées,Écarlate et Violet,244
sv10-070,070,Électhor de la Team Rocket,120,Électrique,,De base,Rare,,"reverse, holo",Rivalités Destinées,Écarlate et Violet,244
sv10-071,071,Pichu de Luth,30,Électrique,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-072,072,Wattouat de la Team Rocket,60,Électrique,,De base,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-073,073,Lainergie de la Team Rocket,90,Électrique,Wattouat de la Team Rocket,Niveau 1,Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
sv10-074,074,Pharamp de la Team Rocket,140,Électrique,Lainergie de la Team Rocket,Niveau 2,Peu Commune,,"normal, reverse",Rivalités Destinées,Écarlate et Violet,244
