id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
SV10-001,001,クヌギダマ,70,Grass,,Basic,Common,YASHIRO Nanaco,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-002,002,キノココ,60,Grass,,Basic,Common,IKEDA Saki,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-003,003,キノガッサ,120,Grass,,Stage1,Common,nisimono,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-004,004,カットロトム,70,Grass,,Basic,Common,Rianti Hidayat,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-005,005,カリキリ,60,Grass,,Basic,Common,mashu,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-006,006,ラランテス,120,Grass,,Stage1,Uncommon,Masako Tomii,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-007,007,ロケット団のサッチムシ,60,Grass,,Basic,Common,buchi,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-008,008,ロケット団のタマンチュラ,50,Grass,,Basic,Common,Saboteri,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-009,009,ロケット団のワナイダー,130,Grass,,Stage1,Rare,Taiga Kasai,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-010,010,ミニーブ,60,Grass,,Basic,Common,Yuka Morii,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-011,011,オリーニョ,90,Grass,,Stage1,Common,Felicia Chen,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-012,012,オリーヴァex,310,Grass,,Stage2,Double rare,PLANETA Tsuji,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-013,013,ガーディ,80,Fire,,Basic,Common,ryoma uratsuka,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-014,014,ウインディ,140,Fire,,Stage1,Uncommon,Nisota Niso,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-015,015,ロケット団のファイヤーex,220,Fire,,Basic,Double rare,5ban Graphics,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-016,016,ロケット団のデルビル,70,Fire,,Basic,Common,Krgc,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-017,017,ロケット団のヘルガー,130,Fire,,Stage1,Uncommon,Anesaki Dynamic,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-018,018,アチャモ,70,Fire,,Basic,Common,Tika Matsuno,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-019,019,ワカシャモ,100,Fire,,Stage1,Common,yuu,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-020,020,バシャーモ,170,Fire,,Stage2,Rare,Kazumasa Yasukuni,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-021,021,ヒートロトム,80,Fire,,Basic,Common,Dsuke,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-022,022,ロケット団のフリーザー,120,Water,,Basic,Rare,Mitsuhiro Arita,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-023,023,パールル,60,Water,,Basic,Common,Miki Tanaka,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-024,024,ハンテール,110,Water,,Stage1,Uncommon,Scav,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-025,025,サクラビス,90,Water,,Stage1,Rare,Naoyo Kimura,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-026,026,ユキカブリ,90,Water,,Basic,Common,Tomokazu Komiya,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-027,027,ユキノオー,150,Water,,Stage1,Uncommon,kamonabe,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-028,028,ウォッシュロトム,80,Water,,Basic,Common,miki kudo,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-029,029,サシカマス,70,Water,,Basic,Common,OKUBO,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-030,030,カマスジョー,130,Water,,Stage1,Uncommon,Kyoko Umemoto,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-031,031,アルクジラ,100,Water,,Basic,Common,sui,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-032,032,ハルクジラex,300,Water,,Stage1,Double rare,kawayoo,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-033,033,ロケット団のサンダー,120,Lightning,,Basic,Rare,Nurikabe,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-034,034,ロケット団のメリープ,60,Lightning,,Basic,Common,Teeziro,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-035,035,ロケット団のモココ,90,Lightning,,Stage1,Common,Jerky,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-036,036,ロケット団のデンリュウ,140,Lightning,,Stage2,Uncommon,Shiburingaru,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-037,037,ロケット団のスリープ,80,Psychic,,Basic,Common,matazo,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-038,038,ロケット団のスリーパー,130,Psychic,,Stage1,Uncommon,Yuya Oka,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-039,039,ロケット団のミュウツーex,280,Psychic,,Basic,Double rare,aky CG Works,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-040,040,ロケット団のソーナンス,110,Psychic,,Basic,Rare,Kazumasa Yasukuni,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-041,041,ロケット団のリーシャン,30,Psychic,,Basic,Common,Mina Nakai,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-042,042,ロケット団のミミッキュ,60,Psychic,,Basic,Uncommon,DOM,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-043,043,ロケット団のレドームシ,80,Psychic,,Stage1,Common,Scav,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-044,044,ロケット団のイオルブ,130,Psychic,,Stage2,Uncommon,Shin Nagasawa,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-045,045,マンキー,70,Fighting,,Basic,Common,Ayako Ozaki,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-046,046,オコリザル,110,Fighting,,Stage1,Common,GOTO minori,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-047,047,コノヨザル,150,Fighting,,Stage2,Rare,Shiburingaru,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-048,048,ロケット団のヨーギラス,70,Fighting,,Basic,Common,Kuroimori,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-049,049,ロケット団のサナギラス,100,Fighting,,Stage1,Uncommon,Izucch,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-050,050,ロケット団のバンギラス,180,Fighting,,Stage2,Rare,Ryuta Fuse,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-051,051,ノズパス,80,Fighting,,Basic,Common,Oku,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
SV10-052,052,ダイノーズ,140,Fighting,,Stage1,Uncommon,sowsow,"normal, reverse, holo",ロケット団の栄光,ポケモンカードゲーム スカーレット&バイオレット,98
