id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
det1-1,1,Bulbizarre,60,Plante,,De base,Commune,MPC Film,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-2,2,Ludicolo,140,Plante,Lombre,Niveau 2,Rare,Framestore,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-3,3,Spododo,50,Plante,,De base,Commune,MPC Film,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-4,4,Salamèche,60,Feu,,De base,Commune,MPC Film,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-5,5,Dracaufeu,180,Feu,Reptincel,Niveau 2,Ultra Rare,Framestore,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-6,6,Arcanin,120,Feu,Caninos,Niveau 1,Rare,MPC Film,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-7,7,Psykokwak,80,Eau,,De base,Commune,Framestore,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-8,8,Magicarpe,30,Eau,,De base,Commune,Framestore,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-9,9,Amphinobi,140,Eau,Croâporal,Niveau 2,Ultra Rare,MPC Film,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-10,10,Détective Pikachu,90,Électrique,,De base,Rare,MPC Film,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-11,11,M. Mime,80,Psy,,De base,Rare,MPC Film,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-12,12,Mewtwo,130,Psy,,De base,Ultra Rare,MPC Film,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-13,13,Mackogneur,160,Combat,Machopeur,Niveau 2,Rare,MPC Film,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-14,14,Rondoudou,60,Fée,,De base,Commune,Framestore,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-15,15,Snubbull,70,Fée,,De base,Commune,Framestore,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-16,16,Excelangue,100,Incolore,,De base,Commune,MPC Film,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-17,17,Métamorph,60,Incolore,,De base,Ultra Rare,MPC Film,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
det1-18,18,Monaflèmit,180,Incolore,Vigoroth,Niveau 2,Rare,Framestore,"normal, reverse, holo",Détective Pikachu,Soleil et Lune,18
