id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp1-1,1,Dialga,90,Metall,,Basis,"Selten, Holografisch",Nakaoka,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-2,2,Zwirrfinst,120,Psycho,,Rang 2,"Selten, Holografisch",Takabon,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-3,3,Elevoltek,100,Elektro,,Rang 1,"Selten, Holografisch",Nakaoka,"normal, reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-4,4,Impoleon,130,Wasser,,Rang 2,"Selten, Holografisch",Nakaoka,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-5,5,Panferno,100,Feuer,,Rang 2,"Selten, Holografisch",Nakaoka,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-6,6,Lucario,90,Kampf,,Rang 1,"Selten, Holografisch",Ken Sugimori,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-7,7,Luxtra,120,Elektro,,Rang 2,"Selten, Holografisch",Mikiko Takeda,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-8,8,Magnezone,120,Metall,,Rang 2,"Selten, Holografisch",Nakaoka,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-9,9,Manaphy,70,Wasser,,Basis,"Selten, Holografisch",Nakaoka,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-10,10,Traunmagil,90,Psycho,,Rang 1,"Selten, Holografisch",Mikiko Takeda,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-11,11,Palkia,90,Wasser,,Basis,"Selten, Holografisch",Nakaoka,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-12,12,Rihornior,140,Kampf,,Rang 2,"Selten, Holografisch",Nakaoka,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-13,13,Roserade,90,Pflanze,,Rang 1,"Selten, Holografisch",Nakaoka,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-14,14,Tengulist,120,Unlicht,,Rang 2,"Selten, Holografisch",Masakazu Fukuda,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-15,15,Skuntank,90,Unlicht,,Rang 1,"Selten, Holografisch",Hiroaki Ito,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-16,16,Staraptor,100,Farblos,,Rang 2,"Selten, Holografisch",Masahiko Ishii,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-17,17,Chelterrar,140,Pflanze,,Rang 2,"Selten, Holografisch",Masahiko Ishii,"reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-18,18,Azumarill,80,Wasser,,Rang 1,Selten,Naoyo Kimura,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-19,19,Papinella,100,Pflanze,,Rang 2,Selten,Atsuko Nishida,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-20,20,Bidifas,100,Farblos,,Rang 1,Selten,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-21,21,Venuflibis,70,Pflanze,,Basis,Selten,Kouki Saitou,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-22,22,Pixi,90,Farblos,,Rang 1,Selten,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-23,23,Piondragi,100,Psycho,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-24,24,Drifzepeli,80,Psycho,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-25,25,Pudox,120,Pflanze,,Rang 2,Selten,Kouki Saitou,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-26,26,Bojelin,90,Wasser,,Rang 1,Selten,Masahiko Ishii,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-27,27,Gengar,110,Psycho,,Rang 2,Selten,Kagemaru Himeno,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-28,28,Skaraborn,80,Pflanze,,Basis,Selten,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-29,29,Hippoterus,110,Kampf,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-30,30,Schlapor,80,Farblos,,Rang 1,Selten,Kagemaru Himeno,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-31,31,Machomei,130,Kampf,,Rang 2,Selten,Kagemaru Himeno,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-32,32,Meditalis,90,Kampf,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-33,33,Mampfaxo,60,Farblos,,Basis,Selten,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-34,34,Noctuh,90,Farblos,,Rang 1,Selten,Atsuko Nishida,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-35,35,Pachirisu,70,Elektro,,Basis,Selten,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-36,36,Shnurgarst,90,Farblos,,Rang 1,Selten,Masakazu Fukuda,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-37,37,Relaxo,100,Farblos,,Basis,Selten,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-38,38,Stahlos,110,Metall,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-39,39,Honweisel,100,Pflanze,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-40,40,Snibunna,80,Unlicht,,Rang 1,Selten,Naoyo Kimura,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-41,41,Woingenau,80,Psycho,,Basis,Selten,Kouki Saitou,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-42,42,Isso,40,Psycho,,Basis,Selten,Masakazu Fukuda,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-43,43,Knospi,40,Pflanze,,Basis,Ungewöhnlich,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-44,44,Panekon,80,Pflanze,,Rang 1,Ungewöhnlich,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-45,45,Kinoso,80,Pflanze,,Rang 1,Ungewöhnlich,Atsuko Nishida,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-46,46,Driftlon,60,Psycho,,Basis,Ungewöhnlich,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-47,47,Zwirrklop,80,Psycho,,Rang 1,Ungewöhnlich,Kouki Saitou,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-48,48,Elekid,40,Elektro,,Basis,Ungewöhnlich,Kagemaru Himeno,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-49,49,Chelcarain,90,Pflanze,,Rang 1,Ungewöhnlich,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-50,50,Alpollo,70,Psycho,,Rang 1,Ungewöhnlich,Naoyo Kimura,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-51,51,Hippopotas,60,Kampf,,Basis,Ungewöhnlich,Mitsuhiro Arita,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-52,52,Luxio,80,Elektro,,Rang 1,Ungewöhnlich,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-53,53,Maschock,80,Kampf,,Rang 1,Ungewöhnlich,Kouki Saitou,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-54,54,Magneton,70,Metall,,Rang 1,Ungewöhnlich,Kouki Saitou,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-55,55,Mantirps,40,Wasser,,Basis,Ungewöhnlich,Midori Harada,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-56,56,Panpyro,70,Feuer,,Rang 1,Ungewöhnlich,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-57,57,Blanas,80,Unlicht,,Rang 1,Ungewöhnlich,Kagemaru Himeno,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-58,58,Pliprin,80,Wasser,,Rang 1,Ungewöhnlich,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-59,59,Gallopa,80,Feuer,,Rang 1,Ungewöhnlich,Naoyo Kimura,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-60,60,Rizeros,90,Kampf,,Rang 1,Ungewöhnlich,Naoyo Kimura,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-61,61,Riolu,60,Kampf,,Basis,Ungewöhnlich,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-62,62,Golking,80,Wasser,,Rang 1,Ungewöhnlich,Atsuko Nishida,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-63,63,Schaloko,80,Pflanze,,Rang 1,Ungewöhnlich,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-64,64,Staravia,70,Farblos,,Rang 1,Ungewöhnlich,Masakazu Fukuda,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-65,65,Icognito A,50,Psycho,,Basis,Ungewöhnlich,Nakaoka,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-66,66,Icognito B,50,Psycho,,Basis,Ungewöhnlich,Nakaoka,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-67,67,Icognito C,50,Psycho,,Basis,Ungewöhnlich,Nakaoka,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-68,68,Icognito D,50,Psycho,,Basis,Ungewöhnlich,Nakaoka,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-69,69,Azurill,40,Farblos,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-70,70,Bidiza,50,Farblos,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-71,71,Mobai,40,Kampf,,Basis,Häufig,Midori Harada,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-72,72,Bamelin,60,Wasser,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-73,73,Haspiror,50,Farblos,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-74,74,Plaudagei,60,Farblos,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-75,75,Kikugi,50,Pflanze,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-76,76,Panflam,50,Feuer,,Basis,Häufig,Ken Sugimori,"normal, reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-77,77,Piepi,60,Farblos,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-78,78,Pii,40,Farblos,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-79,79,Wadribie,50,Pflanze,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-80,80,Zwirrlicht,50,Psycho,,Basis,Häufig,Atsuko Nishida,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-81,81,Elektek,70,Elektro,,Basis,Häufig,Kagemaru Himeno,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-82,82,Nebulak,50,Psycho,,Basis,Häufig,Kouki Saitou,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-83,83,Charmian,50,Farblos,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-84,84,Goldini,60,Wasser,,Basis,Häufig,Atsuko Nishida,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-85,85,Hoothoot,50,Farblos,,Basis,Häufig,Midori Harada,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-86,86,Machollo,60,Kampf,,Basis,Häufig,Atsuko Nishida,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-87,87,Magnetilo,50,Metall,,Basis,Häufig,Kouki Saitou,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-88,88,Marill,60,Wasser,,Basis,Häufig,Atsuko Nishida,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-89,89,Meditie,50,Kampf,,Basis,Häufig,Masakazu Fukuda,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-90,90,Pantimimi,40,Psycho,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-91,91,Traunfugil,60,Psycho,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-92,92,Onix,90,Kampf,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-93,93,Plinfa,60,Wasser,,Basis,Häufig,Ken Sugimori,"normal, reverse, holo",Diamant & Perl,Diamant & Perl,130
dp1-94,94,Ponita,60,Feuer,,Basis,Häufig,Kagemaru Himeno,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-95,95,Rihorn,60,Kampf,,Basis,Häufig,Kagemaru Himeno,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-96,96,Roselia,70,Pflanze,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-97,97,Samurzel,50,Pflanze,,Basis,Häufig,Masakazu Fukuda,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-98,98,Sheinux,60,Elektro,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-99,99,Pionskora,60,Psycho,,Basis,Häufig,Kouki Saitou,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-100,100,Sniebel,60,Unlicht,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
dp1-101,101,Staralili,50,Farblos,,Basis,Häufig,Ken Sugimori,"normal, reverse",Diamant & Perl,Diamant & Perl,130
