id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp1-1,1,Dialga,90,Metal,,Basic,Rare Holo,Nakaoka,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-2,2,Dusknoir,120,Psychic,Dusclops,Stage2,Rare Holo,Takabon,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-3,3,Electivire,100,Lightning,Electabuzz,Stage1,Rare Holo,Nakaoka,"normal, reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-4,4,Empoleon,130,Water,Prinplup,Stage2,Rare Holo,Nakaoka,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-5,5,Infernape,100,Fire,Monferno,Stage2,Rare Holo,Nakaoka,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-6,6,Lucario,90,Fighting,Riolu,Stage1,Rare Holo,Ken Sugimori,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-7,7,Luxray,120,Lightning,Luxio,Stage2,Rare Holo,Mikiko Takeda,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-8,8,Magnezone,120,Metal,Magneton,Stage2,Rare Holo,Nakaoka,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-9,9,Manaphy,70,Water,,Basic,Rare Holo,Nakaoka,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-10,10,Mismagius,90,Psychic,Misdreavus,Stage1,Rare Holo,Mikiko Takeda,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-11,11,Palkia,90,Water,,Basic,Rare Holo,Nakaoka,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-12,12,Rhyperior,140,Fighting,Rhydon,Stage2,Rare Holo,Nakaoka,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-13,13,Roserade,90,Grass,Roselia,Stage1,Rare Holo,Nakaoka,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-14,14,Shiftry,120,Darkness,Nuzleaf,Stage2,Rare Holo,Masakazu Fukuda,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-15,15,Skuntank,90,Darkness,Stunky,Stage1,Rare Holo,Hiroaki Ito,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-16,16,Staraptor,100,Colorless,Staravia,Stage2,Rare Holo,Masahiko Ishii,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-17,17,Torterra,140,Grass,Grotle,Stage2,Rare Holo,Masahiko Ishii,"reverse, holo",Diamond & Pearl,Diamond & Pearl,130
dp1-18,18,Azumarill,80,Water,Marill,Stage1,Rare,Naoyo Kimura,"normal, reverse",Diamond & Pearl,Diamond & Pearl,130
dp1-19,19,Beautifly,100,Grass,Silcoon,Stage2,Rare,Atsuko Nishida,"normal, reverse",Diamond & Pearl,Diamond & Pearl,130
dp1-20,20,Bibarel,100,Colorless,Bidoof,Stage1,Rare,Ken Sugimori,"normal, reverse",Diamond & Pearl,Diamond & Pearl,130
dp1-21,21,Carnivine,70,Grass,,Basic,Rare,Kouki Saitou,"normal, reverse",Diamond & Pearl,Diamond & Pearl,130
dp1-22,22,Clefable,90,Colorless,Clefairy,Stage1,Rare,Ken Sugimori,"normal, reverse",Diamond & Pearl,Diamond & Pearl,130
dp1-23,23,Drapion,100,Psychic,Skorupi,Stage1,Rare,Kouki Saitou,"normal, reverse",Diamond & Pearl,Diamond & Pearl,130
dp1-24,24,Drifblim,80,Psychic,Drifloon,Stage1,Rare,Mitsuhiro Arita,"normal, reverse",Diamond & Pearl,Diamond & Pearl,130
dp1-25,25,Dustox,120,Grass,Cascoon,Stage2,Rare,Kouki Saitou,"normal, reverse",Diamond & Pearl,Diamond & Pearl,130
dp1-26,26,Floatzel,90,Water,Buizel,Stage1,Rare,Masahiko Ishii,"normal, reverse",Diamond & Pearl,Diamond & Pearl,130
