id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp1-1,1,Dialga,90,Métal,,De base,Rare Holo,Nakaoka,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-2,2,Noctunoir,120,Psy,Teraclope,Niveau 2,Rare Holo,Takabon,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-3,3,Elekable,100,Électrique,Elektek,Niveau 1,Rare Holo,Nakaoka,"normal, reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-4,4,Pingoléon,130,Eau,Prinplouf,Niveau 2,Rare Holo,Nakaoka,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-5,5,Simiabraz,100,Feu,Chimpenfeu,Niveau 2,Rare Holo,Nakaoka,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-6,6,Lucario,90,Combat,Riolu,Niveau 1,Rare Holo,Ken Sugimori,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-7,7,Luxray,120,Électrique,Luxio,Niveau 2,Rare Holo,Mikiko Takeda,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-8,8,Magnézone,120,Métal,Magneton,Niveau 2,Rare Holo,Nakaoka,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-9,9,Manaphy,70,Eau,,De base,Rare Holo,Nakaoka,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-10,10,Magirêve,90,Psy,Feuforêve,Niveau 1,Rare Holo,Mikiko Takeda,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-11,11,Palkia,90,Eau,,De base,Rare Holo,Nakaoka,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-12,12,Rhinastoc,140,Combat,Rhinoféros,Niveau 2,Rare Holo,Nakaoka,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-13,13,Roserade,90,Plante,Roselia,Niveau 1,Rare Holo,Nakaoka,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-14,14,Tengalice,120,Obscurité,Pifeuil,Niveau 2,Rare Holo,Masakazu Fukuda,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-15,15,Moufflair,90,Obscurité,Moufouette,Niveau 1,Rare Holo,Hiroaki Ito,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-16,16,Etouraptor,100,Incolore,Etourvol,Niveau 2,Rare Holo,Masahiko Ishii,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-17,17,Torterra,140,Plante,Boskara,Niveau 2,Rare Holo,Masahiko Ishii,"reverse, holo",Diamant & Perle,Diamant & Perle,130
dp1-18,18,Azumarill,80,Eau,Marill,Niveau 1,Rare,Naoyo Kimura,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-19,19,Charmillon,100,Plante,Armulys,Niveau 2,Rare,Atsuko Nishida,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-20,20,Castorno,100,Incolore,Keunotor,Niveau 1,Rare,Ken Sugimori,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-21,21,Vortente,70,Plante,,De base,Rare,Kouki Saitou,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-22,22,Melodelfe,90,Incolore,Melofée,Niveau 1,Rare,Ken Sugimori,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-23,23,Drascore,100,Psy,Drapion,Niveau 1,Rare,Kouki Saitou,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-24,24,Grodrive,80,Psy,Baudrive,Niveau 1,Rare,Mitsuhiro Arita,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-25,25,Papinox,120,Plante,Blindalys,Niveau 2,Rare,Kouki Saitou,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-26,26,Mustéflott,90,Eau,Mustébouée,Niveau 1,Rare,Masahiko Ishii,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-27,27,Ectoplasma,110,Psy,Spectrum,Niveau 2,Rare,Kagemaru Himeno,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-28,28,Scarhino,80,Plante,,De base,Rare,Ken Sugimori,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-29,29,Hippodocus,110,Combat,Hippopotas,Niveau 1,Rare,Kouki Saitou,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-30,30,Lockpin,80,Incolore,Laporeille,Niveau 1,Rare,Kagemaru Himeno,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-31,31,Mackogneur,130,Combat,Machopeur,Niveau 2,Rare,Kagemaru Himeno,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-32,32,Charmina,90,Combat,Meditikka,Niveau 1,Rare,Kouki Saitou,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-33,33,Goinfrex,60,Incolore,,De base,Rare,Ken Sugimori,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-34,34,Noarfang,90,Incolore,Hoothoot,Niveau 1,Rare,Atsuko Nishida,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-35,35,Pachirisu,70,Électrique,,De base,Rare,Ken Sugimori,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-36,36,Chaffreux,90,Incolore,Chaglam,Niveau 1,Rare,Masakazu Fukuda,"normal, reverse",Diamant & Perle,Diamant & Perle,130
dp1-37,37,Ronflex,100,Incolore,,De base,Rare,Ken Sugimori,"normal, reverse",Diamant & Perle,Diamant & Perle,130
