id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex15-1,1,Ampharos,120,Farblos,,Rang 2,Selten,Kagemaru Himeno,holo,EX Dragon Frontiers,EX,101
ex15-2,2,Impergator,120,Elektro,,Rang 2,Selten,Kouki Saitou,holo,EX Dragon Frontiers,EX,101
ex15-3,3,Skaraborn,70,Feuer,,Basis,Selten,Mitsuhiro Arita,holo,EX Dragon Frontiers,EX,101
ex15-4,4,Meganie,110,Kampf,,Rang 2,Selten,Sumiyoshi Kizuki,holo,EX Dragon Frontiers,EX,101
ex15-5,5,Milotic,90,Feuer,,Rang 1,Selten,Midori Harada,holo,EX Dragon Frontiers,EX,101
ex15-6,6,Nidoking,120,Unlicht,,Rang 2,Selten,Mitsuhiro Arita,holo,EX Dragon Frontiers,EX,101
ex15-7,7,Nidoqueen,100,Metall,,Rang 2,Selten,Kouki Saitou,holo,EX Dragon Frontiers,EX,101
ex15-8,8,Vulnona,70,Psycho,,Rang 1,Selten,Hajime Kusajima,holo,EX Dragon Frontiers,EX,101
ex15-9,9,Pinsir,60,Kampf,,Basis,Selten,Yukiko Baba,holo,EX Dragon Frontiers,EX,101
ex15-10,10,Relaxo,80,Pflanze,,Basis,Selten,Masakazu Fukuda,holo,EX Dragon Frontiers,EX,101
ex15-11,11,Togetic,60,Wasser,,Rang 1,Selten,Kouki Saitou,holo,EX Dragon Frontiers,EX,101
ex15-12,12,Tornupto,100,Psycho,,Rang 2,Selten,Hisao Nakamura,holo,EX Dragon Frontiers,EX,101
ex15-13,13,Arbok,80,Feuer,,Rang 1,Selten,Hisao Nakamura,normal,EX Dragon Frontiers,EX,101
ex15-14,14,Austos,70,Kampf,,Rang 1,Selten,Mitsuhiro Arita,normal,EX Dragon Frontiers,EX,101
ex15-15,15,Jugong,80,Farblos,,Rang 1,Selten,Atsuko Nishida,normal,EX Dragon Frontiers,EX,101
ex15-16,16,Skorgla,60,Elektro,,Basis,Selten,Kagemaru Himeno,normal,EX Dragon Frontiers,EX,101
ex15-17,17,Rossana,60,Feuer,,Basis,Selten,Ken Sugimori,normal,EX Dragon Frontiers,EX,101
ex15-18,18,Ledian,70,Metall,,Rang 1,Selten,Hajime Kusajima,normal,EX Dragon Frontiers,EX,101
ex15-19,19,Schlurp,60,Psycho,,Basis,Selten,Masakazu Fukuda,normal,EX Dragon Frontiers,EX,101
ex15-20,20,Mantax,50,Elektro,,Basis,Selten,Sumiyoshi Kizuki,normal,EX Dragon Frontiers,EX,101
ex15-21,21,Morlord,80,Pflanze,,Rang 1,Selten,Sachiko Adachi,normal,EX Dragon Frontiers,EX,101
ex15-22,22,Seemon,70,Kampf,,Rang 1,Selten,Sachiko Adachi,normal,EX Dragon Frontiers,EX,101
ex15-23,23,Tropius,70,Metall,,Basis,Selten,Mitsuhiro Arita,normal,EX Dragon Frontiers,EX,101
ex15-24,24,Vibrava,70,Psycho,,Rang 1,Selten,Tomokazu Komiya,normal,EX Dragon Frontiers,EX,101
ex15-25,25,Xatu,70,Unlicht,,Rang 1,Selten,Kouki Saitou,normal,EX Dragon Frontiers,EX,101
ex15-26,26,Lorblatt,70,Kampf,,Rang 1,Ungewöhnlich,Kagemaru Himeno,normal,EX Dragon Frontiers,EX,101
ex15-27,27,Tyracroc,70,Elektro,,Rang 1,Ungewöhnlich,Yuka Morii,normal,EX Dragon Frontiers,EX,101
ex15-28,28,Dragonir,70,Pflanze,,Rang 1,Ungewöhnlich,Kouki Saitou,normal,EX Dragon Frontiers,EX,101
ex15-29,29,Elektek,60,Kampf,,Basis,Ungewöhnlich,Ken Sugimori,normal,EX Dragon Frontiers,EX,101
ex15-30,30,Waaty,70,Farblos,,Rang 1,Ungewöhnlich,Yuka Morii,normal,EX Dragon Frontiers,EX,101
ex15-31,31,Seeper,40,Kampf,,Basis,Ungewöhnlich,Tomokazu Komiya,normal,EX Dragon Frontiers,EX,101
