id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex15-1,1,Ampharos δ,120,Colorless,Flaaffy,Stage2,Rare,Kagemaru Himeno,holo,Dragon Frontiers,EX,101
ex15-2,2,Feraligatr δ,120,Lightning,Croconaw,Stage2,Rare,Kouki Saitou,holo,Dragon Frontiers,EX,101
ex15-3,3,Heracross δ,70,Fire,,Basic,Rare,Mitsuhiro Arita,holo,Dragon Frontiers,EX,101
ex15-4,4,Meganium δ,110,Fighting,Bayleef,Stage2,Rare,Sumiyoshi Kizuki,holo,Dragon Frontiers,EX,101
ex15-5,5,Milotic δ,90,Fire,Feebas,Stage1,Rare,Midori Harada,holo,Dragon Frontiers,EX,101
ex15-6,6,Nidoking δ,120,Darkness,Nidorino,Stage2,Rare,Mitsuhiro Arita,holo,Dragon Frontiers,EX,101
ex15-7,7,Nidoqueen δ,100,Metal,Nidorina,Stage2,Rare,Kouki Saitou,holo,Dragon Frontiers,EX,101
ex15-8,8,Ninetales δ,70,Psychic,Vulpix,Stage1,Rare,Hajime Kusajima,holo,Dragon Frontiers,EX,101
ex15-9,9,Pinsir δ,60,Fighting,,Basic,Rare,Yukiko Baba,holo,Dragon Frontiers,EX,101
ex15-10,10,Snorlax δ,80,Grass,,Basic,Rare,Masakazu Fukuda,holo,Dragon Frontiers,EX,101
ex15-11,11,Togetic δ,60,Water,Togepi,Stage1,Rare,Kouki Saitou,holo,Dragon Frontiers,EX,101
ex15-12,12,Typhlosion δ,100,Psychic,Quilava,Stage2,Rare,Hisao Nakamura,holo,Dragon Frontiers,EX,101
ex15-13,13,Arbok δ,80,Fire,Ekans,Stage1,Rare,Hisao Nakamura,normal,Dragon Frontiers,EX,101
ex15-14,14,Cloyster δ,70,Fighting,Shellder,Stage1,Rare,Mitsuhiro Arita,normal,Dragon Frontiers,EX,101
ex15-15,15,Dewgong δ,80,Colorless,Seel,Stage1,Rare,Atsuko Nishida,normal,Dragon Frontiers,EX,101
ex15-16,16,Gligar δ,60,Lightning,,Basic,Rare,Kagemaru Himeno,normal,Dragon Frontiers,EX,101
ex15-17,17,Jynx δ,60,Fire,,Basic,Rare,Ken Sugimori,normal,Dragon Frontiers,EX,101
ex15-18,18,Ledian δ,70,Metal,Ledyba,Stage1,Rare,Hajime Kusajima,normal,Dragon Frontiers,EX,101
ex15-19,19,Lickitung δ,60,Psychic,,Basic,Rare,Masakazu Fukuda,normal,Dragon Frontiers,EX,101
ex15-20,20,Mantine δ,50,Lightning,,Basic,Rare,Sumiyoshi Kizuki,normal,Dragon Frontiers,EX,101
ex15-21,21,Quagsire δ,80,Grass,Wooper,Stage1,Rare,Sachiko Adachi,normal,Dragon Frontiers,EX,101
ex15-22,22,Seadra δ,70,Fighting,Horsea,Stage1,Rare,Sachiko Adachi,normal,Dragon Frontiers,EX,101
ex15-23,23,Tropius δ,70,Metal,,Basic,Rare,Mitsuhiro Arita,normal,Dragon Frontiers,EX,101
