id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm7.5-1,1,Glumanda,70,Feuer,,Basis,Häufig,tetsuya koizumi,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
sm7.5-2,2,Glutexo,80,Feuer,,Rang 1,Ungewöhnlich,kodama,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
sm7.5-3,3,Glurak,160,Feuer,,Rang 2,Selten,Ryota Murayama,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
sm7.5-4,4,Flemmli,60,Feuer,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
sm7.5-5,5,Jungglut,80,Feuer,,Rang 1,Ungewöhnlich,Ken Sugimori,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
sm7.5-6,6,Lohgock,150,Feuer,,Rang 2,Selten,Kouki Saitou,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
sm7.5-7,7,Victini ◇,90,Feuer,,Basis,Selten,Shin Nagasawa,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
sm7.5-8,8,Flampion,70,Feuer,,Basis,Häufig,Mitsuhiro Arita,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
sm7.5-9,9,Flampivian,130,Feuer,,Rang 1,Ungewöhnlich,Masakazu Fukuda,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
sm7.5-10,10,Furnifraß,110,Feuer,,Basis,Ungewöhnlich,Ken Sugimori,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
sm7.5-11,11,Reshiram GX,180,Feuer,,,Ultra Selten,PLANETA Otani,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
sm7.5-12,12,Flamiau,60,Feuer,,Basis,Häufig,Ryota Murayama,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
sm7.5-13,13,Molunk,60,Feuer,,Basis,Häufig,MAHOU,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
sm7.5-14,14,Amfira,110,Feuer,,Rang 1,Ungewöhnlich,Naoki Saito,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
sm7.5-15,15,Seeper,40,Wasser,,Basis,Häufig,Yukiko Baba,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
sm7.5-16,16,Seeper,50,Wasser,,Basis,Häufig,Mizue,"normal, reverse, holo",Majestät Der Drachen,Sonne & Mond,78
