id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm7.5-1,1,Salamèche,70,Feu,,De base,Commune,tetsuya koizumi,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-2,2,Reptincel,80,Feu,Salamèche,Niveau 1,Peu Commune,kodama,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-3,3,Dracaufeu,160,Feu,Reptincel,Niveau 2,Rare,Ryota Murayama,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-4,4,Poussifeu,60,Feu,,De base,Commune,Kouki Saitou,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-5,5,Galifeu,80,Feu,Poussifeu,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-6,6,Braségali,150,Feu,Galifeu,Niveau 2,Rare,Kouki Saitou,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-7,7,Victini ◇,90,Feu,,De base,Rare,Shin Nagasawa,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-8,8,Darumarond,70,Feu,,De base,Commune,Mitsuhiro Arita,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-9,9,Darumacho,130,Feu,Darumarond,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-10,10,Aflamanoir,110,Feu,,De base,Peu Commune,Ken Sugimori,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-11,11,Reshiram GX,180,Feu,,,Ultra Rare,PLANETA Otani,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-12,12,Flamiaou,60,Feu,,De base,Commune,Ryota Murayama,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-13,13,Tritox,60,Feu,,De base,Commune,MAHOU,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-14,14,Malamandre,110,Feu,Tritox,Niveau 1,Peu Commune,Naoki Saito,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-15,15,Hypotrempe,40,Eau,,De base,Commune,Yukiko Baba,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-16,16,Hypotrempe,50,Eau,,De base,Commune,Mizue,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-17,17,Hypocéan,90,Eau,Hypotrempe,Niveau 1,Peu Commune,Yumi,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-18,18,Hyporoi GX,230,Eau,Hypocéan,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-19,19,Magicarpe,30,Eau,,De base,Commune,Sekio,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-20,20,Léviator,160,Eau,Magicarpe,Niveau 1,Rare,kawayoo,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-21,21,Lokhlass,120,Eau,,De base,Peu Commune,Saya Tsuruta,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-22,22,Kaiminus,60,Eau,,De base,Commune,Hironobu Yoshida,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-23,23,Crocrodil,90,Eau,Kaiminus,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-24,24,Aligatueur,160,Eau,Crocrodil,Niveau 2,Rare,Ken Sugimori,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-25,25,Axoloto,70,Eau,,De base,Commune,Shibuzoh.,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-26,26,Maraiste,120,Eau,Axoloto,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-27,27,Corayon,90,Eau,,De base,Commune,Kagemaru Himeno,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-28,28,Barpau,30,Eau,,De base,Commune,Shin Nagasawa,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-29,29,Milobellus,120,Eau,Barpau,Niveau 1,Peu Commune,hatachu,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-30,30,Phione,70,Eau,,De base,Peu Commune,kawayoo,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-31,31,Froussardine,30,Eau,,De base,Commune,Kouki Saitou,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-32,32,Kraknoix,60,Combat,,De base,Commune,Naoyo Kimura,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-33,33,Trioxhydre,160,Obscurité,Diamat,Niveau 2,Rare,Masakazu Fukuda,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
sm7.5-34,34,Minidraco,60,Dragon,,De base,Commune,Ayaka Yoshida,"normal, reverse, holo",Majesté Des Dragons,Soleil et Lune,78
