id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dv1-1,1,Dratini,40,Dragon,,Basic,Rare,Masakazu Fukuda,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-2,2,Dratini,40,Dragon,,Basic,Rare,Naoki Saito,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-3,3,Dragonair,70,Dragon,Dratini,Stage1,Rare,Hajime Kusajima,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-4,4,Dragonair,70,Dragon,Dratini,Stage1,Rare,Kagemaru Himeno,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-5,5,Dragonite,150,Dragon,Dragonair,Stage2,Rare,Mitsuhiro Arita,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-6,6,Bagon,50,Dragon,,Basic,Rare,Kouki Saitou,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-7,7,Shelgon,80,Dragon,Bagon,Stage1,Rare,Akira Komayama,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-8,8,Salamence,140,Dragon,Shelgon,Stage2,Rare,BERUBURI,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-9,9,Latias,100,Dragon,,Basic,Rare,Hideaki Hakozaki,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-10,10,Latios,100,Dragon,,Basic,Rare,Ryo Ueda,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-11,11,Rayquaza,120,Dragon,,Basic,Rare,5ban Graphics,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-12,12,Axew,40,Dragon,,Basic,Rare,Mizue,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-13,13,Axew,50,Dragon,,Basic,Rare,TOKIYA,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-14,14,Fraxure,70,Dragon,Axew,Stage1,Rare,Shin Nagasawa,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-15,15,Fraxure,80,Dragon,Axew,Stage1,Rare,match,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-16,16,Haxorus,140,Dragon,Fraxure,Stage2,Rare,Eske Yoshinob,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-17,17,Druddigon,110,Dragon,,Basic,Rare,kawayoo,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-18,18,Exp. Share,,,,,Rare,Ryo Ueda,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-19,19,First Ticket,,,,,Rare,5ban Graphics,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-20,20,Super Rod,,,,,Rare,5ban Graphics,"normal, reverse, holo",Dragon Vault,Black & White,21
dv1-21,21,Kyurem,130,Dragon,,Basic,Common,Ryo Ueda,"normal, reverse, holo",Dragon Vault,Black & White,21
