id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex3-1,1,Absol,70,Unlicht,,Basis,Selten,Naoyo Kimura,"normal, reverse, holo",EX Drache,EX,100
ex3-2,2,Altaria,80,Farblos,,Rang 1,Selten,Atsuko Nishida,"normal, reverse, holo",EX Drache,EX,100
ex3-3,3,Krebutack,80,Wasser,,Rang 1,Selten,Hisao Nakamura,"normal, reverse, holo",EX Drache,EX,100
ex3-4,4,Libelldra,120,Farblos,,Rang 2,Selten,Mitsuhiro Arita,"normal, reverse, holo",EX Drache,EX,100
ex3-5,5,Geowaz,120,Kampf,,Rang 2,Selten,Hisao Nakamura,"normal, reverse, holo",EX Drache,EX,100
ex3-6,6,Groink,80,Psycho,,Rang 1,Selten,Midori Harada,"normal, reverse, holo",EX Drache,EX,100
ex3-7,7,Minun,50,Elektro,,Basis,Selten,Atsuko Nishida,"normal, reverse, holo",EX Drache,EX,100
ex3-8,8,Plusle,50,Elektro,,Basis,Selten,Atsuko Nishida,"normal, reverse, holo",EX Drache,EX,100
ex3-9,9,Roselia,60,Pflanze,,Basis,Selten,Atsuko Nishida,"normal, reverse, holo",EX Drache,EX,100
ex3-10,10,Brutalanda,120,Farblos,,Rang 2,Selten,Mitsuhiro Arita,"normal, reverse, holo",EX Drache,EX,100
ex3-11,11,Ninjatom,30,Pflanze,,Rang 1,Selten,Kagemaru Himeno,"normal, reverse, holo",EX Drache,EX,100
ex3-12,12,Qurtel,80,Feuer,,Basis,Selten,Kagemaru Himeno,"normal, reverse, holo",EX Drache,EX,100
ex3-13,13,Krebutack,80,Wasser,,Rang 1,Selten,Kagemaru Himeno,"normal, reverse, holo",EX Drache,EX,100
ex3-14,14,Dragonir,70,Farblos,,Rang 1,Selten,Aya Kusube,"normal, reverse, holo",EX Drache,EX,100
ex3-15,15,Libelldra,100,Farblos,,Rang 2,Selten,Hajime Kusajima,"normal, reverse, holo",EX Drache,EX,100
ex3-16,16,Girafarig,70,Psycho,,Basis,Selten,Midori Harada,"normal, reverse, holo",EX Drache,EX,100
ex3-17,17,Magneton,70,Elektro,,Rang 1,Selten,Midori Harada,"normal, reverse, holo",EX Drache,EX,100
ex3-18,18,Ninjask,70,Pflanze,,Rang 1,Selten,Hajime Kusajima,"normal, reverse, holo",EX Drache,EX,100
ex3-19,19,Brutalanda,100,Farblos,,Rang 2,Selten,Kouki Saitou,"normal, reverse, holo",EX Drache,EX,100
ex3-20,20,Draschel,80,Farblos,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse, holo",EX Drache,EX,100
ex3-21,21,Panzaeron,70,Metall,,Basis,Selten,Hisao Nakamura,"normal, reverse, holo",EX Drache,EX,100
ex3-22,22,Vibrava,80,Farblos,,Rang 1,Selten,Kagemaru Himeno,"normal, reverse, holo",EX Drache,EX,100
ex3-23,23,Kindwurm,50,Farblos,,Basis,Ungewöhnlich,Mitsuhiro Arita,"normal, reverse, holo",EX Drache,EX,100
ex3-24,24,Camerupt,80,Feuer,,Rang 1,Ungewöhnlich,Naoyo Kimura,"normal, reverse, holo",EX Drache,EX,100
ex3-25,25,Jungglut,70,Feuer,,Rang 1,Ungewöhnlich,Atsuko Nishida,"normal, reverse, holo",EX Drache,EX,100
ex3-26,26,Dratini,50,Farblos,,Basis,Ungewöhnlich,Aya Kusube,"normal, reverse, holo",EX Drache,EX,100
ex3-27,27,Waaty,80,Elektro,,Rang 1,Ungewöhnlich,Miki Tanaka,"normal, reverse, holo",EX Drache,EX,100
ex3-28,28,Forstellka,80,Metall,,Rang 1,Ungewöhnlich,Mitsuhiro Arita,"normal, reverse, holo",EX Drache,EX,100
ex3-29,29,Georok,80,Kampf,,Rang 1,Ungewöhnlich,Hisao Nakamura,"normal, reverse, holo",EX Drache,EX,100
ex3-30,30,Georok,80,Kampf,,Rang 1,Ungewöhnlich,Midori Harada,"normal, reverse, holo",EX Drache,EX,100
ex3-31,31,Reptain,70,Pflanze,,Rang 1,Ungewöhnlich,Atsuko Nishida,"normal, reverse, holo",EX Drache,EX,100
ex3-32,32,Garados,100,Wasser,,Rang 1,Ungewöhnlich,Kouki Saitou,"normal, reverse, holo",EX Drache,EX,100
ex3-33,33,Seeper,40,Wasser,,Basis,Ungewöhnlich,Hajime Kusajima,"normal, reverse, holo",EX Drache,EX,100
ex3-34,34,Hundemon,70,Unlicht,,Rang 1,Ungewöhnlich,Atsuko Nishida,"normal, reverse, holo",EX Drache,EX,100
ex3-35,35,Magneton,80,Elektro,,Rang 1,Ungewöhnlich,Kyoko Umemoto,"normal, reverse, holo",EX Drache,EX,100
ex3-36,36,Moorabbel,80,Wasser,,Rang 1,Ungewöhnlich,Atsuko Nishida,"normal, reverse, holo",EX Drache,EX,100
ex3-37,37,Meditie,50,Kampf,,Basis,Ungewöhnlich,Kouki Saitou,"normal, reverse, holo",EX Drache,EX,100
ex3-38,38,Ninjask,70,Pflanze,,Rang 1,Ungewöhnlich,Toshinao Aoki,"normal, reverse, holo",EX Drache,EX,100
ex3-39,39,Seemon,70,Wasser,,Rang 1,Ungewöhnlich,Hajime Kusajima,"normal, reverse, holo",EX Drache,EX,100
ex3-40,40,Seemon,70,Wasser,,Rang 1,Ungewöhnlich,Midori Harada,"normal, reverse, holo",EX Drache,EX,100
ex3-41,41,Draschel,70,Farblos,,Rang 1,Ungewöhnlich,Yuka Morii,"normal, reverse, holo",EX Drache,EX,100
ex3-42,42,Draschel,70,Farblos,,Rang 1,Ungewöhnlich,Ken Sugimori,"normal, reverse, holo",EX Drache,EX,100
ex3-43,43,Shuppet,50,Psycho,,Basis,Ungewöhnlich,Aya Kusube,"normal, reverse, holo",EX Drache,EX,100
ex3-44,44,Schneppke,50,Wasser,,Basis,Ungewöhnlich,Sumiyoshi Kizuki,"normal, reverse, holo",EX Drache,EX,100
ex3-45,45,Schwalboss,70,Farblos,,Rang 1,Ungewöhnlich,Mitsuhiro Arita,"normal, reverse, holo",EX Drache,EX,100
ex3-46,46,Vibrava,70,Farblos,,Rang 1,Ungewöhnlich,Hajime Kusajima,"normal, reverse, holo",EX Drache,EX,100
