id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex3-1,1,Absol,70,Darkness,,Basic,Rare,Naoyo Kimura,"normal, reverse, holo",Dragon,EX,100
ex3-2,2,Altaria,80,Colorless,Swablu,Stage1,Rare,Atsuko Nishida,"normal, reverse, holo",Dragon,EX,100
ex3-3,3,Crawdaunt,80,Water,Corphish,Stage1,Rare,Hisao Nakamura,"normal, reverse, holo",Dragon,EX,100
ex3-4,4,Flygon,120,Colorless,Vibrava,Stage2,Rare,Mitsuhiro Arita,"normal, reverse, holo",Dragon,EX,100
ex3-5,5,Golem,120,Fighting,Graveler,Stage2,Rare,Hisao Nakamura,"normal, reverse, holo",Dragon,EX,100
ex3-6,6,Grumpig,80,Psychic,Spoink,Stage1,Rare,Midori Harada,"normal, reverse, holo",Dragon,EX,100
ex3-7,7,Minun,50,Lightning,,Basic,Rare,Atsuko Nishida,"normal, reverse, holo",Dragon,EX,100
ex3-8,8,Plusle,50,Lightning,,Basic,Rare,Atsuko Nishida,"normal, reverse, holo",Dragon,EX,100
ex3-9,9,Roselia,60,Grass,,Basic,Rare,Atsuko Nishida,"normal, reverse, holo",Dragon,EX,100
ex3-10,10,Salamence,120,Colorless,Shelgon,Stage2,Rare,Mitsuhiro Arita,"normal, reverse, holo",Dragon,EX,100
ex3-11,11,Shedinja,30,Grass,Nincada,Stage1,Rare,Kagemaru Himeno,"normal, reverse, holo",Dragon,EX,100
ex3-12,12,Torkoal,80,Fire,,Basic,Rare,Kagemaru Himeno,"normal, reverse, holo",Dragon,EX,100
ex3-13,13,Crawdaunt,80,Water,Corphish,Stage1,Rare,Kagemaru Himeno,"normal, reverse, holo",Dragon,EX,100
ex3-14,14,Dragonair,70,Colorless,Dratini,Stage1,Rare,Aya Kusube,"normal, reverse, holo",Dragon,EX,100
ex3-15,15,Flygon,100,Colorless,Vibrava,Stage2,Rare,Hajime Kusajima,"normal, reverse, holo",Dragon,EX,100
ex3-16,16,Girafarig,70,Psychic,,Basic,Rare,Midori Harada,"normal, reverse, holo",Dragon,EX,100
