id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw6-1,1,Granivol,30,Plante,,De base,Commune,Kouki Saitou,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-2,2,Floravol,60,Plante,Granivol,Niveau 1,Peu Commune,Suwama Chiaki,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-3,3,Cotovol,90,Plante,Floravol,Niveau 2,Rare,Kagemaru Himeno,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-4,4,Yanma,70,Plante,,De base,Commune,Yukiko Baba,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-5,5,Yanmega,100,Plante,Yanma,Niveau 1,Rare,Naoki Saito,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-6,6,Chenipotte,60,Plante,,De base,Commune,Kouki Saitou,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-7,7,Armulys,80,Plante,Chenipotte,Niveau 1,Peu Commune,Naoki Saito,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-8,8,Charmillon,120,Plante,Armulys,Niveau 2,Rare,Akira Komayama,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-9,9,Blindalys,80,Plante,Chenipotte,Niveau 1,Peu Commune,match,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-10,10,Ningale,40,Plante,,De base,Commune,MAHOU,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-11,11,Ninjask,60,Plante,Ningale,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-12,12,Rosélia,70,Plante,,De base,Peu Commune,Suwama Chiaki,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-13,13,Rosélia,70,Plante,,De base,Commune,Shin Nagasawa,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-14,14,Roserade,90,Plante,Rosélia,Niveau 1,Peu Commune,Kyoko Umemoto,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-15,15,Roserade,90,Plante,Rosélia,Niveau 1,Rare,Shin Nagasawa,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-16,16,Maracachi,90,Plante,,De base,Peu Commune,sui,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-17,17,Trompignon,40,Plante,,De base,Commune,Shin Nagasawa,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-18,18,Goupix,60,Feu,,De base,Commune,MAHOU,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-19,19,Feunard,90,Feu,Goupix,Niveau 1,Rare,Hideaki Hakozaki,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-20,20,Magmar,80,Feu,,De base,Commune,Kagemaru Himeno,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-21,21,Maganon,120,Feu,Magmar,Niveau 1,Rare,Akira Komayama,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-22,22,Ho-Oh-EX,160,Feu,,,Rare,Eske Yoshinob,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-23,23,Magicarpe,30,Eau,,De base,Commune,Mizue,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-24,24,Léviator,130,Eau,Magicarpe,Niveau 1,Rare,Mizue,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-25,25,Wailmer,100,Eau,,De base,Peu Commune,Atsuko Nishida,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-26,26,Wailord,200,Eau,Wailmer,Niveau 1,Rare,match,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-27,27,Barpau,30,Eau,,De base,Commune,Kouki Saitou,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-28,28,Milobellus,110,Eau,Barpau,Niveau 1,Rare,Mizue,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-29,29,Obalie,60,Eau,,De base,Commune,Mitsuhiro Arita,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-30,30,Phogleur,80,Eau,Obalie,Niveau 1,Peu Commune,Mizue,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-31,31,Kaimorse,140,Eau,Phogleur,Niveau 2,Rare,Kouki Saitou,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-32,32,Mustébouée,70,Eau,,De base,Commune,Kyoko Umemoto,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-33,33,Mustéflott,90,Eau,Mustébouée,Niveau 1,Peu Commune,Naoki Saito,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-34,34,Tritonde,50,Eau,,De base,Commune,Midori Harada,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-35,35,Batracné,80,Eau,Tritonde,Niveau 1,Peu Commune,Miki Tanaka,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-36,36,Crapustule,140,Eau,Batracné,Niveau 2,Rare,kawayoo,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-37,37,Mamanbo,90,Eau,,De base,Rare,Miki Tanaka,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-38,38,Wattouat,60,Électrique,,De base,Commune,sui,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-39,39,Lainergie,80,Électrique,Wattouat,Niveau 1,Peu Commune,Atsuko Nishida,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-40,40,Pharamp,140,Électrique,Lainergie,Niveau 2,Rare,Hajime Kusajima,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-41,41,Dynavolt,60,Électrique,,De base,Commune,kawayoo,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-42,42,Dynavolt,60,Électrique,,De base,Commune,Masakazu Fukuda,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-43,43,Élecsprint,90,Électrique,Dynavolt,Niveau 1,Rare,Naoyo Kimura,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-44,44,Élecsprint,90,Électrique,Dynavolt,Niveau 1,Rare,Masakazu Fukuda,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-45,45,Emolga,70,Électrique,,De base,Peu Commune,Kanako Eo,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-46,46,Mew-EX,120,Psy,,,Rare,Eske Yoshinob,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
bw6-47,47,Papinox,130,Psy,Blindalys,Niveau 2,Rare,Kagemaru Himeno,"normal, reverse, holo",Dragons Éxaltés,Noir & Blanc,128
