id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
A3b-001,001,Tropius,100,Grass,,Basic,Two Diamond,Oswaldo KATO,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-002,002,Leafeon,90,Grass,Eevee,Stage1,Three Diamond,chibi,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-003,003,Bounsweet,60,Grass,,Basic,One Diamond,Yuka Morii,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-004,004,Steenee,80,Grass,Bounsweet,Stage1,One Diamond,Tomokazu Komiya,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-005,005,Tsareena,140,Grass,Steenee,Stage2,Two Diamond,Naoki Saito,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-006,006,Applin,40,Grass,,Basic,One Diamond,Kagemaru Himeno,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-007,007,Appletun,90,Grass,Applin,Stage1,Two Diamond,Akira Komayama,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-008,008,Flareon,110,Fire,Eevee,Stage1,Three Diamond,Eri Yamaki,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-009,009,Flareon ex,150,Fire,Eevee,Stage1,Four Diamond,PLANETA CG Works,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-010,010,Torkoal,100,Fire,,Basic,One Diamond,sui,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-011,011,Litten,70,Fire,,Basic,One Diamond,0313,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-012,012,Torracat,80,Fire,Litten,Stage1,One Diamond,Shin Nagasawa,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-013,013,Incineroar,150,Fire,Torracat,Stage2,Two Diamond,Hitoshi Ariga,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-014,014,Salandit,60,Fire,,Basic,One Diamond,tetsuya koizumi,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-015,015,Salazzle,90,Fire,Salandit,Stage1,Two Diamond,Shibuzoh.,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-016,016,Vaporeon,120,Water,Eevee,Stage1,Three Diamond,sui,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-017,017,Glaceon,100,Water,Eevee,Stage1,Three Diamond,Mizue,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-018,018,Vanillite,60,Water,,Basic,One Diamond,MAHOU,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-019,019,Vanillish,80,Water,Vanillite,Stage1,One Diamond,Shin Nagasawa,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-020,020,Vanilluxe,140,Water,Vanillish,Stage2,Two Diamond,Ayaka Yoshida,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-021,021,Alomomola,110,Water,,Basic,One Diamond,Miki Tanaka,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-022,022,Popplio,70,Water,,Basic,One Diamond,match,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-023,023,Brionne,90,Water,Popplio,Stage1,One Diamond,Atsuko Nishida,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-024,024,Primarina ex,180,Water,Brionne,Stage2,Four Diamond,PLANETA CG Works,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-025,025,Jolteon,90,Lightning,Eevee,Stage1,Three Diamond,Sanosuke Sakuma,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-026,026,Joltik,40,Lightning,,Basic,One Diamond,Kouki Saitou,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-027,027,Galvantula,80,Lightning,Joltik,Stage1,Two Diamond,otumami,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
A3b-028,028,Espeon,100,Psychic,Eevee,Stage1,Three Diamond,Ryota Murayama,"normal, reverse, holo",Eevee Grove,Pokémon TCG Pocket,107
