id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw2-1,1,Feuillajou,70,Plante,,De base,Commune,Kouki Saitou,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-2,2,Feuiloutan,90,Plante,Feuillajou,Niveau 1,Rare,match,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-3,3,Larveyette,40,Plante,,De base,Commune,Kagemaru Himeno,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-4,4,Larveyette,50,Plante,,De base,Commune,Naoki Saito,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-5,5,Couverdure,80,Plante,Larveyette,Niveau 1,Peu Commune,Naoki Saito,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-6,6,Couverdure,70,Plante,Larveyette,Niveau 1,Peu Commune,MAHOU,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-7,7,Manternel,130,Plante,Couverdure,Niveau 2,Rare,Kouki Saitou,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-8,8,Manternel,130,Plante,Couverdure,Niveau 2,Rare,Masakazu Fukuda,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-9,9,Doudouvet,40,Plante,,De base,Commune,Atsuko Nishida,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-10,10,Doudouvet,50,Plante,,De base,Commune,Kagemaru Himeno,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-11,11,Farfaduvet,80,Plante,Doudouvet,Niveau 1,Peu Commune,sui,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-12,12,Farfaduvet,80,Plante,Doudouvet,Niveau 1,Rare,Mizue,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-13,13,Chlorobule,50,Plante,,De base,Commune,Sumiyoshi Kizuki,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-14,14,Fragilady,90,Plante,Chlorobule,Niveau 1,Peu Commune,Shin Nagasawa,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-15,15,Vivaldaim,60,Plante,,De base,Commune,sui,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-16,16,Haydaim,100,Plante,Vivaldaim,Niveau 1,Rare,Kagemaru Himeno,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-17,17,Viridium,100,Plante,,De base,Rare,5ban Graphics,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-18,18,Flamajou,70,Feu,,De base,Commune,Masakazu Fukuda,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-19,19,Flamoutan,90,Feu,Flamajou,Niveau 1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-20,20,Darumarond,70,Feu,,De base,Commune,Mitsuhiro Arita,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-21,21,Darumacho,100,Feu,Darumarond,Niveau 1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-22,22,Flotajou,70,Eau,,De base,Commune,Kagemaru Himeno,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-23,23,Flotoutan,90,Eau,Flotajou,Niveau 1,Rare,Sumiyoshi Kizuki,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-24,24,Bargantua,80,Eau,,De base,Commune,match,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-25,25,Bargantua,80,Eau,,De base,Peu Commune,Akira Komayama,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-26,26,Couaneton,60,Eau,,De base,Commune,MAHOU,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-27,27,Lakmécygne,90,Eau,Couaneton,Niveau 1,Rare,Atsuko Nishida,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-28,28,Polarhume,70,Eau,,De base,Commune,sui,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-29,29,Polarhume,70,Eau,,De base,Commune,Kanako Eo,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
bw2-30,30,Polagriffe,130,Eau,Polarhume,Niveau 1,Rare,Kouki Saitou,"normal, reverse, holo",Pouvoirs Émergents,Noir & Blanc,98
