id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh7-1,1,Pinsir,120,Pflanze,,Basis,Selten,Shin Nagasawa,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-2,2,Hoppspross,40,Pflanze,,Basis,Häufig,Kagemaru Himeno,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-3,3,Hubelupf,60,Pflanze,Hoppspross,Rang 1,Ungewöhnlich,kirisAki,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-4,4,Papungha,90,Pflanze,Hubelupf,Rang 2,Holografisch Selten,Tika Matsuno,"reverse, holo",Drachenwandel,Schwert & Schild,237
swsh7-5,5,Samurzel,50,Pflanze,,Basis,Häufig,otumami,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-6,6,Tropius,110,Pflanze,,Basis,Selten,Oswaldo KATO,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-7,7,Folipurba V,200,Pflanze,,Basis,Holografisch Selten V,5ban Graphics,holo,Drachenwandel,Schwert & Schild,237
swsh7-8,8,Folipurba VMAX,310,Pflanze,Folipurba-V,VMAX,Holografisch Selten VMAX,PLANETA Tsuji,holo,Drachenwandel,Schwert & Schild,237
swsh7-9,9,Lilminip,60,Pflanze,,Basis,Häufig,Mika Pikazo,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-10,10,Dressella,100,Pflanze,Lilminip,Rang 1,Selten,Kagemaru Himeno,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-11,11,Lithomith,60,Pflanze,,Basis,Häufig,Shigenori Negishi,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-12,12,Castellith,130,Pflanze,Lithomith,Rang 1,Ungewöhnlich,sowsow,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-13,13,Trombork V,210,Pflanze,,Basis,Holografisch Selten V,MUGENUP,holo,Drachenwandel,Schwert & Schild,237
swsh7-14,14,Trombork VMAX,320,Pflanze,Trombork-V,VMAX,Holografisch Selten VMAX,MUGENUP,holo,Drachenwandel,Schwert & Schild,237
swsh7-15,15,Cottini,50,Pflanze,,Basis,Häufig,Mizue,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-16,16,Cottomi,80,Pflanze,Cottini,Rang 1,Holografisch Selten,Kouki Saitou,"reverse, holo",Drachenwandel,Schwert & Schild,237
swsh7-17,17,Knapfel,40,Pflanze,,Basis,Häufig,Miki Tanaka,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-18,18,Flamara VMAX,320,Feuer,Flamara-V,VMAX,Holografisch Selten VMAX,5ban Graphics,holo,Drachenwandel,Schwert & Schild,237
swsh7-19,19,Entei,120,Feuer,,Basis,Holografisch Selten,NC Empire,"reverse, holo",Drachenwandel,Schwert & Schild,237
swsh7-20,20,Victini,60,Feuer,,Basis,Holografisch Selten,Teeziro,"reverse, holo",Drachenwandel,Schwert & Schild,237
swsh7-21,21,Ramoth V,210,Feuer,,Basis,Holografisch Selten V,kawayoo,holo,Drachenwandel,Schwert & Schild,237
swsh7-22,22,Leufeo,60,Feuer,,Basis,Häufig,Misa Tsutsui,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-23,23,Pyroleo,130,Feuer,Leufeo,Rang 1,Ungewöhnlich,Hitoshi Ariga,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-24,24,Enton,70,Wasser,,Basis,Häufig,OKACHEKE,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-25,25,Entoron,120,Wasser,Enton,Rang 1,Ungewöhnlich,Kyoko Umemoto,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-26,26,Tentacha,60,Wasser,,Basis,Häufig,SATOSHI NAKAI,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-27,27,Tentoxa,120,Wasser,Tentacha,Rang 1,Ungewöhnlich,Mina Nakai,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-28,28,Garados V,220,Wasser,,Basis,Holografisch Selten V,PLANETA Tsuji,holo,Drachenwandel,Schwert & Schild,237
swsh7-29,29,Garados VMAX,330,Wasser,Garados-V,VMAX,Holografisch Selten VMAX,Shin Nagasawa,holo,Drachenwandel,Schwert & Schild,237
swsh7-30,30,Aquana VMAX,320,Wasser,Aquana-V,VMAX,Holografisch Selten VMAX,5ban Graphics,holo,Drachenwandel,Schwert & Schild,237
swsh7-31,31,Suicune V,210,Wasser,,Basis,Holografisch Selten V,Ayaka Yoshida,holo,Drachenwandel,Schwert & Schild,237
swsh7-32,32,Loturzel,60,Wasser,,Basis,Häufig,Teeziro,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-33,33,Lombrero,90,Wasser,Loturzel,Rang 1,Ungewöhnlich,miki kudo,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-34,34,Kappalores,140,Wasser,Lombrero,Rang 2,Holografisch Selten,sowsow,"reverse, holo",Drachenwandel,Schwert & Schild,237
swsh7-35,35,Kanivanha,50,Wasser,,Basis,Häufig,Kyoko Umemoto,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-36,36,Tohaido,120,Wasser,Kanivanha,Rang 1,Selten,Kazuma Koda,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-37,37,Barschwa,30,Wasser,,Basis,Häufig,tetsuya koizumi,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-38,38,Milotic,120,Wasser,Barschwa,Rang 1,Selten,sui,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-39,39,Liebiskus,70,Wasser,,Basis,Häufig,Mizue,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-40,40,Glaziola V,210,Wasser,,Basis,Holografisch Selten V,5ban Graphics,holo,Drachenwandel,Schwert & Schild,237
swsh7-41,41,Glaziola VMAX,310,Wasser,Glaziola-V,VMAX,Holografisch Selten VMAX,PLANETA Tsuji,holo,Drachenwandel,Schwert & Schild,237
swsh7-42,42,Schallquap,70,Wasser,,Basis,Häufig,Mina Nakai,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-43,43,Frigometri,90,Wasser,,Basis,Häufig,Kagemaru Himeno,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-44,44,Arktip,70,Wasser,,Basis,Häufig,kirisAki,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-45,45,Arktilas,150,Wasser,Arktip,Rang 1,Ungewöhnlich,Kouki Saitou,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-46,46,Lusardin,30,Wasser,,Basis,Selten,Teeziro,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-47,47,Kubuin,120,Wasser,,Basis,Ungewöhnlich,Mizue,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-48,48,Pescryodon V,220,Wasser,,Basis,Holografisch Selten V,Eske Yoshinob,holo,Drachenwandel,Schwert & Schild,237
swsh7-49,49,Pikachu,60,Elektro,,Basis,Häufig,chibi,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-50,50,Raichu,130,Elektro,Pikachu,Rang 1,Holografisch Selten,Mitsuhiro Arita,"reverse, holo",Drachenwandel,Schwert & Schild,237
swsh7-51,51,Blitza VMAX,300,Elektro,Blitza-V,VMAX,Holografisch Selten VMAX,5ban Graphics,holo,Drachenwandel,Schwert & Schild,237
swsh7-52,52,Lampi,70,Elektro,,Basis,Häufig,sowsow,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-53,53,Lanturn,120,Elektro,Lampi,Rang 1,Ungewöhnlich,ryoma uratsuka,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-54,54,Voltilamm,60,Elektro,,Basis,Häufig,Yukiko Baba,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-55,55,Waaty,90,Elektro,Voltilamm,Rang 1,Ungewöhnlich,OKACHEKE,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-56,56,Ampharos,150,Elektro,Waaty,Rang 2,Selten,Saya Tsuruta,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-57,57,Emolga,70,Elektro,,Basis,Häufig,Nagomi Nijo,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-58,58,Lectragon V,220,Elektro,,Basis,Holografisch Selten V,Ryota Murayama,holo,Drachenwandel,Schwert & Schild,237
swsh7-59,59,Lectragon VMAX,330,Elektro,Lectragon-V,VMAX,Holografisch Selten VMAX,5ban Graphics,holo,Drachenwandel,Schwert & Schild,237
swsh7-60,60,Regieleki,120,Elektro,,Basis,Holografisch Selten,Shin Nagasawa,"reverse, holo",Drachenwandel,Schwert & Schild,237
swsh7-61,61,Traumato,70,Psycho,,Basis,Häufig,nagimiso,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-62,62,Hypno,110,Psycho,Traumato,Rang 1,Ungewöhnlich,Miki Tanaka,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-63,63,Galar-Arktos,120,Psycho,,Basis,Holografisch Selten,Kagemaru Himeno,"reverse, holo",Drachenwandel,Schwert & Schild,237
swsh7-64,64,Psiana V,200,Psycho,,Basis,Holografisch Selten V,5ban Graphics,holo,Drachenwandel,Schwert & Schild,237
swsh7-65,65,Psiana VMAX,310,Psycho,Psiana-V,VMAX,Holografisch Selten VMAX,5ban Graphics,holo,Drachenwandel,Schwert & Schild,237
swsh7-66,66,Woingenau,120,Psycho,,Basis,Häufig,Anesaki Dynamic,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-67,67,Zobiris,70,Psycho,,Basis,Häufig,Eri Yamaki,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-68,68,Fleknoil,60,Psycho,,Basis,Häufig,Yuka Morii,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-69,69,Fletiamo,90,Psycho,Fleknoil,Rang 1,Ungewöhnlich,nagimiso,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-70,70,Golgantes V,220,Psycho,,Basis,Holografisch Selten V,Eske Yoshinob,holo,Drachenwandel,Schwert & Schild,237
swsh7-71,71,Flabébé,40,Psycho,,Basis,Häufig,OKACHEKE,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-72,72,Floette,70,Psycho,Flabébé,Rang 1,Ungewöhnlich,chibi,"normal, reverse",Drachenwandel,Schwert & Schild,237
swsh7-73,73,Florges,130,Psycho,Floette,Rang 2,Holografisch Selten,Kagemaru Himeno,"reverse, holo",Drachenwandel,Schwert & Schild,237
