id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh7-1,1,Scarabrute,120,Plante,,De base,Rare,Shin Nagasawa,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-2,2,Granivol,40,Plante,,De base,Commune,Kagemaru Himeno,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-3,3,Floravol,60,Plante,Granivol,Niveau 1,Peu Commune,kirisAki,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-4,4,Cotovol,90,Plante,Floravol,Niveau 2,Holo Rare,Tika Matsuno,"reverse, holo",Évolution Céleste,Épée et Bouclier,237
swsh7-5,5,Grainipiot,50,Plante,,De base,Commune,otumami,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-6,6,Tropius,110,Plante,,De base,Rare,Oswaldo KATO,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-7,7,Phyllali V,200,Plante,,De base,Holo Rare V,5ban Graphics,holo,Évolution Céleste,Épée et Bouclier,237
swsh7-8,8,Phyllali VMAX,310,Plante,Phyllali-V,ESCOUADE,Holo Rare VMAX,PLANETA Tsuji,holo,Évolution Céleste,Épée et Bouclier,237
swsh7-9,9,Chlorobule,60,Plante,,De base,Commune,Mika Pikazo,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-10,10,Fragilady,100,Plante,Chlorobule,Niveau 1,Rare,Kagemaru Himeno,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-11,11,Crabicoque,60,Plante,,De base,Commune,Shigenori Negishi,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-12,12,Crabaraque,130,Plante,Crabicoque,Niveau 1,Peu Commune,sowsow,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-13,13,Desséliande V,210,Plante,,De base,Holo Rare V,MUGENUP,holo,Évolution Céleste,Épée et Bouclier,237
swsh7-14,14,Desséliande VMAX,320,Plante,Desséliande-V,ESCOUADE,Holo Rare VMAX,MUGENUP,holo,Évolution Céleste,Épée et Bouclier,237
swsh7-15,15,Tournicoton,50,Plante,,De base,Commune,Mizue,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-16,16,Blancoton,80,Plante,Tournicoton,Niveau 1,Holo Rare,Kouki Saitou,"reverse, holo",Évolution Céleste,Épée et Bouclier,237
swsh7-17,17,Verpom,40,Plante,,De base,Commune,Miki Tanaka,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-18,18,Pyroli VMAX,320,Feu,Pyroli-V,ESCOUADE,Holo Rare VMAX,5ban Graphics,holo,Évolution Céleste,Épée et Bouclier,237
swsh7-19,19,Entei,120,Feu,,De base,Holo Rare,NC Empire,"reverse, holo",Évolution Céleste,Épée et Bouclier,237
swsh7-20,20,Victini,60,Feu,,De base,Holo Rare,Teeziro,"reverse, holo",Évolution Céleste,Épée et Bouclier,237
swsh7-21,21,Pyrax V,210,Feu,,De base,Holo Rare V,kawayoo,holo,Évolution Céleste,Épée et Bouclier,237
swsh7-22,22,Hélionceau,60,Feu,,De base,Commune,Misa Tsutsui,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-23,23,Némélios,130,Feu,Hélionceau,Niveau 1,Peu Commune,Hitoshi Ariga,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-24,24,Psykokwak,70,Eau,,De base,Commune,OKACHEKE,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-25,25,Akwakwak,120,Eau,Psykokwak,Niveau 1,Peu Commune,Kyoko Umemoto,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-26,26,Tentacool,60,Eau,,De base,Commune,SATOSHI NAKAI,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-27,27,Tentacruel,120,Eau,Tentacool,Niveau 1,Peu Commune,Mina Nakai,"normal, reverse",Évolution Céleste,Épée et Bouclier,237
swsh7-28,28,Léviator V,220,Eau,,De base,Holo Rare V,PLANETA Tsuji,holo,Évolution Céleste,Épée et Bouclier,237
swsh7-29,29,Léviator VMAX,330,Eau,Léviator-V,ESCOUADE,Holo Rare VMAX,Shin Nagasawa,holo,Évolution Céleste,Épée et Bouclier,237
